,tipo
UpperZoneTimeConstant,xml
LowerZoneTimeConstant,xml
GwPercValue,xml
LZThreshold,xml
b_Xinanjiang,xml
PowerPrefFlow,xml
SnowMeltCoef,xml
CalChanMan,xml
CalChanMan2,xml
LakeMultiplier,xml
adjust_Normal_Flood,xml
ReservoirRnormqMult,xml
AvWaterRateThreshold,xml
QSplitMult,xml
ChanBottomWMult,xml
ChanDepthTMult,xml
ChanSMult,xml
GwLoss,xml
fracirrigated,landuse
fracforest,landuse
fracrice,landuse
fracother,landuse
fracsealed,landuse
fracwater,landuse
genua,soilhyd
lambda,soilhyd
thetas,soilhyd
thetar,soilhyd
ksat,soilhyd
cropcoef,table2map
mannings,table2map
soildepth2,table2map
soildepth3,table2map
