,chanlength,chan,chanbw,chanman,elvstd,gradient,chanflpn,changrad,chanbnkf,lzavin,lat,cropgrpn_o,mannings_o,soildepth3_i,soildepth1_f,cropgrpn_i,cropcoef_o,cropcoef_i,soildepth1_o,soildepth2_o,soildepth2_f,mannings_f,soildepth3_f,soildepth1_i,mannings_i,soildepth2_i,cropgrpn_f,soildepth3_o,cropcoef_f,et,es,ta,pr,e0,laii,laio,laif,thetar3,thetas2,genua1_f,genua1_o,lambda2_o,genua3_f,thetar1,lambda3,thetas3,ksat2_o,thetar2,ksat3_o,thetas3_o,ksat2_f,thetar3_o,lambda2_f,lambda1_o,thetas1_o,lambda3_o,lambda1,ksat2,thetas1,thetas2_o,ksat1,genua3_o,genua2,genua2_f,thetas1_f,ksat3_f,lambda1_f,genua3,thetar1_o,thetar2_f,ksat1_f,ksat1_o,genua1,thetas3_f,ksat3,lambda3_f,genua2_o,thetas2_f,thetar2_o,lambda2,thetar3_f,thetar1_f
0,6.14055,6.14035,6.14055,6.14028,6.14035,6.14035,6.14035,6.14036,6.14265,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,2419.8,6.14035,6.14035,6.14035,70087.5,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035
1,29.1082,29.1086,29.1085,29.1085,20.8125,36.2827,29.1086,29.1086,29.1085,29.1086,29.1086,29.1086,29.1052,29.1086,29.1086,29.1086,29.1086,29.1086,29.1086,29.1086,29.1086,29.1084,29.1992,29.1086,29.1086,29.1086,29.1086,29.2432,29.1086,29.1086,29.1086,31.2564,408.911,29.1086,29.1077,29.1085,29.1085,72974.8,29.1086,29.1086,29.1086,29.1086,29.1086,3004.26,31.0388,29.3338,29.1086,76214.4,29.1086,29.1086,29.1086,29.1086,29.1086,29.1086,34.9884,29.1086,29.1086,29.1086,29.1086,31.2173,29.1086,29.1086,29.1086,29.1086,29.3596,29.1086,29.1086,28.6359,29.1086,29.1086,29.1086,29.1086,29.1086,29.1086,29.7403,29.1086,29.1086,29.1109,29.1086,29.1086,29.1086,29.1086
2,47.3846,47.3848,47.3848,47.3848,35.9588,49.7609,47.3848,47.3848,47.3848,47.3848,47.3848,47.3848,47.3766,47.3848,47.3848,47.3848,47.3848,47.3848,47.3848,47.3848,47.3848,47.3843,47.7006,47.3848,47.3848,47.3848,47.3848,48.3045,47.3848,47.3848,47.3848,52.1228,478.889,47.3848,46.0128,47.2186,46.3403,700358.0,47.3848,47.3848,47.3848,47.3848,47.3848,3120.48,49.6761,49.2924,47.3848,76579.0,47.3848,47.3848,47.3848,47.3848,47.3848,47.3848,49.1589,47.3848,47.3848,47.3848,47.3848,48.1802,47.3848,47.3848,47.3848,47.3848,47.7119,47.3848,47.3848,46.8751,47.3848,47.3848,47.3848,47.3848,47.3848,47.3848,47.9803,47.3848,47.3848,47.302,47.3848,47.3848,47.3848,47.3848
3,40.9522,40.9522,40.9522,40.9522,30.8195,38.544,40.9522,40.9522,40.9522,40.9522,40.9522,40.9522,40.9433,40.9522,40.9522,40.9522,40.9522,40.9522,40.9522,40.9522,40.9522,40.9516,41.4153,40.9522,40.9522,40.9522,40.9522,42.4065,40.9522,40.9522,40.9522,41.3041,308.647,40.9522,38.5718,40.6611,39.1802,92738.9,40.9522,40.9522,40.9522,40.9522,40.9522,3135.57,43.1707,44.4154,40.9522,76652.2,40.9522,40.9522,40.9522,40.9522,40.9522,40.9522,37.7067,40.9522,40.9522,40.9522,40.9522,39.8974,40.9522,40.9522,40.9522,40.9522,40.9333,40.9522,40.9522,40.4234,40.9522,40.9522,40.9522,40.9522,40.9522,40.9522,41.5081,40.9522,40.9522,40.882,40.9522,40.9522,40.9522,40.9522
4,33.2731,33.273,33.273,33.273,25.6661,31.1115,33.273,33.273,33.273,33.273,33.273,33.273,33.2647,33.273,33.273,33.273,33.273,33.273,33.273,33.273,33.273,33.2724,33.8378,33.273,33.273,33.273,33.273,35.1079,33.273,33.273,33.273,32.4574,250.894,33.273,31.071,33.0039,31.6343,701525.0,33.273,33.273,33.273,33.273,33.273,3132.27,35.3686,38.17,33.273,76648.8,33.273,33.273,33.273,33.273,33.273,33.273,28.7512,33.273,33.273,33.273,33.273,31.9855,33.273,33.273,33.273,33.273,33.1466,33.273,33.273,32.7361,33.273,33.273,33.273,33.273,33.273,33.273,33.7895,33.273,33.273,33.4635,33.273,33.273,33.273,33.273
5,28.0821,28.082,28.082,28.082,22.3353,26.6783,28.082,28.082,28.082,28.082,28.082,28.082,28.0745,28.082,28.082,28.082,28.082,28.082,28.082,28.082,28.082,28.0814,28.7182,28.082,28.082,28.082,28.082,30.1915,28.082,28.082,28.082,27.3984,225.964,28.082,26.0609,27.8351,26.578,92829.8,28.082,28.082,28.082,28.082,28.082,3130.14,30.0405,34.2984,28.082,76652.4,28.082,28.082,28.082,28.082,28.082,28.082,23.3866,28.082,28.082,28.082,28.082,26.9966,28.082,28.082,28.082,28.082,27.9242,28.082,28.082,27.5443,28.082,28.082,28.082,28.082,28.082,28.082,28.5604,28.082,28.082,28.5342,28.082,28.082,28.082,28.082
6,36.3099,36.31,36.31,36.31,26.9378,38.706,36.31,36.31,36.31,36.31,36.31,36.31,36.2986,36.31,36.31,36.31,36.31,36.31,36.31,36.31,36.31,36.3091,36.9959,36.31,36.31,36.31,36.31,38.6172,36.31,36.31,36.31,36.5626,406.386,36.31,34.4579,36.0837,34.9319,701610.0,36.31,36.31,36.31,36.31,36.31,3138.4,38.1295,43.7394,36.31,76654.0,36.31,36.31,36.31,36.31,36.31,36.31,31.7699,36.31,36.31,36.31,36.31,35.4911,36.31,36.31,36.31,36.31,36.3747,36.31,36.31,35.7764,36.31,36.31,36.31,36.31,36.31,36.31,36.7522,36.31,36.31,36.9066,36.31,36.31,36.31,36.31
7,34.3819,34.3819,34.3819,34.3819,26.5361,33.1132,34.3819,34.3819,34.3819,34.3819,34.3819,34.3819,34.3713,34.3819,34.3819,34.3819,34.3819,34.3819,34.3819,34.3819,34.3819,34.381,35.1015,34.3819,34.3819,34.3819,34.3819,36.8289,34.3819,34.3819,34.3819,34.2464,318.461,34.3819,31.6811,34.0686,32.3948,92870.9,34.3819,34.3819,34.3819,34.3819,34.3819,3138.47,36.066,42.9255,34.3819,76660.3,34.3819,34.3819,34.3819,34.3819,34.3819,34.3819,26.8771,34.3819,34.3819,34.3819,34.3819,32.0814,34.3819,34.3819,34.3819,34.3819,34.111,34.3819,34.3819,33.8559,34.3819,34.3819,34.3819,34.3819,34.3819,34.3819,34.79,34.3819,34.3819,34.9433,34.3819,34.3819,34.3819,34.3819
8,51.8691,51.8692,51.8692,51.8692,37.4941,56.0025,51.8692,51.8692,51.8692,51.8692,51.8692,51.8692,51.8511,51.8692,51.8692,51.8692,51.8692,51.8692,51.8692,51.8692,51.8692,51.8677,52.6103,51.8692,51.8692,51.8692,51.8692,54.4114,51.8692,51.8692,51.8692,52.8336,630.532,51.8692,49.4039,51.5812,50.0678,701618.0,51.8692,51.8692,51.8692,51.8692,51.8692,3155.57,53.424,61.436,51.8692,76668.6,51.8692,51.8692,51.8692,51.8692,51.8692,51.8692,44.7182,51.8692,51.8692,51.8692,51.8692,49.8087,51.8692,51.8692,51.8692,51.8692,52.2042,51.8692,51.8692,51.3533,51.8692,51.8692,51.8692,51.8692,51.8692,51.8692,52.2455,51.8692,51.8692,52.636,51.8692,51.8692,51.8692,51.8692
9,55.6767,55.6767,55.6767,55.6767,41.9087,55.2299,55.6767,55.6767,55.6767,55.6767,55.6767,55.6767,55.6562,55.6767,55.6767,55.6767,55.6767,55.6767,55.6767,55.6767,55.6767,55.6749,56.43,55.6767,55.6767,55.6767,55.6767,58.2795,55.6767,55.6767,55.6767,55.6245,574.969,55.6767,52.0898,55.2575,53.0192,92928.2,55.6767,55.6767,55.6767,55.6767,55.6767,3161.13,57.1095,66.1826,55.6767,76683.5,55.6767,55.6767,55.6767,55.6767,55.6767,55.6767,43.8742,55.6767,55.6767,55.6767,55.6767,50.8661,55.6767,55.6767,55.6767,55.6767,55.5356,55.6767,55.6767,55.1725,55.6767,55.6767,55.6767,55.6767,55.6767,55.6767,56.0234,55.6767,55.6767,56.0655,55.6767,55.6767,55.6767,55.6767
10,46.8114,46.8113,46.8113,46.8113,36.3113,44.3043,46.8113,46.8113,46.8113,46.8113,46.8113,46.8113,46.793,46.8113,46.8113,46.8113,46.8113,46.8113,46.8113,46.8113,46.8113,46.8095,47.5696,46.8113,46.8113,46.8113,46.8113,49.4473,46.8113,46.8113,46.8113,46.408,440.811,46.8113,42.7469,46.35,43.8379,701592.0,46.8113,46.8113,46.8113,46.8113,46.8113,3151.77,48.1297,58.1789,46.8113,76661.5,46.8113,46.8113,46.8113,46.8113,46.8113,46.8113,33.4633,46.8113,46.8113,46.8113,46.8113,41.0063,46.8113,46.8113,46.8113,46.8113,46.3545,46.8113,46.8113,46.3199,46.8113,46.8113,46.8113,46.8113,46.8113,46.8113,47.1304,46.8113,46.8113,47.1552,46.8113,46.8113,46.8113,46.8113
11,39.429,39.4289,39.4289,39.4289,30.741,37.7243,39.4289,39.4289,39.4289,39.4289,39.4289,39.4289,39.4127,39.4289,39.4289,39.4289,39.4289,39.4289,39.4289,39.4289,39.4289,39.4272,40.1864,39.4289,39.4289,39.4289,39.4289,42.0764,39.4289,39.4289,39.4289,38.9646,380.235,39.4289,35.6982,39.0048,36.7189,92871.5,39.4289,39.4289,39.4289,39.4289,39.4289,3146.06,40.6406,51.5869,39.4289,76662.2,39.4289,39.4289,39.4289,39.4289,39.4289,39.4289,27.0282,39.4289,39.4289,39.4289,39.4289,34.1449,39.4289,39.4289,39.4289,39.4289,38.9252,39.4289,39.4289,38.9511,39.4289,39.4289,39.4289,39.4289,39.4289,39.4289,39.7225,39.4289,39.4289,39.9574,39.4289,39.4289,39.4289,39.4289
12,34.322,34.3219,34.3219,34.322,26.5721,33.2489,34.3219,34.3219,34.3219,34.3219,34.3219,34.3219,34.3075,34.3219,34.3219,34.3219,34.3219,34.3219,34.3219,34.3219,34.3219,34.3202,35.0744,34.3219,34.3219,34.3219,34.3219,36.9639,34.3219,34.3219,34.3219,33.9416,342.588,34.3219,30.9485,33.9334,31.8632,701639.0,34.3219,34.3219,34.3219,34.3219,34.3219,3140.35,35.4345,47.2049,34.3219,76651.2,34.3219,34.3219,34.3219,34.3219,34.3219,34.3219,22.9399,34.3219,34.3219,34.3219,34.3219,29.6071,34.3219,34.3219,34.3219,34.3219,33.8095,34.3219,34.3219,33.8582,34.3219,34.3219,34.3219,34.3219,34.3219,34.3219,34.5919,34.3219,34.3219,35.0002,34.3219,34.3219,34.3219,34.3219
13,31.2887,31.2887,31.2887,31.2887,23.699,30.8622,31.2887,31.2887,31.2887,31.2887,31.2887,31.2887,31.2746,31.2887,31.2887,31.2887,31.2887,31.2887,31.2887,31.2887,31.2887,31.2869,32.0326,31.2887,31.2887,31.2887,31.2887,33.9116,31.2887,31.2887,31.2887,31.3578,350.476,31.2887,28.2433,30.9323,29.057,92925.5,31.2887,31.2887,31.2887,31.2887,31.2887,3138.9,32.3093,44.8363,31.2887,76652.4,31.2887,31.2887,31.2887,31.2887,31.2887,31.2887,20.8374,31.2887,31.2887,31.2887,31.2887,27.0732,31.2887,31.2887,31.2887,31.2887,30.782,31.2887,31.2887,30.8391,31.2887,31.2887,31.2887,31.2887,31.2887,31.2887,31.5369,31.2887,31.2887,32.0578,31.2887,31.2887,31.2887,31.2887
14,41.0953,41.0954,41.0954,41.0953,29.6241,44.1008,41.0954,41.0954,41.0954,41.0954,41.0954,41.0954,41.0774,41.0954,41.0954,41.0954,41.0954,41.0954,41.0954,41.0954,41.0954,41.0932,41.828,41.0954,41.0954,41.0954,41.0954,43.6885,41.0954,41.0954,41.0954,41.9075,507.357,41.0954,38.0716,40.7378,38.8643,701702.0,41.0954,41.0954,41.0954,41.0954,41.0954,3148.03,42.031,55.2524,41.0954,76653.2,41.0954,41.0954,41.0954,41.0954,41.0954,41.0954,30.7425,41.0954,41.0954,41.0954,41.0954,36.7896,41.0954,41.0954,41.0954,41.0954,40.7597,41.0954,41.0954,40.66,41.0954,41.0954,41.0954,41.0954,41.0954,41.0954,41.3235,41.0954,41.0954,41.9374,41.0954,41.0954,41.0954,41.0954
15,39.7033,39.7033,39.7033,39.7033,30.007,38.7659,39.7033,39.7033,39.7033,39.7033,39.7033,39.7033,39.6861,39.7033,39.7033,39.7033,39.7033,39.7033,39.7033,39.7033,39.7033,39.7011,40.4227,39.7033,39.7033,39.7033,39.7033,42.2582,39.7033,39.7033,39.7033,39.3299,429.459,39.7033,35.9463,39.2709,36.9345,92936.6,39.7033,39.7033,39.7033,39.7033,39.7033,3148.15,40.5604,54.4188,39.7033,76663.3,39.7033,39.7033,39.7033,39.7033,39.7033,39.7033,27.0084,39.7033,39.7033,39.7033,39.7033,33.5348,39.7033,39.7033,39.7033,39.7033,39.0642,39.7033,39.7033,39.282,39.7033,39.7033,39.7033,39.7033,39.7033,39.7033,39.9128,39.7033,39.7033,40.3127,39.7033,39.7033,39.7033,39.7033
