,chanlength,chan,chanbw,chanman,elvstd,gradient,chanflpn,changrad,chanbnkf,lzavin,lat,cropgrpn_o,mannings_o,soildepth3_i,soildepth1_f,cropgrpn_i,cropcoef_o,cropcoef_i,soildepth1_o,soildepth2_o,soildepth2_f,mannings_f,soildepth3_f,soildepth1_i,mannings_i,soildepth2_i,cropgrpn_f,soildepth3_o,cropcoef_f,et,es,ta,pr,e0,laii,laio,laif,thetar3,thetas2,genua1_f,genua1_o,lambda2_o,genua3_f,thetar1,lambda3,thetas3,ksat2_o,thetar2,ksat3_o,thetas3_o
0,30.8343,30.8343,30.833,30.8377,30.8343,24.4041,30.8343,30.83,30.8311,30.8343,30.8343,30.8343,30.8354,30.8343,30.8343,30.8343,30.8343,30.8343,30.8343,30.8343,30.8343,30.8345,30.8343,30.8343,30.8343,30.8343,30.8343,30.8343,30.8343,30.8343,30.8343,28.2194,5.15807,44.7193,30.8343,30.8343,30.8343,30.8343,30.8343,30.8343,30.8343,30.8343,30.8343,36.4837,30.8343,30.8343,30.8343,30.8343,30.8343,30.8343
1,31.6977,31.6969,31.6971,31.6976,31.6969,30.7823,31.6969,31.696,31.6971,31.6969,31.6969,31.6969,31.6984,31.6969,31.6969,31.6969,31.6969,31.6969,31.6969,31.6969,31.6969,31.6972,31.6895,31.6969,31.6969,31.6969,31.6969,31.6748,31.6969,31.6969,31.6969,31.282,5.43193,36.6591,31.8313,31.7094,31.8137,31.6969,31.6969,31.6969,31.6969,31.6969,31.6969,36.3622,31.6644,3244.68,31.6969,31.6969,31.6969,31.6969
2,24.9902,24.9907,24.9906,24.9903,24.9907,26.1322,24.9907,24.9913,24.9906,24.9907,24.9907,24.9907,24.9923,24.9907,24.9907,24.9907,24.9907,24.9907,24.9907,24.9907,24.9907,24.991,24.9838,24.9907,24.9907,24.9907,24.9907,24.9699,24.9907,24.9907,24.9907,25.0617,5.05576,26.4602,25.1571,25.0075,25.158,25.0239,24.9907,24.9907,24.9907,24.9907,24.9907,28.1294,24.9603,19325.0,24.9907,24.9907,24.9907,24.9907
3,21.3315,21.3319,21.3318,21.3315,21.3319,22.4798,21.3319,21.3322,21.3318,21.3319,21.3319,21.3319,21.3335,21.3319,21.3319,21.3319,21.3319,21.3319,21.3319,21.3319,21.3319,21.3321,21.3253,21.3319,21.3319,21.3319,21.3319,21.3122,21.3319,21.3319,21.3319,21.5133,4.96655,21.8943,21.5015,21.3492,21.5127,21.3962,21.3319,21.3319,21.3319,21.3319,21.3319,23.7891,21.3034,6725.28,21.3319,21.3319,21.3319,21.3319
4,22.2706,22.2707,22.2707,22.2706,22.2707,22.5658,22.2707,22.2709,22.2707,22.2707,22.2707,22.2707,22.2727,22.2707,22.2707,22.2707,22.2707,22.2707,22.2707,22.2707,22.2707,22.2711,22.2646,22.2707,22.2707,22.2707,22.2707,22.2522,22.2707,22.2707,22.2707,21.9767,4.93325,22.5633,22.4465,22.2886,22.4627,22.3644,22.2707,22.2707,22.2707,22.2707,22.2707,25.124,22.244,20150.8,22.2707,22.2707,22.2707,22.2707
5,22.9289,22.929,22.929,22.9289,22.929,23.0576,22.929,22.9292,22.929,22.929,22.929,22.929,22.9312,22.929,22.929,22.929,22.929,22.929,22.929,22.929,22.929,22.9294,22.9232,22.929,22.929,22.929,22.929,22.9115,22.929,22.929,22.929,23.2217,4.90987,23.0628,23.1368,22.9474,23.1462,23.0503,22.929,22.929,22.929,22.929,22.929,25.6491,22.904,6880.26,22.929,22.929,22.929,22.929
6,24.3549,24.3545,24.3545,24.3548,24.3545,24.2724,24.3545,24.354,24.3546,24.3545,24.3545,24.3545,24.3569,24.3545,24.3545,24.3545,24.3545,24.3545,24.3545,24.3545,24.3545,24.3549,24.349,24.3545,24.3545,24.3545,24.3545,24.338,24.3545,24.3545,24.3545,24.5562,4.89249,24.427,24.5849,24.3735,24.587,24.5017,24.3545,24.3545,24.3545,24.3545,24.3545,27.3438,24.3309,20235.8,24.3545,24.3545,24.3545,24.3545
7,39.711,39.71,39.7103,39.7108,39.71,36.8697,39.71,39.709,39.7103,39.71,39.71,39.71,39.7139,39.71,39.71,39.71,39.71,39.71,39.71,39.71,39.71,39.7108,39.7048,39.71,39.71,39.71,39.71,39.6945,39.71,39.71,39.71,38.8777,4.95567,42.5884,39.9593,39.7325,39.9665,39.8817,39.71,39.71,39.71,39.71,39.71,47.0465,39.6879,6935.02,39.71,39.71,39.71,39.71
8,42.0306,42.0299,42.0301,42.0305,42.0299,41.5368,42.0299,42.0292,42.0301,42.0299,42.0299,42.0299,42.0344,42.0299,42.0299,42.0299,42.0299,42.0299,42.0299,42.0299,42.0299,42.0308,42.025,42.0299,42.0299,42.0299,42.0299,42.0153,42.0299,42.0299,42.0299,42.0971,4.96624,42.7998,42.3705,42.0588,42.3594,42.2246,42.0299,42.0299,42.0299,42.0299,42.0299,48.8019,42.0092,20249.8,42.0299,42.0299,42.0299,42.0299
9,34.1811,34.1817,34.1815,34.1812,34.1817,35.7026,34.1817,34.1824,34.1815,34.1817,34.1817,34.1817,34.1858,34.1817,34.1817,34.1817,34.1817,34.1817,34.1817,34.1817,34.1817,34.1825,34.1771,34.1817,34.1817,34.1817,34.1817,34.1678,34.1817,34.1817,34.1817,34.6281,4.90195,34.4152,34.5576,34.2162,34.5532,34.398,34.1817,34.1817,34.1817,34.1817,34.1817,37.4407,34.1622,6949.58,34.1817,34.1817,34.1817,34.1817
