,ParameterName,MinValue,MaxValue,DefaultValue,tipo,ON_OFF
0,thetas2,0,1,0.48,thetas,OFF
1,thetas3,0,1,0.48,thetas,OFF
2,thetas3_o,0,1,0.48,thetas,OFF
3,thetas1_o,0,1,0.48,thetas,OFF
4,thetas1,0,1,0.48,thetas,OFF
5,thetas2_o,0,1,0.48,thetas,OFF
6,thetas1_f,0,1,0.48,thetas,OFF
7,thetas3_f,0,1,0.48,thetas,OFF
8,thetas2_f,0,1,0.48,thetas,OFF
9,thetar3,0,1,0.48,thetar,ON
10,thetar1,0,1,0.48,thetar,ON
11,thetar2,0,1,0.48,thetar,ON
12,thetar3_o,0,1,0.48,thetar,OFF
13,thetar1_o,0,1,0.48,thetar,OFF
14,thetar2_f,0,1,0.48,thetar,ON
15,thetar2_o,0,1,0.48,thetar,OFF
16,thetar3_f,0,1,0.48,thetar,OFF
17,thetar1_f,0,1,0.48,thetar,ON
