,elvstd,chanlength,changrad,chanman,chanbnkf,mannings_o,pr,e0,laio,thetar1_o,thetas3,thetar2,thetar1,thetas2_o,thetas1_f,thetar2_f,thetar2_o,thetar3,thetas2_f,thetas1_o
0,215.048,76.9205,111.284,401.712,29.1725,215.049,184.556,216.491,215.048,215.048,81875.3,215.068,215.048,1951.91,221.903,215.048,215.048,215.048,665.96,247.293
1,148.205,66.834,108.725,122.268,45.7351,148.212,105.958,151.492,148.21,148.205,70736.7,149.467,148.686,2942.8,164.422,148.205,148.205,153.814,941.861,215.999
2,95.8245,46.5496,88.3831,60.2292,40.8622,95.8328,64.0989,99.6669,95.8356,95.8245,51084.3,104.164,97.129,3355.78,120.521,95.8245,95.8245,109.619,1102.93,191.29
3,67.3351,36.8465,73.4307,41.4389,37.6588,67.3435,41.653,69.9667,67.3495,67.3351,47767.1,75.893,69.2315,3511.58,98.9798,67.3351,67.3351,89.4378,1189.78,183.332
4,51.02,31.6615,61.8337,33.6385,34.4621,51.028,29.2033,52.7435,51.0357,51.02,47318.4,61.7292,53.3817,3559.08,88.3093,51.02,51.02,81.0845,1221.92,182.425
5,50.4513,42.8579,60.9806,42.0707,41.3737,50.4677,21.9125,53.8388,50.468,50.4513,93782.9,63.1022,53.1452,3519.02,92.9663,50.4513,50.4513,88.5635,1201.18,194.82
6,43.1459,37.7516,52.568,37.9759,37.9341,43.1619,17.7184,45.2241,43.164,43.1459,53562.5,58.2281,46.0178,3559.16,89.7244,43.1459,43.1459,88.5201,1222.55,196.478
7,57.1075,62.9577,62.8512,60.068,55.4309,57.1455,14.8069,60.9688,57.1281,57.1075,106806.0,74.5112,60.2104,3543.6,108.143,57.1075,57.1075,110.234,1217.69,219.574
8,60.6622,67.374,63.1932,65.8557,60.8337,60.7146,13.32,65.4111,60.6869,60.6622,121670.0,80.7545,63.8467,3556.06,114.915,60.6622,60.6622,120.22,1224.41,229.071
9,52.9441,51.9849,54.5073,53.2943,52.9325,52.9928,12.2055,56.2825,52.9726,52.9441,55930.5,74.0332,56.0418,3600.83,108.467,52.9441,52.9441,116.584,1245.06,223.278
10,47.1691,42.4315,49.0585,44.0678,46.5239,47.2129,11.1359,49.9584,47.1995,47.1691,48310.5,69.2511,50.1266,3631.37,103.173,47.1691,47.1691,113.609,1257.04,218.356
11,42.4401,36.8729,45.1234,38.1191,41.3301,42.4777,10.2713,44.434,42.4706,42.4401,47379.6,65.2767,45.242,3638.46,98.8226,42.4401,42.4401,111.128,1256.86,214.707
12,40.0674,35.769,43.223,36.3378,38.9084,40.104,9.52665,43.2721,40.0972,40.0674,49833.6,63.6603,42.7403,3635.44,97.0839,40.0674,40.0674,110.889,1256.32,214.105
13,61.1895,71.3169,61.432,67.2398,62.122,61.2546,9.11598,66.0969,61.2213,61.1895,153025.0,86.9125,63.9037,3595.28,120.931,61.1895,61.1895,136.222,1239.67,241.164
14,54.927,58.4815,54.2571,58.4933,55.8052,54.9899,9.14793,60.0048,54.9616,54.927,58320.1,80.742,57.4818,3623.29,115.496,54.927,54.927,131.577,1249.74,236.49
15,60.6109,64.5005,58.5933,63.9806,61.7341,60.6838,8.74399,66.3039,60.6486,60.6109,167088.0,86.8979,63.0613,3599.12,121.85,60.6109,60.6109,138.418,1232.57,243.622
16,54.2437,52.5238,52.9382,53.6751,54.4751,54.3069,8.59556,58.7562,54.2834,54.2437,59416.2,79.7599,56.4873,3634.99,115.175,54.2437,54.2437,131.799,1250.52,236.872
17,71.2359,78.8058,68.1093,76.3217,72.58,71.3227,8.25152,76.9612,71.2789,71.2359,180522.0,97.671,73.4373,3617.61,133.379,71.2359,71.2359,150.154,1248.37,256.799
18,62.1584,61.8552,59.8946,62.8237,62.6263,62.233,8.39092,67.2119,62.2038,62.1584,60511.0,87.4198,64.1468,3648.1,124.08,62.1584,62.1584,140.507,1260.19,247.454
19,59.0759,56.2281,57.9153,57.267,58.9043,59.1442,8.0531,64.4972,59.1224,59.0759,85495.6,83.6267,60.9201,3674.46,120.689,59.0759,59.0759,136.613,1277.26,244.046
20,63.4453,64.0822,62.5156,63.5269,63.465,63.5165,7.81094,69.3673,63.4929,63.4453,201488.0,87.7597,65.1913,3629.33,125.442,63.4453,63.4453,140.871,1249.38,249.62
21,56.7524,53.9308,56.9574,54.8352,56.2793,56.8116,7.72597,62.2027,56.8005,56.7524,61938.7,79.9964,58.3458,3657.88,118.622,56.7524,56.7524,133.343,1263.12,242.936
22,51.1104,46.2713,52.539,47.5027,50.185,51.1564,7.40665,54.8736,51.1576,51.1104,48997.0,73.371,52.5783,3681.72,112.735,51.1104,51.1104,126.647,1273.59,237.083
23,46.0364,40.6321,48.5948,41.7322,44.8095,46.0705,7.03901,48.7259,46.0816,46.0364,47465.4,67.403,47.3954,3684.08,107.491,46.0364,46.0364,120.55,1272.73,232.014
24,42.7676,38.2112,45.9896,38.8888,41.5223,42.7961,6.65854,46.3768,42.8103,42.7676,48131.2,63.5562,44.0485,3670.89,104.307,42.7676,42.7676,116.5,1265.94,229.262
25,39.3838,35.4046,42.9488,35.9726,38.204,39.4047,6.37661,42.3601,39.4241,39.3838,47456.8,59.4578,40.5776,3668.28,101.113,39.3838,39.3838,112.403,1265.44,226.535
26,35.9143,32.039,39.6432,32.6753,34.7904,35.9293,6.03018,38.7292,35.9522,35.9143,47285.9,55.3709,37.0364,3664.66,97.8095,35.9143,35.9143,108.153,1261.48,223.606
27,32.9373,29.2691,36.6944,29.8714,31.8761,32.9466,5.69638,35.0344,32.9728,32.9373,47259.8,51.7625,33.9899,3661.96,94.9916,32.9373,32.9373,104.358,1257.02,221.126
28,30.0177,26.4312,33.7558,27.0407,28.9969,30.0223,5.35054,31.6433,30.0507,30.0177,47256.5,48.249,31.0081,3658.16,92.1956,30.0177,30.0177,100.56,1252.19,218.616
