,elvstd,chanlength,chan,chanbw,changrad,avgdis,lat,gradient,chanflpn,chanman,chanbnkf,soildepth1_o,cropcoef_i,soildepth1_f,soildepth2_i,soildepth3_o,cropgrpn_f,mannings_o,soildepth3_i,soildepth2_f,mannings_f,cropgrpn_i,soildepth2_o,soildepth3_f,cropcoef_f,soildepth1_i,mannings_i,cropcoef_o,cropgrpn_o,n sei,es,ta,pr,e0,et,laif,laio,laii,genua2_o,thetar1_f,thetas3_o,thetar3_o,genua1_o,genua2_f,thetas3_f,thetar3_f,thetar1_o,thetas3,ksat2_o,lambda2,ksat3_f,thetas1,genua1_f,thetar2,genua3,lambda2_f,ksat2,lambda2_o,ksat3,ksat3_o,ksat1_o,thetas2,lambda3_o,thetar1,ksat1,thetas2_o,genua3_f,genua2,thetas1_f,lambda1,ksat1_f,thetar2_f,lambda1_o,thetar2_o,ksat2_f,genua1,lambda3_f,lambda1_f,thetar3,thetas2_f,genua3_o,lambda3,thetas1_o
0,246.577,474.768,258.065,1401.78,359.361,258.065,258.065,266.581,258.065,68.5622,17187.1,258.062,258.072,258.064,258.065,258.065,258.065,258.056,258.065,258.064,258.064,258.065,258.058,258.065,258.068,258.065,258.065,258.068,258.065,258.065,258.065,262.606,737.855,241.721,258.095,258.064,258.064,258.063,258.079,258.065,258.065,258.065,258.065,258.067,258.065,258.065,258.065,258.065,258.065,258.065,258.065,258.065,258.065,48070.1,258.065,258.068,258.065,258.086,258.065,258.065,258.065,258.065,258.065,1631.77,258.065,266.568,258.065,258.065,258.599,258.065,258.065,258.065,258.065,258.065,258.065,258.065,258.065,258.065,258.065,259.666,258.065,258.065,261.044
1,135.611,441.694,151.539,635.268,138.092,151.539,151.539,155.057,151.539,73.8219,4102.96,151.537,151.547,151.54,151.539,151.539,151.539,151.51,151.539,151.539,151.536,151.539,151.526,151.539,151.539,151.539,151.539,151.543,151.539,151.539,151.539,152.497,662.659,131.261,151.565,151.482,151.507,151.497,151.556,151.539,151.539,151.539,151.54,151.539,151.539,151.539,151.539,151.539,151.547,151.539,151.539,151.539,151.539,59465.6,151.424,151.539,151.539,151.562,152.581,151.539,151.539,151.539,151.539,2419.45,151.539,164.327,151.539,151.539,152.455,151.539,151.539,151.539,151.54,151.539,151.542,151.539,151.539,151.539,65723.1,153.98,151.539,151.601,156.712
2,74.9812,395.498,85.0901,313.353,63.6785,85.0901,85.0901,83.3064,85.0901,61.2182,1318.86,85.1101,85.0907,85.0972,85.0901,85.109,85.0902,85.0526,85.0901,85.0979,85.0851,85.0902,85.0995,85.096,85.0842,85.0901,85.0901,85.092,85.0902,85.0901,85.0901,83.7966,363.305,75.06,85.0957,84.9707,85.0273,84.9998,85.0959,85.0901,85.0901,85.0901,85.0898,85.0856,85.0901,85.0901,85.0901,85.1181,85.1041,85.0901,85.0901,85.0901,85.0897,60882.2,84.8816,85.0864,85.0901,85.1033,86.1951,85.0901,85.0901,85.0901,85.0901,2719.91,85.0901,93.2012,85.0901,85.0901,85.846,85.0901,85.0901,85.0901,85.0897,85.0901,85.0971,85.0901,85.0901,85.0895,329689.0,86.6656,85.0901,85.1928,89.2781
3,46.8682,355.423,52.9244,173.03,36.982,52.9244,52.9244,50.8287,52.9244,53.5465,535.93,52.9589,52.9219,52.9359,52.9244,52.9745,52.9244,52.8844,52.9244,52.9399,52.9189,52.9244,52.9557,52.9403,52.9167,52.9244,52.9244,52.9252,52.9244,52.9244,52.9244,52.3008,240.309,47.7577,52.9221,52.7626,52.8468,52.7696,52.9257,52.9244,52.9244,52.9244,52.9236,52.9182,52.9244,52.9244,52.9244,53.0004,52.9421,52.9244,52.9244,52.9244,52.9237,61038.6,52.645,52.9202,52.9244,52.9342,54.0008,52.9244,52.9244,52.9244,52.9244,2817.31,52.9244,57.6848,52.9244,52.9244,53.5371,52.9244,52.9243,52.9244,52.9233,52.9244,52.9343,52.9244,52.9244,52.9235,103261.0,53.8866,52.9244,53.0532,56.1115
4,32.5779,318.039,36.7534,105.891,26.0009,36.7534,36.7534,35.0482,36.7534,48.3506,261.076,36.7975,36.7489,36.7678,36.7534,36.8418,36.7534,36.714,36.7534,36.7753,36.7478,36.7534,36.8042,36.7817,36.7447,36.7534,36.7534,36.7536,36.7534,36.7534,36.7534,36.4138,180.246,33.8614,36.7456,36.5782,36.6689,36.5778,36.7515,36.7534,36.7534,36.7534,36.7523,36.7463,36.7534,36.7534,36.7534,36.8904,36.7734,36.7534,36.7534,36.7534,36.7526,61056.0,36.4181,36.7491,36.7534,36.7604,37.7795,36.7534,36.7534,36.7534,36.7534,2848.23,36.7534,39.3521,36.7534,36.7534,37.2279,36.7534,36.7533,36.7534,36.7519,36.7534,36.7651,36.7534,36.7534,36.7523,333787.0,37.3024,36.7534,36.899,39.0524
5,31.0186,290.468,38.2625,80.4131,32.8458,38.2625,38.2625,39.4433,38.2625,51.9878,156.135,38.3135,38.2592,38.2791,38.2625,38.3974,38.2625,38.2016,38.2625,38.2871,38.2533,38.2625,38.3117,38.306,38.2542,38.2625,38.2625,38.2631,38.2626,38.2625,38.2625,39.1668,358.617,30.8364,38.2584,38.0776,38.1689,38.0735,38.2628,38.2625,38.2625,38.2625,38.2614,38.2555,38.2625,38.2625,38.2625,38.4758,38.2847,38.2625,38.2625,38.2625,38.2617,61070.6,37.869,38.2594,38.2625,38.2732,39.2692,38.2625,38.2625,38.2625,38.2625,2871.49,38.2625,42.2333,38.2625,38.2625,39.0367,38.2625,38.2624,38.2625,38.2611,38.2625,38.2759,38.2625,38.2625,38.2613,106893.0,39.1538,38.2625,38.4242,41.7524
6,25.1044,255.417,30.8024,57.7836,27.4572,30.8024,30.8024,29.901,30.8024,45.5044,98.6257,30.8589,30.798,30.8205,30.8024,30.9854,30.8024,30.7385,30.8024,30.8339,30.7924,30.8024,30.8731,30.8616,30.7937,30.8024,30.8024,30.8031,30.8024,30.8024,30.8024,30.6871,241.545,26.4169,30.7955,30.5552,30.6944,30.5647,30.801,30.8024,30.8024,30.8024,30.8011,30.7949,30.8024,30.8024,30.8024,31.0974,30.8256,30.8024,30.8024,30.8024,30.8014,61065.5,30.365,30.7994,30.8024,30.8115,31.7655,30.8024,30.8024,30.8024,30.8024,2870.42,30.8024,32.6855,30.8024,30.8024,31.4272,30.8024,30.8022,30.8024,30.8007,30.8024,30.8166,30.8024,30.8024,30.8011,331739.0,31.2186,30.8024,30.9728,33.492
7,35.3497,240.504,47.6563,63.8509,49.2951,47.6563,47.6563,51.0111,47.6563,57.1381,87.2713,47.7182,47.6543,47.6763,47.6563,47.9024,47.6563,47.5428,47.6563,47.6875,47.6378,47.6563,47.7057,47.7362,47.6488,47.6563,47.6563,47.6581,47.6563,47.6563,47.6563,49.812,584.177,32.7634,47.6568,47.3862,47.5254,47.3911,47.6591,47.6563,47.6563,47.6563,47.6553,47.6494,47.6563,47.6563,47.6563,48.0602,47.6816,47.6563,47.6563,47.6563,47.6554,61046.9,47.1549,47.6552,47.6563,47.6715,48.6278,47.6563,47.6563,47.6563,47.6563,2898.52,47.6563,55.4011,47.6563,47.6563,48.9785,47.6563,47.6561,47.6563,47.6549,47.6563,47.672,47.6563,47.6563,47.655,169538.0,49.4035,47.6563,47.8419,53.3149
8,37.2328,217.5,51.8309,60.5616,54.9514,51.8309,51.8309,53.1561,51.8309,57.1829,74.8716,51.8961,51.8297,51.8519,51.8309,52.1377,51.8309,51.6758,51.8309,51.8657,51.8046,51.8309,51.8779,51.9308,51.8242,51.8309,51.8309,51.8338,51.8309,51.8309,51.8309,51.9156,583.75,35.9189,51.8348,51.5011,51.667,51.5214,51.8354,51.8309,51.8309,51.8309,51.8299,51.8245,51.8309,51.8309,51.8309,52.3434,51.857,51.8309,51.8309,51.8309,51.8299,61083.9,51.286,51.8311,51.8309,51.8485,52.7694,51.8309,51.8309,51.8309,51.8309,2904.65,51.8309,60.6624,51.8309,51.8309,53.4621,51.8309,51.8306,51.8309,51.8296,51.8309,51.8472,51.8309,51.8309,51.8296,345103.0,53.8362,51.8309,52.0222,58.6852
9,31.781,187.191,41.6889,47.3938,41.8299,41.6889,41.6889,40.1225,41.6889,46.7712,56.6171,41.7539,41.6869,41.7096,41.6889,42.0416,41.6889,41.5322,41.6889,41.7282,41.6612,41.6889,41.7537,41.8042,41.6826,41.6889,41.6889,41.6921,41.6889,41.6889,41.6889,41.1213,374.584,32.5047,41.6909,41.2983,41.5029,41.332,41.692,41.6889,41.6889,41.6889,41.6878,41.6829,41.6889,41.6889,41.6889,42.2892,41.7144,41.6889,41.6889,41.6889,41.688,61081.4,41.1346,41.6896,41.6889,41.7043,42.5436,41.6889,41.6889,41.6889,41.6889,2887.19,41.6889,46.5906,41.6889,41.6889,43.0088,41.6889,41.6886,41.6889,41.6875,41.6889,41.7049,41.6889,41.6889,41.6876,104360.0,42.8647,41.6889,41.8732,46.8798
