,pr,simepar,era5
2013-01-03,33.1509,27.1776,34.6823
2013-01-04,52.88,48.2885,43.6642
2013-01-05,43.6103,39.9171,36.6354
2013-01-06,35.7879,31.7462,31.8997
2013-01-07,30.9316,26.8523,31.8455
2013-01-08,37.5134,35.7988,33.4727
2013-01-09,35.5804,34.0296,36.314
2013-01-10,52.0857,53.3487,54.1882
2013-01-11,59.7962,60.3018,59.5122
2013-01-12,50.5358,50.3197,50.3437
2013-01-13,42.5802,42.0083,42.814
2013-01-14,37.4342,36.4502,37.8377
2013-01-15,35.026,32.7399,35.9721
2013-01-16,57.6386,39.2648,55.9755
2013-01-17,57.5783,39.2967,96.1727
2013-01-18,61.2364,45.2015,102.933
2013-01-19,54.2854,41.7059,88.9263
2013-01-20,71.4247,56.3102,100.789
2013-01-21,63.8639,50.9852,97.642
2013-01-22,58.6089,42.7127,89.7578
2013-01-23,62.9214,38.2511,81.6848
2013-01-24,58.1979,35.3437,73.2666
2013-01-25,51.6806,31.8684,67.9157
2013-01-26,46.0576,28.5386,62.8064
2013-01-27,42.7699,26.4081,64.3547
2013-01-28,40.1888,25.3422,62.5935
2013-01-29,36.5717,22.6759,57.452
2013-01-30,33.4954,20.2252,52.4796
2013-01-31,30.2008,18.0452,47.5284
2013-02-01,27.1724,16.0956,43.1759
2013-02-02,24.5135,14.3066,39.4046
2013-02-03,22.0796,12.6772,38.9834
2013-02-04,98.9763,73.6307,56.382
2013-02-05,133.556,132.733,123.77
2013-02-06,99.5577,96.1085,104.389
2013-02-07,81.2245,76.6236,85.5345
2013-02-08,72.6156,66.132,76.4261
2013-02-09,121.515,119.522,78.4379
2013-02-10,129.595,114.536,91.1876
2013-02-11,117.151,105.092,98.4531
2013-02-12,123.984,111.521,102.091
2013-02-13,125.108,119.349,93.4245
2013-02-14,121.814,119.749,106.972
2013-02-15,110.125,104.912,129.059
2013-02-16,110.903,101.462,132.243
2013-02-17,102.059,95.5242,142.752
2013-02-18,109.221,97.2082,151.885
2013-02-19,122.623,118.048,145.34
2013-02-20,177.914,153.804,159.443
2013-02-21,168.41,138.399,153.912
2013-02-22,153.575,135.02,172.892
2013-02-23,133.265,123.693,157.424
2013-02-24,119.21,117.402,169.309
2013-02-25,108.314,105.436,146.981
2013-02-26,98.1952,93.9329,129.035
2013-02-27,92.0329,86.5051,117.789
2013-02-28,155.51,130.511,151.796
2013-03-01,130.891,113.413,136.871
2013-03-02,111.755,96.7298,122.879
2013-03-03,100.433,85.9047,110.686
2013-03-04,90.3476,77.3379,99.968
2013-03-05,81.7956,70.0454,90.6639
2013-03-06,74.3003,63.6276,83.8436
2013-03-07,108.165,92.3095,123.911
2013-03-08,119.389,104.981,177.936
2013-03-09,110.566,96.9669,155.94
2013-03-10,96.5499,84.0419,153.377
2013-03-11,101.101,84.0522,146.844
2013-03-12,93.8655,79.5241,134.256
2013-03-13,93.1827,72.4379,157.751
2013-03-14,88.3061,66.1086,179.005
2013-03-15,205.584,165.005,180.89
2013-03-16,159.222,129.376,156.445
2013-03-17,132.985,106.542,156.054
2013-03-18,144.821,106.265,171.01
2013-03-19,130.292,96.5659,154.051
2013-03-20,115.295,86.0292,136.181
2013-03-21,108.505,77.7469,133.239
2013-03-22,109.681,75.7563,132.657
2013-03-23,100.799,71.4105,138.869
2013-03-24,90.9888,65.0813,124.473
2013-03-25,83.1591,59.1609,114.162
2013-03-26,117.641,81.7522,124.216
2013-03-27,104.311,74.6476,117.495
2013-03-28,97.2866,68.0803,114.527
2013-03-29,88.5189,62.2843,104.865
2013-03-30,80.2807,56.2578,94.6846
2013-03-31,77.697,52.0213,86.8331
2013-04-01,72.6077,48.5087,80.7204
2013-04-02,66.3991,44.6825,74.8027
2013-04-03,60.7929,40.7669,69.1712
2013-04-04,66.1479,49.4925,79.4827
2013-04-05,64.8565,52.8244,80.4828
2013-04-06,82.2681,47.6262,76.5362
2013-04-07,115.246,113.426,83.4209
2013-04-08,94.9352,91.1967,75.2897
2013-04-09,79.3756,73.0772,66.0968
2013-04-10,70.1939,63.6159,65.772
2013-04-11,63.5384,57.3007,61.6475
2013-04-12,57.6898,51.8809,55.8458
2013-04-13,52.5794,47.1889,51.357
2013-04-14,90.6197,71.0413,53.8987
2013-04-15,91.2405,68.9765,147.782
2013-04-16,76.6668,59.55,115.145
2013-04-17,66.4653,52.6908,92.8536
2013-04-18,59.3366,47.2921,81.0346
2013-04-19,53.6737,43.0807,72.6682
2013-04-20,48.8043,39.2315,66.2342
2013-04-21,44.7172,35.7538,60.3238
2013-04-22,40.8934,32.6541,55.0593
2013-04-23,37.4767,29.8618,50.369
2013-04-24,34.2805,27.2319,46.191
2013-04-25,31.5377,24.8277,42.3251
2013-04-26,30.1155,23.1306,38.754
2013-04-27,28.4029,21.7994,35.588
2013-04-28,26.101,20.0259,32.6943
2013-04-29,23.8561,18.2824,29.9945
2013-04-30,21.8263,16.7403,27.5488
2013-05-01,19.943,15.3325,25.3575
2013-05-02,18.2671,14.1595,23.5565
2013-05-03,16.749,13.8306,22.1215
2013-05-04,15.3984,13.6342,20.8825
2013-05-05,14.3448,13.4413,19.308
2013-05-06,14.069,13.2964,17.7665
2013-05-07,42.4419,15.0293,119.363
2013-05-08,41.2743,29.9259,146.095
2013-05-09,34.2718,28.7799,106.959
2013-05-10,29.5691,23.9653,86.6068
2013-05-11,26.2,20.975,75.8484
2013-05-12,23.4767,18.6953,68.1048
2013-05-13,21.1834,16.9782,61.9128
2013-05-14,19.1833,15.5032,56.6754
2013-05-15,17.4953,14.3814,53.035
2013-05-16,16.4964,13.6982,50.7123
2013-05-17,15.6721,13.3976,47.6423
2013-05-18,40.7685,31.4234,98.563
2013-05-19,40.7863,34.2413,89.5159
2013-05-20,34.3163,29.4403,74.3086
2013-05-21,29.6533,25.2195,65.7364
2013-05-22,26.6582,22.5002,63.2558
2013-05-23,24.4765,20.5821,59.3614
2013-05-24,37.2178,28.825,71.7695
2013-05-25,38.0324,30.81,72.2906
2013-05-26,33.5253,27.7357,64.5205
2013-05-27,29.8691,24.5416,58.0652
2013-05-28,27.0897,22.2416,52.8577
2013-05-29,32.7879,29.5239,56.0953
2013-05-30,83.8664,73.3608,59.5201
2013-05-31,110.771,69.1331,60.1996
2013-06-01,86.4855,66.7048,57.1142
2013-06-02,71.3735,57.5417,51.9383
2013-06-03,62.9102,49.815,46.673
2013-06-04,137.677,118.324,113.532
2013-06-05,111.587,95.8248,93.2349
2013-06-06,91.2455,77.6039,76.037
2013-06-07,80.4636,68.0368,66.776
2013-06-08,72.667,61.3304,60.0504
2013-06-09,66.1337,55.7094,54.4938
2013-06-10,60.5078,50.8716,49.7321
2013-06-11,55.6721,46.6134,45.6496
2013-06-12,51.3326,42.7561,42.4422
2013-06-13,55.4886,40.481,51.3074
2013-06-14,53.4778,38.8473,54.5347
2013-06-15,48.0875,35.6596,49.3922
2013-06-16,43.8688,32.9057,44.1394
2013-06-17,43.392,30.4511,40.7173
2013-06-18,96.9815,53.845,72.2678
2013-06-19,93.5427,76.3747,120.426
2013-06-20,76.9878,63.9002,94.6906
2013-06-21,81.1696,67.7805,84.8934
2013-06-22,226.832,169.441,131.447
2013-06-23,401.216,338.419,178.027
2013-06-24,263.479,225.71,141.673
2013-06-25,211.2,179.805,118.445
2013-06-26,221.508,181.892,140.276
2013-06-27,212.9,181.811,179.555
2013-06-28,196.206,171.097,184.221
2013-06-29,189.185,164.541,183.685
2013-06-30,175.599,154.941,169.415
2013-07-01,194.111,171.185,172.781
2013-07-02,234.894,184.423,192.053
2013-07-03,203.852,163.141,183.465
2013-07-04,175.991,143.273,158.535
2013-07-05,157.366,128.645,141.539
2013-07-06,143.139,117.052,129.213
2013-07-07,131.278,107.338,118.713
2013-07-08,120.815,98.9168,109.42
2013-07-09,111.459,91.3839,100.898
2013-07-10,103.274,84.6446,101.947
2013-07-11,95.7345,78.2652,95.93
2013-07-12,88.4695,72.0119,87.2487
2013-07-13,81.6499,66.4388,79.9616
2013-07-14,75.3761,61.4577,73.631
2013-07-15,69.6718,56.9466,67.9168
2013-07-16,64.4273,52.76,62.6937
2013-07-17,59.7618,49.0973,60.4137
2013-07-18,55.7867,46.0892,57.7642
2013-07-19,51.7546,42.8258,53.3766
2013-07-20,47.7367,39.5398,48.9969
2013-07-21,87.9771,64.9967,76.7177
2013-07-22,170.255,95.1427,88.5938
2013-07-23,274.778,221.801,182.51
2013-07-24,271.957,215.875,229.331
2013-07-25,207.328,164.035,179.442
2013-07-26,175.515,138.327,147.628
2013-07-27,156.578,122.886,129.449
2013-07-28,143.658,112.048,117.73
2013-07-29,132.191,102.972,108.979
2013-07-30,121.181,94.3866,102.391
2013-07-31,111.584,86.8283,96.2194
2013-08-01,103.15,79.9177,89.1565
2013-08-02,95.4811,73.611,81.977
2013-08-03,89.0185,68.0987,75.4885
2013-08-04,83.5268,63.5363,69.92
2013-08-05,78.4248,59.3849,65.5845
2013-08-06,74.432,56.633,62.7255
2013-08-07,69.9914,53.6648,59.3415
2013-08-08,64.8403,50.1915,55.3986
2013-08-09,60.1608,47.3103,51.7726
2013-08-10,55.8199,43.8933,48.0429
2013-08-11,52.3396,41.0699,44.937
2013-08-12,49.6899,38.8447,54.0635
2013-08-13,46.7307,36.5362,51.9312
2013-08-14,43.0742,33.6817,45.8261
2013-08-15,41.4004,30.8536,41.304
2013-08-16,57.9229,43.807,86.7903
2013-08-17,54.0966,42.6483,74.7964
2013-08-18,46.4552,36.5084,61.1379
2013-08-19,43.223,32.4504,53.9057
2013-08-20,43.6081,29.7515,52.149
2013-08-21,41.2131,28.1609,49.2626
2013-08-22,37.6357,26.0731,45.4274
2013-08-23,34.7542,24.2111,41.9183
2013-08-24,32.5015,22.6912,38.9199
2013-08-25,30.9335,21.7281,36.7099
2013-08-26,29.3652,20.7907,34.7603
2013-08-27,27.5073,19.629,32.6497
2013-08-28,62.787,44.1383,64.8206
2013-08-29,56.2921,42.7795,62.7815
2013-08-30,46.7842,36.2054,52.9536
2013-08-31,40.9813,31.6696,46.1803
2013-09-01,36.7025,28.3417,41.5733
2013-09-02,33.5172,25.8351,37.9435
2013-09-03,39.193,30.0309,35.4195
2013-09-04,40.4436,31.0159,40.6781
2013-09-05,40.6862,31.0332,58.3431
2013-09-06,38.1895,29.4751,53.5604
2013-09-07,34.656,26.8367,46.6261
2013-09-08,31.4747,24.3537,41.7448
2013-09-09,29.1756,22.4677,38.6876
2013-09-10,27.1579,21.0661,35.9629
2013-09-11,25.7601,20.2848,33.8527
2013-09-12,24.7606,19.7809,32.1773
2013-09-13,23.7194,19.4489,30.4922
2013-09-14,22.555,19.0875,28.7912
2013-09-15,21.6952,19.0337,27.3988
2013-09-16,21.4015,19.2994,26.4512
2013-09-17,21.4228,19.6383,25.7098
2013-09-18,138.623,95.5848,38.9341
2013-09-19,144.355,96.0227,68.3076
2013-09-20,107.777,74.5037,60.5513
2013-09-21,89.2927,62.4567,50.8053
2013-09-22,79.4401,56.1134,60.0157
2013-09-23,152.993,80.3894,86.2227
2013-09-24,284.652,209.925,243.199
2013-09-25,203.052,156.394,199.133
2013-09-26,166.068,124.857,160.549
2013-09-27,147.135,109.202,137.332
2013-09-28,132.729,98.146,122.14
2013-09-29,120.809,89.2197,110.684
2013-09-30,118.252,84.9225,107.513
2013-10-01,111.826,82.3332,108.826
2013-10-02,108.613,80.0813,110.478
2013-10-03,108.074,75.5438,123.109
2013-10-04,119.116,95.8778,165.778
2013-10-05,183.2,145.427,171.53
2013-10-06,150.645,124.503,192.554
2013-10-07,127.413,104.906,159.202
2013-10-08,113.817,92.6997,136.99
2013-10-09,105.525,83.8722,124.357
2013-10-10,97.4041,76.8639,114.026
2013-10-11,88.9607,70.3502,104.133
2013-10-12,81.5305,64.5223,95.575
2013-10-13,75.1273,59.4564,88.3028
2013-10-14,69.5813,55.1013,82.0541
2013-10-15,64.8033,51.3669,80.7767
2013-10-16,66.9855,50.1688,89.0904
2013-10-17,64.8051,48.6797,85.5226
2013-10-18,80.0145,59.1528,91.6718
2013-10-19,73.5049,55.8802,90.1917
2013-10-20,64.9525,49.773,85.3262
2013-10-21,59.4247,45.9381,77.7851
2013-10-22,55.0476,42.675,70.899
2013-10-23,93.4421,66.8858,66.4343
2013-10-24,83.0531,61.6967,63.1303
2013-10-25,70.5149,52.8263,59.1038
2013-10-26,83.1725,61.2,62.7841
2013-10-27,76.5504,56.975,61.9911
2013-10-28,67.9464,50.3171,58.2042
2013-10-29,66.3142,51.665,56.3271
2013-10-30,62.415,49.349,53.8382
2013-10-31,56.8037,44.6003,49.8222
2013-11-01,51.8979,40.6177,45.5432
2013-11-02,48.4491,37.3807,42.4462
2013-11-03,45.982,34.8116,41.2455
2013-11-04,42.9339,32.3954,39.5508
2013-11-05,62.0068,53.2736,68.699
2013-11-06,61.8368,50.9224,80.1075
2013-11-07,54.8183,43.9458,67.6173
2013-11-08,51.5622,39.1533,58.5892
2013-11-09,49.259,35.6406,53.3971
2013-11-10,45.8952,32.9966,50.3139
2013-11-11,42.6185,30.8492,47.5908
2013-11-12,40.249,29.3058,44.8881
2013-11-13,42.1563,34.5232,46.5406
2013-11-14,42.5042,36.1287,46.2925
2013-11-15,40.0574,33.7631,43.6919
2013-11-16,37.0592,30.8098,40.6135
2013-11-17,34.3957,28.3596,37.6295
2013-11-18,91.6847,60.072,108.446
2013-11-19,81.8138,61.8588,115.462
2013-11-20,66.6166,51.6673,91.0011
2013-11-21,59.6645,44.8133,77.5102
2013-11-22,63.0291,49.6142,90.2864
2013-11-23,62.7708,48.9914,97.8762
2013-11-24,61.133,46.9005,200.002
2013-11-25,56.9027,43.2986,151.988
2013-11-26,57.4206,39.3509,129.039
2013-11-27,56.3181,37.9924,123.315
2013-11-28,57.2018,36.8255,115.933
2013-11-29,53.6434,34.8523,107.153
2013-11-30,80.7168,35.3775,107.527
2013-12-01,86.3049,87.7238,107.883
2013-12-02,73.9304,73.2994,105.198
2013-12-03,64.697,59.5387,96.2005
2013-12-04,59.0216,52.4886,94.2884
2013-12-05,55.3536,48.3134,87.5537
2013-12-06,51.7013,45.0254,80.0
2013-12-07,81.3736,63.384,131.037
2013-12-08,73.2896,58.8556,114.985
2013-12-09,71.664,56.577,119.05
2013-12-10,64.9763,52.0259,106.982
2013-12-11,61.1797,50.0927,112.923
2013-12-12,57.6581,50.7936,121.587
2013-12-13,57.6613,48.1506,112.055
2013-12-14,54.9847,44.4884,99.9878
2013-12-15,50.5569,41.1492,90.3668
2013-12-16,51.1482,49.5007,95.5126
2013-12-17,52.9656,48.5493,99.1179
2013-12-18,50.0304,44.4446,91.0842
2013-12-19,46.7683,41.3447,84.0284
2013-12-20,45.8491,39.0442,78.0431
2013-12-21,45.2787,37.1043,75.3319
2013-12-22,45.7844,38.8401,74.8984
2013-12-23,50.5102,39.2267,73.0394
2013-12-24,58.9846,40.5961,74.2421
2013-12-25,56.279,40.1081,73.9822
2013-12-26,51.9122,38.3014,69.3917
2013-12-27,48.6907,36.5744,64.7941
2013-12-28,47.0242,35.4478,62.2401
2013-12-29,47.6181,35.1902,68.6764
2013-12-30,69.8709,53.2637,91.6682
2013-12-31,67.5168,52.7898,127.039
2014-01-01,63.2198,47.2535,112.391
2014-01-02,61.1191,43.9948,126.747
2014-01-03,118.785,73.7151,144.584
2014-01-04,102.367,79.7247,147.464
2014-01-05,110.735,85.2536,140.184
2014-01-06,107.898,88.7263,145.755
2014-01-07,95.2717,76.9311,137.101
2014-01-08,92.5428,74.1783,152.994
2014-01-09,86.5456,69.1501,138.826
2014-01-10,108.206,86.7374,141.227
2014-01-11,98.9592,79.3957,152.117
2014-01-12,88.0313,70.1352,138.71
2014-01-13,87.2441,69.9078,130.559
2014-01-14,176.308,114.651,178.267
2014-01-15,155.995,159.214,191.592
2014-01-16,132.966,136.414,182.179
2014-01-17,154.063,149.697,179.787
2014-01-18,179.397,183.346,191.026
2014-01-19,151.044,151.468,169.145
2014-01-20,131.828,130.597,150.402
2014-01-21,119.807,117.688,136.713
2014-01-22,109.826,107.932,126.041
2014-01-23,103.812,99.7557,117.046
2014-01-24,99.2392,99.2573,113.256
2014-01-25,93.3548,94.3707,111.355
2014-01-26,92.0519,90.1618,114.146
2014-01-27,88.3855,85.5559,169.663
2014-01-28,83.3922,81.8175,159.043
2014-01-29,78.3325,76.9686,135.78
2014-01-30,72.9124,71.0229,121.559
2014-01-31,71.736,68.8481,111.459
2014-02-01,69.023,65.7964,103.395
2014-02-02,64.3858,62.7659,96.5583
2014-02-03,60.5708,59.1933,90.4568
2014-02-04,57.1891,54.337,84.486
2014-02-05,55.0002,50.028,79.9264
2014-02-06,62.8577,52.9327,79.2789
2014-02-07,60.7114,51.2011,76.635
2014-02-08,56.1111,46.7819,72.2169
2014-02-09,52.4115,42.8721,67.4082
2014-02-10,61.7588,48.113,64.9901
2014-02-11,59.0227,46.5298,62.2217
2014-02-12,52.7081,42.1568,58.3577
2014-02-13,48.2843,38.4445,54.8052
2014-02-14,44.758,35.3373,51.8077
2014-02-15,56.4025,41.7285,62.2544
2014-02-16,98.9906,72.9329,117.299
2014-02-17,90.0734,64.5636,121.302
2014-02-18,91.1076,58.5486,108.888
2014-02-19,94.1646,58.3395,102.251
2014-02-20,97.0601,59.8232,101.649
2014-02-21,86.0444,54.9666,92.4825
2014-02-22,75.7581,49.1705,83.7155
2014-02-23,68.0836,44.2317,80.0553
2014-02-24,70.0157,47.0446,95.9219
2014-02-25,73.7865,51.7639,102.991
2014-02-26,71.8628,51.1065,128.126
2014-02-27,66.1672,46.6413,118.506
2014-02-28,60.577,42.3826,110.556
2014-03-01,88.6319,65.7792,132.34
2014-03-02,88.1472,65.9734,143.736
2014-03-03,76.051,57.0532,124.184
2014-03-04,66.6988,49.8538,110.092
2014-03-05,60.0033,44.5834,99.8019
2014-03-06,79.4705,59.9177,105.118
2014-03-07,86.3162,66.5275,133.891
2014-03-08,75.9425,59.0913,118.876
2014-03-09,71.6025,52.6882,114.164
2014-03-10,74.8938,52.5257,106.673
2014-03-11,103.177,75.2953,100.481
2014-03-12,89.2259,67.5019,91.7058
2014-03-13,111.171,78.4727,107.281
2014-03-14,118.626,81.947,145.149
2014-03-15,150.473,118.427,189.424
2014-03-16,124.349,98.1383,152.467
2014-03-17,108.215,87.2226,129.009
2014-03-18,97.733,78.8348,123.505
2014-03-19,93.253,73.5272,113.592
2014-03-20,100.734,75.4872,150.863
2014-03-21,98.2005,77.3572,154.562
2014-03-22,100.763,81.5281,179.551
2014-03-23,104.896,84.9549,185.49
2014-03-24,93.5376,75.9164,159.921
2014-03-25,83.1663,66.9811,139.575
2014-03-26,75.0975,60.4246,125.66
2014-03-27,68.2811,54.8644,114.933
2014-03-28,63.0941,50.1111,106.421
2014-03-29,58.2037,45.9206,100.795
2014-03-30,53.7251,42.2076,94.1551
2014-03-31,49.3827,38.7644,86.5658
2014-04-01,58.8106,43.9711,89.161
2014-04-02,62.3112,44.6603,99.1087
2014-04-03,56.2418,40.9268,96.2529
2014-04-04,54.1992,38.6869,93.4232
2014-04-05,75.5902,46.2703,92.1588
2014-04-06,71.7945,44.9311,87.1469
2014-04-07,62.3676,40.6017,79.0541
2014-04-08,55.4868,36.621,71.5706
2014-04-09,50.4045,33.2202,65.4144
2014-04-10,46.3202,30.3681,59.9269
2014-04-11,55.3837,40.6186,56.2315
2014-04-12,52.7536,39.558,53.0441
2014-04-13,46.3956,34.436,49.4876
2014-04-14,81.1406,62.202,88.2675
2014-04-15,71.2874,55.6516,100.323
2014-04-16,59.4409,46.0738,84.8444
2014-04-17,78.0461,58.9584,78.9075
2014-04-18,70.2463,54.0684,72.1852
2014-04-19,61.1185,47.2242,66.2054
2014-04-20,57.1026,43.0329,61.3094
2014-04-21,59.5332,43.7325,73.5126
2014-04-22,55.6822,41.7804,73.4904
2014-04-23,50.0438,37.8705,65.7494
2014-04-24,45.5763,34.4794,96.7109
2014-04-25,42.9499,32.4043,112.057
2014-04-26,40.4939,30.399,95.5369
2014-04-27,37.2263,27.8721,85.223
2014-04-28,34.2799,25.5384,78.652
2014-04-29,31.467,23.419,72.0212
2014-04-30,30.5216,22.1461,66.9149
2014-05-01,29.912,22.0097,62.3799
2014-05-02,27.6926,20.4713,57.1165
2014-05-03,25.6642,19.0743,61.7634
2014-05-04,24.6936,18.9283,59.1753
2014-05-05,22.8883,17.6333,53.1499
2014-05-06,20.9831,16.1936,48.5272
2014-05-07,19.2851,15.5376,44.9054
2014-05-08,17.85,15.2412,42.4985
2014-05-09,16.5508,14.9823,39.86
2014-05-10,15.7899,14.7652,38.2341
2014-05-11,15.564,14.5602,38.559
2014-05-12,15.3039,14.3491,37.423
2014-05-13,15.3541,14.1708,36.3205
2014-05-14,15.489,14.1482,34.5473
2014-05-15,15.0214,13.9756,31.7762
2014-05-16,18.982,17.1881,30.2517
2014-05-17,20.1442,18.4218,29.3726
2014-05-18,19.6695,17.7528,29.4662
2014-05-19,19.3048,17.474,28.8621
2014-05-20,17.5048,15.8628,26.6457
2014-05-21,15.833,14.3815,24.55
2014-05-22,15.01,14.0004,22.9545
2014-05-23,14.7035,13.7217,21.2736
2014-05-24,36.2396,31.2402,19.7329
2014-05-25,78.8207,61.1646,105.047
2014-05-26,64.5223,53.4531,84.3633
2014-05-27,68.7654,50.3028,78.8288
2014-05-28,92.1882,76.6818,88.1328
2014-05-29,77.4209,65.9189,77.4188
2014-05-30,65.7721,55.6924,68.0062
2014-05-31,59.063,49.8542,62.1401
2014-06-01,54.0969,45.6293,57.4213
2014-06-02,60.222,44.3745,57.7924
2014-06-03,60.4637,51.9489,73.1383
2014-06-04,55.225,49.2616,66.845
2014-06-05,50.2198,44.0503,58.6038
2014-06-06,45.5754,39.6234,52.6322
2014-06-07,42.435,36.3026,49.2618
2014-06-08,119.017,101.36,120.148
2014-06-09,327.627,303.392,150.3
2014-06-10,286.481,279.604,139.508
2014-06-11,215.973,209.263,130.316
2014-06-12,182.499,175.283,111.643
2014-06-13,162.657,155.528,98.0791
2014-06-14,147.867,140.847,88.6575
2014-06-15,135.292,128.781,81.2244
2014-06-16,124.257,118.215,75.8631
2014-06-17,114.776,108.941,73.6985
2014-06-18,106.268,100.533,69.2311
2014-06-19,97.7283,92.4352,67.5006
