,chanlength,chan,chanbw,chanman,elvstd,gradient,chanflpn,changrad,chanbnkf,lzavin,lat,cropgrpn_o,mannings_o,soildepth3_i,soildepth1_f,cropgrpn_i,cropcoef_o,cropcoef_i,soildepth1_o,soildepth2_o,soildepth2_f,mannings_f,soildepth3_f,soildepth1_i,mannings_i,soildepth2_i,cropgrpn_f,soildepth3_o,cropcoef_f,et,es,ta,pr,e0,laii,laio,laif,thetar3,thetas2,genua1_f,genua1_o,lambda2_o,genua3_f,thetar1,lambda3,thetas3,ksat2_o,thetar2,ksat3_o,thetas3_o,ksat2_f,thetar3_o,lambda2_f,lambda1_o,thetas1_o,lambda3_o,lambda1,ksat2,thetas1,thetas2_o,ksat1,genua3_o,genua2,genua2_f,thetas1_f,ksat3_f,lambda1_f,genua3,thetar1_o,thetar2_f,ksat1_f,ksat1_o,genua1,thetas3_f,ksat3,lambda3_f,genua2_o,thetas2_f,thetar2_o,lambda2,thetar3_f,thetar1_f
0,6.14033,6.14035,6.14033,6.14037,6.14035,6.14035,6.14035,6.14033,6.14031,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,154.427,6.14035,6.14035,6.14035,6.14035,1907.85,6.14035,6.14035,6.14035,6.14035,30.8273,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,6.14035,4162.87,6.14035,6.14035,6.14035,6.14035
1,29.1086,29.1086,29.1086,29.1086,31.2564,23.5536,29.1086,29.1085,29.1086,29.1086,29.1086,29.1086,29.1306,29.1086,29.1086,29.1086,29.1086,29.1086,29.1086,29.1086,29.1086,29.1104,29.032,29.1086,29.1086,29.1086,29.1086,28.7475,29.1086,29.1086,29.1086,8.52259,6.62701,33.5933,29.1087,29.1086,29.1086,29.3338,29.1086,29.1086,29.1086,29.1086,29.1086,32.962,28.6392,5930.12,29.1086,32.2185,29.1086,29.1086,29.1086,29.1086,29.1086,29.1086,238.45,29.1086,29.1086,29.1086,29.1086,2328.92,29.1086,29.1086,29.1086,29.1086,77.0339,29.1086,29.1086,29.8596,29.1086,29.1086,29.1086,29.1086,29.1086,29.1086,28.6642,29.1086,29.1086,5126.85,29.1086,29.1086,29.1086,29.1086
2,47.3848,47.3848,47.3848,47.3848,52.1228,44.1154,47.3848,47.3848,47.3848,47.3848,47.3848,47.3848,47.4244,47.3848,47.3848,47.3848,47.3848,47.3848,47.3848,47.3848,47.3848,47.3892,47.2989,47.3848,47.3848,47.3848,47.3848,46.9931,47.3848,47.3848,47.3848,11.942,6.95707,48.7917,47.5748,47.4046,47.5333,49.285,47.3848,47.3848,47.3848,47.3848,47.3848,52.5803,46.8839,66966.6,47.3848,42.7278,47.3848,47.3848,47.3848,47.3848,47.3848,47.3848,274.234,47.3848,47.3848,47.3848,47.3848,2391.09,47.3848,47.3848,47.3848,47.3848,108.618,47.3848,47.3848,48.0312,47.3848,47.3848,47.3848,47.3848,47.3848,47.3848,47.0017,47.3848,47.3848,5282.99,47.3848,47.3848,47.3848,47.3848
3,40.9522,40.9522,40.9522,40.9522,41.3041,42.0459,40.9522,40.9522,40.9522,40.9522,40.9522,40.9522,40.981,40.9522,40.9522,40.9522,40.9522,40.9522,40.9522,40.9522,40.9522,40.9566,40.8599,40.9522,40.9522,40.9522,40.9522,40.5432,40.9522,40.9522,40.9522,13.4614,6.94307,41.352,41.269,40.9865,41.1954,44.3937,40.9522,40.9522,40.9522,40.9522,40.9522,43.3364,40.4335,10424.0,40.9522,30.3184,40.9522,40.9522,40.9522,40.9522,40.9522,40.9522,274.916,40.9522,40.9522,40.9522,40.9522,2434.98,40.9522,40.9522,40.9522,40.9522,109.353,40.9522,40.9522,41.515,40.9522,40.9522,40.9522,40.9522,40.9522,40.9522,40.6145,40.9522,40.9522,5305.52,40.9522,40.9522,40.9522,40.9522
4,33.273,33.273,33.273,33.273,32.4574,34.9467,33.273,33.273,33.273,33.273,33.273,33.273,33.2911,33.273,33.273,33.273,33.273,33.273,33.273,33.273,33.273,33.2769,33.1765,33.273,33.273,33.273,33.273,32.855,33.273,33.273,33.273,14.206,6.5702,33.4122,33.5658,33.3047,33.4976,38.1281,33.273,33.273,33.273,33.273,33.273,33.9896,32.7454,67607.7,33.273,21.9089,33.273,33.273,33.273,33.273,33.273,33.273,271.612,33.273,33.273,33.273,33.273,2437.12,33.273,33.273,33.273,33.273,105.622,33.273,33.273,33.7665,33.273,33.273,33.273,33.273,33.273,33.273,32.9716,33.273,33.273,5297.42,33.273,33.273,33.273,33.273
5,28.082,28.082,28.082,28.082,27.3984,29.4179,28.082,28.082,28.082,28.082,28.082,28.082,28.093,28.082,28.082,28.082,28.082,28.082,28.082,28.082,28.082,28.0855,27.9829,28.082,28.082,28.082,28.082,27.6606,28.082,28.082,28.082,14.6267,6.47574,28.1415,28.3507,28.1111,28.2881,34.2308,28.082,28.082,28.082,28.082,28.082,27.9891,27.5516,10520.4,28.082,17.3046,28.082,28.082,28.082,28.082,28.082,28.082,270.075,28.082,28.082,28.082,28.082,2435.05,28.082,28.082,28.082,28.082,102.799,28.082,28.082,28.5169,28.082,28.082,28.082,28.082,28.082,28.082,27.8105,28.082,28.082,5298.17,28.082,28.082,28.082,28.082
6,36.31,36.31,36.31,36.31,36.5626,35.002,36.31,36.31,36.31,36.31,36.31,36.31,36.3328,36.31,36.31,36.31,36.31,36.31,36.31,36.31,36.31,36.3153,36.2095,36.31,36.31,36.31,36.31,35.8891,36.31,36.31,36.31,15.9431,6.383,36.3545,36.5563,36.3367,36.4989,43.6411,36.31,36.31,36.31,36.31,36.31,38.5132,35.7811,67698.9,36.31,26.3788,36.31,36.31,36.31,36.31,36.31,36.31,281.674,36.31,36.31,36.31,36.31,2442.7,36.31,36.31,36.31,36.31,112.617,36.31,36.31,36.6946,36.31,36.31,36.31,36.31,36.31,36.31,36.0635,36.31,36.31,5301.27,36.31,36.31,36.31,36.31
7,34.3819,34.3819,34.3819,34.3819,34.2464,35.1606,34.3819,34.3819,34.3819,34.3819,34.3819,34.3819,34.3958,34.3819,34.3819,34.3819,34.3819,34.3819,34.3819,34.3819,34.3819,34.3866,34.2808,34.3819,34.3819,34.3819,34.3819,33.9643,34.3819,34.3819,34.3819,17.2878,6.43269,34.3976,34.7319,34.4177,34.6504,42.7921,34.3819,34.3819,34.3819,34.3819,34.3819,34.6827,33.8576,10562.3,34.3819,19.0381,34.3819,34.3819,34.3819,34.3819,34.3819,34.3819,282.904,34.3819,34.3819,34.3819,34.3819,2443.01,34.3819,34.3819,34.3819,34.3819,111.883,34.3819,34.3819,34.7228,34.3819,34.3819,34.3819,34.3819,34.3819,34.3819,34.1567,34.3819,34.3819,5304.67,34.3819,34.3819,34.3819,34.3819
8,51.8692,51.8692,51.8692,51.8692,52.8336,48.7291,51.8692,51.8692,51.8692,51.8692,51.8692,51.8692,51.9055,51.8692,51.8692,51.8692,51.8692,51.8692,51.8692,51.8692,51.8692,51.8774,51.7682,51.8692,51.8692,51.8692,51.8692,51.457,51.8692,51.8692,51.8692,19.8676,6.42137,53.5593,52.1911,51.9022,52.1159,61.2635,51.8692,51.8692,51.8692,51.8692,51.8692,56.337,51.3519,67708.8,51.8692,37.5268,51.8692,51.8692,51.8692,51.8692,51.8692,51.8692,303.324,51.8692,51.8692,51.8692,51.8692,2457.44,51.8692,51.8692,51.8692,51.8692,130.337,51.8692,51.8692,52.1721,51.8692,51.8692,51.8692,51.8692,51.8692,51.8692,51.6624,51.8692,51.8692,5316.93,51.8692,51.8692,51.8692,51.8692
9,55.6767,55.6767,55.6767,55.6767,55.6245,55.4235,55.6767,55.6767,55.6767,55.6767,55.6767,55.6767,55.7099,55.6767,55.6767,55.6767,55.6767,55.6767,55.6767,55.6767,55.6767,55.6857,55.5763,55.6767,55.6767,55.6767,55.6767,55.2713,55.6767,55.6767,55.6767,21.9229,6.63129,56.1584,56.1521,55.725,56.0426,65.9675,55.6767,55.6767,55.6767,55.6767,55.6767,58.8178,55.168,10617.2,55.6767,32.2667,55.6767,55.6767,55.6767,55.6767,55.6767,55.6767,309.877,55.6767,55.6767,55.6767,55.6767,2465.9,55.6767,55.6767,55.6767,55.6767,134.972,55.6767,55.6767,55.9462,55.6767,55.6767,55.6767,55.6767,55.6767,55.6767,55.4858,55.6767,55.6767,5326.05,55.6767,55.6767,55.6767,55.6767
