ParameterName,default,117.90110501323258,1.8134538114909238,1.781128990335049,1.7563755915642913,1.7369900597514472,1.7047530292266282,1.7007822802108217,1.6747505109331708,1.6692497519513982,1.6692497519513982.1,1.6684272205491018,1.6684272205491018.1,1.661383700435158,1.6571188454222692,1.6571188454222692.1,1.6562482469791344,1.6561380296307664,1.6540411727897948,1.6492035738308697,1.6492035738308697.1,1.6463502842752897,1.6463502842752897.1,1.6463502842752897.1.1,1.6279174912734804,1.6271255450481659,1.6271255450481659.1,1.6199362225039158,1.6199362225039158.1,1.6185417434908609,1.6185417434908609.1,1.6185417434908609.1.1,1.6185417434908609.1.1.1,1.6026661895715362,1.6026661895715362.1,1.6026661895715362
UpperZoneTimeConstant,8.986268312139105,21.180061114341992,10.024363923768387,10.024363923768387,10.024363923768387,8.82431558730989,8.82431558730989,8.82431558730989,8.82431558730989,7.552115136332288,7.552115136332288,7.552115136332288,7.552115136332288,7.552115136332288,7.552115136332288,7.552115136332288,7.552115136332288,7.552115136332288,7.552115136332288,7.552115136332288,7.552115136332288,19.965542230075894,19.965542230075894,19.965542230075894,19.965542230075894,19.965542230075894,19.965542230075894,19.965542230075894,19.965542230075894,19.965542230075894,19.965542230075894,19.965542230075894,19.965542230075894,19.965542230075894,19.965542230075894,19.965542230075894
LowerZoneTimeConstant,2540.5222286567573,4020.829653970233,3321.052981330283,3321.052981330283,3321.052981330283,3321.052981330283,3321.052981330283,3153.0260862688247,3153.0260862688247,3153.0260862688247,3153.0260862688247,3499.5166036803626,3499.5166036803626,3499.5166036803626,3499.5166036803626,3499.5166036803626,3499.5166036803626,3499.5166036803626,3499.5166036803626,3499.5166036803626,3499.5166036803626,5327.306312513963,5327.306312513963,5327.306312513963,5327.306312513963,6869.511639873615,6869.511639873615,6869.511639873615,6869.511639873615,6869.511639873615,6869.511639873615,6869.511639873615,6869.511639873615,6869.511639873615,6869.511639873615,6869.5116398736145
GwPercValue,0.2042084431463395,1.386141599378496,1.6766987207839916,1.84876898847438,1.9043551229342144,1.9043551229342144,1.9043551229342144,1.9043551229342144,1.8291224206705896,1.8291224206705896,1.8291224206705896,1.8291224206705896,1.8291224206705896,1.8291224206705896,1.8291224206705896,1.8291224206705896,1.8291224206705896,1.8291224206705896,1.8291224206705896,1.8291224206705896,1.8291224206705896,1.8291224206705896,1.8291224206705896,1.8291224206705896,1.9587391209902625,1.9587391209902625,1.9587391209902625,1.9587391209902625,1.9587391209902625,1.9587391209902625,1.9587391209902625,1.9587391209902625,1.9587391209902625,1.9587391209902625,1.9587391209902625,1.9587391209902623
LZThreshold,12.492190273012634,10.337550751246884,11.945147962508184,11.945147962508184,11.945147962508184,11.945147962508184,11.945147962508184,9.74999486443677,16.08943204839461,16.08943204839461,16.08943204839461,5.850143245232268,5.850143245232268,5.850143245232268,5.850143245232268,5.850143245232268,5.850143245232268,5.850143245232268,5.850143245232268,5.850143245232268,5.850143245232268,5.850143245232268,5.850143245232268,5.850143245232268,5.850143245232268,5.850143245232268,5.850143245232268,5.850143245232268,10.298377099566084,10.298377099566084,10.298377099566084,16.62331184219599,16.62331184219599,16.62331184219599,16.62331184219599,16.62331184219599
b_Xinanjiang,2.5655273354784933,1.3601733981544266,3.4156392158538864,3.4156392158538864,3.4156392158538864,3.4156392158538864,3.8723773592445534,3.8723773592445534,3.8723773592445534,3.8723773592445534,3.8723773592445534,3.8723773592445534,3.8723773592445534,4.3279984110984895,4.3279984110984895,4.3279984110984895,4.3279984110984895,4.3279984110984895,4.295461331414243,4.295461331414243,4.295461331414243,4.295461331414243,4.295461331414243,4.295461331414243,4.295461331414243,4.295461331414243,4.295461331414243,4.295461331414243,4.295461331414243,4.6222232012062605,4.6222232012062605,4.6222232012062605,4.6222232012062605,4.6222232012062605,4.6222232012062605,4.6222232012062605
PowerPrefFlow,4.920402105156972,4.867488547910117,5.126231874280955,6.351355655438688,6.351355655438688,6.351355655438688,6.351355655438688,5.943009371639222,5.943009371639222,5.943009371639222,5.943009371639222,5.943009371639222,5.943009371639222,5.943009371639222,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736,6.103225405685736
SnowMeltCoef,4.774950725124599,4.376025645584995,3.9118474433671193,3.9118474433671193,3.425649557879811,3.425649557879811,3.425649557879811,3.425649557879811,3.425649557879811,3.425649557879811,3.425649557879811,3.425649557879811,3.425649557879811,3.8709113799357,3.8709113799357,3.8709113799357,3.8709113799357,3.8709113799357,3.8709113799357,3.8709113799357,3.8709113799357,3.8709113799357,3.8709113799357,3.8709113799357,2.770301998228076,2.770301998228076,2.770301998228076,2.770301998228076,2.770301998228076,2.770301998228076,2.770301998228076,2.770301998228076,2.770301998228076,2.770301998228076,2.770301998228076,2.770301998228076
CalChanMan,1.9009717292931865,1.0831748257968,1.0021384875325092,1.0021384875325092,1.0021384875325092,1.0021384875325092,1.2291782807998797,1.2291782807998797,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491,1.4808089960768491
CalChanMan2,3.038533029334572,3.1188485292662835,3.1188485292662835,3.700993953971718,3.700993953971718,3.700993953971718,3.700993953971718,3.700993953971718,3.700993953971718,3.700993953971718,4.460477245855413,4.460477245855413,4.460477245855413,4.460477245855413,2.6526299803182605,2.6526299803182605,1.7705390426297398,3.3601821501730216,3.3601821501730216,3.3601821501730216,3.3601821501730216,3.3601821501730216,3.3601821501730216,1.5745383890454503,1.5745383890454503,1.5745383890454503,1.5745383890454503,1.5745383890454503,1.5745383890454503,1.5745383890454503,1.5745383890454503,1.5745383890454503,1.5745383890454503,1.5745383890454503,1.5745383890454503,1.5745383890454505
LakeMultiplier,1.7474212305968166,1.997264559811056,1.997264559811056,1.997264559811056,1.920975822135228,1.920975822135228,1.920975822135228,1.920975822135228,1.920975822135228,1.920975822135228,1.920975822135228,1.920975822135228,1.920975822135228,1.99047128742302,1.6760576389697297,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.92207051362986,1.9220705136298597
