time,y,x,laii,laio,laif
1.0,7151615.942,610148.259,2.2576048,0.0,1.9756863
1.0,7151615.942,615148.259,2.1111994,0.0,1.7220956
1.0,7151615.942,620148.259,2.2245655,0.0002745859,2.1409595
1.0,7151615.942,625148.259,2.3664343,0.061977435,0.65209955
1.0,7151615.942,630148.259,1.8905854,0.13343313,1.0425364
1.0,7151615.942,635148.259,2.2106004,0.00031544847,2.1536396
1.0,7151615.942,640148.259,2.8732424,0.0012107649,1.9893138
1.0,7151615.942,645148.259,2.693198,0.0016644908,1.3644202
1.0,7151615.942,650148.259,2.639154,0.000757484,1.2837858
1.0,7151615.942,655148.259,2.467162,0.0002197939,1.2985877
1.0,7151615.942,660148.259,2.13618,0.0031751313,1.0407625
1.0,7151615.942,665148.259,2.3830132,0.013577465,1.6015612
1.0,7151615.942,670148.259,1.8950192,0.074654885,1.3033612
1.0,7151615.942,675148.259,2.119975,0.014090052,2.241014
1.0,7151615.942,680148.259,2.4345632,0.006955544,1.6884557
1.0,7151615.942,685148.259,1.8601557,0.026207872,2.4907622
1.0,7151615.942,690148.259,1.6243525,0.039385464,3.9676826
1.0,7151615.942,695148.259,0.52641666,0.0,5.640188
1.0,7151615.942,700148.259,0.30720782,0.0,5.926063
1.0,7151615.942,705148.259,0.019610947,0.0,6.313659
1.0,7156615.942,610148.259,2.6038218,0.0,2.3627954
1.0,7156615.942,615148.259,2.7075772,0.0012096204,1.8542057
1.0,7156615.942,620148.259,3.0223374,0.0050289487,0.8571324
1.0,7156615.942,625148.259,3.3612294,0.012605827,0.3883097
1.0,7156615.942,630148.259,2.6446478,0.0008666031,1.1185148
1.0,7156615.942,635148.259,2.3790786,0.03654915,1.3051895
1.0,7156615.942,640148.259,2.5355954,0.0025841335,1.2830554
1.0,7156615.942,645148.259,1.8084785,0.05531812,0.6333794
1.0,7156615.942,650148.259,2.0206525,0.021268716,0.79079914
1.0,7156615.942,655148.259,2.7651453,0.008827004,0.94622296
1.0,7156615.942,660148.259,2.2058845,0.0009925624,1.3134617
1.0,7156615.942,665148.259,2.2151134,0.0373862,1.8773111
1.0,7156615.942,670148.259,1.1936867,0.10633868,0.5939076
1.0,7156615.942,675148.259,1.908601,0.029489476,1.6846839
1.0,7156615.942,680148.259,2.1274889,0.011935282,1.4017462
1.0,7156615.942,685148.259,1.7956401,0.0816982,1.5817394
1.0,7156615.942,690148.259,1.9684274,0.007334902,2.4198446
1.0,7156615.942,695148.259,0.75134695,0.0006331579,5.3063
1.0,7156615.942,700148.259,0.127978,0.0,6.1052933
1.0,7156615.942,705148.259,0.03523822,0.0067310953,6.013774
1.0,7161615.942,610148.259,2.562689,0.0,1.8706001
1.0,7161615.942,615148.259,3.084231,0.00022670001,0.9481555
1.0,7161615.942,620148.259,3.3522985,0.00014730147,0.31303665
