,chanlength,chan,chanbw,chanman,elvstd,gradient,chanflpn,changrad,chanbnkf,lzavin,lat,cropgrpn_o,mannings_o,soildepth3_i,soildepth1_f,cropgrpn_i,cropcoef_o,cropcoef_i,soildepth1_o,soildepth2_o,soildepth2_f,mannings_f,soildepth3_f,soildepth1_i,mannings_i,soildepth2_i,cropgrpn_f,soildepth3_o,cropcoef_f,et,es,ta,pr,e0,laii,laio,laif,thetar3,thetas2,genua1_f,genua1_o,lambda2_o,genua3_f,thetar1,lambda3,thetas3,ksat2_o,thetar2,ksat3_o,thetas3_o,ksat2_f,thetar3_o,lambda2_f,lambda1_o,thetas1_o,lambda3_o,lambda1,ksat2,thetas1,thetas2_o,ksat1,genua3_o,genua2,genua2_f,thetas1_f,ksat3_f,lambda1_f,genua3,thetar1_o,thetar2_f,ksat1_f,ksat1_o,genua1,thetas3_f,ksat3,lambda3_f,genua2_o,thetas2_f,thetar2_o,lambda2,thetar3_f,thetar1_f
0,84.5847,66.7609,88.0587,65.6209,66.7609,89.0195,66.7609,66.9541,90.8762,66.7609,66.7609,66.7609,66.2102,66.7609,75.6224,66.7609,66.7609,66.7609,67.3949,77.1299,868.208,23.5118,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,113.31,66.7609,66.7609,66.7609,10826.5,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,66.0204,66.7609,66.7609,66.7609,66.7609,66.0204,66.7609,66.7609,66.7609,66.7609,65.7896,66.7609,66.7589,66.7609,66.7609,66.7609,66.7599,66.7609,66.7609,66.7609,66.7609,66.7609,66.7609,7.77355,66.7609,66.7609,66.7609,66.7609
1,122.309,122.845,122.877,122.304,122.845,145.598,122.845,122.932,122.973,122.845,122.845,122.852,111.351,122.845,135.572,122.845,122.724,122.743,121.607,130.394,1124.57,65.7116,122.845,122.845,122.845,122.845,122.855,122.845,123.27,122.147,122.845,122.845,478.669,121.847,114.187,122.752,121.636,3686.16,122.845,122.846,122.864,122.014,122.845,187.567,123.902,122.845,122.845,12616.8,122.845,122.845,122.845,122.845,123.136,122.873,119.69,122.845,122.845,122.845,122.845,115.957,122.845,122.845,122.845,123.317,109.175,122.845,122.846,122.845,122.845,122.845,122.845,122.845,122.845,122.845,123.089,122.845,122.822,26.2018,122.845,122.845,122.845,122.845
2,159.756,160.694,160.539,160.375,160.338,172.458,160.694,160.747,160.69,160.694,160.694,160.68,146.956,160.694,174.701,160.679,160.32,160.483,163.225,180.957,1192.85,110.796,160.695,160.694,160.694,160.694,160.736,160.694,159.932,156.221,160.694,160.694,703.384,156.993,148.668,160.571,154.205,60852.0,160.694,160.691,160.694,159.107,160.694,241.072,164.438,160.695,160.694,12866.1,160.694,160.694,160.694,160.694,160.094,160.687,159.856,160.694,160.694,160.694,160.694,163.039,160.694,160.694,160.694,159.812,143.407,160.694,160.686,160.513,160.694,160.694,160.693,160.694,160.694,160.694,163.383,160.694,160.116,53.1828,160.694,160.694,160.694,160.694
3,144.194,143.906,143.96,144.011,143.931,143.609,143.906,143.888,143.908,143.906,143.906,143.902,140.301,143.906,158.036,143.9,143.751,143.823,145.872,163.692,1178.19,107.493,143.907,143.906,143.906,143.906,143.825,143.906,143.587,142.059,143.906,143.906,343.925,142.207,139.411,143.858,139.633,8345.14,143.906,143.903,143.908,143.45,143.906,228.391,146.998,143.907,143.906,12872.7,143.906,143.906,143.906,143.906,143.139,143.907,142.116,143.906,143.906,143.906,143.906,144.383,143.906,143.906,143.906,143.303,124.744,143.906,143.902,143.739,143.906,143.906,143.907,143.906,143.906,143.906,145.935,143.906,143.723,32.1298,143.906,143.906,143.906,143.906
4,128.926,128.586,128.642,128.699,128.761,126.871,128.586,128.567,128.588,128.586,128.586,128.584,128.02,128.586,142.424,128.583,128.511,128.548,129.654,143.295,1158.1,103.333,128.586,128.586,128.586,128.586,128.612,128.586,128.742,128.69,128.586,128.586,164.438,128.575,126.556,128.563,127.447,61555.1,128.586,128.587,128.587,128.41,128.586,206.821,129.797,128.586,128.586,12831.1,128.586,128.586,128.586,128.586,128.848,128.586,126.622,128.586,128.586,128.586,128.586,125.932,128.586,128.586,128.586,128.831,110.109,128.586,128.584,128.585,128.586,128.586,128.584,128.586,128.586,128.586,128.917,128.586,128.508,13.7486,128.586,128.586,128.586,128.586
5,126.354,126.29,126.299,126.309,126.331,124.658,126.29,126.287,126.29,126.29,126.29,126.289,126.778,126.29,140.147,126.288,126.249,126.27,127.524,141.58,1155.9,109.189,126.29,126.29,126.29,126.29,126.318,126.29,126.389,126.421,126.29,126.29,142.434,126.348,125.22,126.278,125.489,8404.74,126.29,126.29,126.29,126.209,126.29,205.501,127.35,126.29,126.29,12830.9,126.29,126.29,126.29,126.29,126.482,126.29,124.374,126.29,126.29,126.29,126.29,124.005,126.29,126.29,126.29,126.454,107.361,126.29,126.29,126.29,126.29,126.29,126.29,126.29,126.29,126.29,126.519,126.29,126.251,11.2144,126.29,126.29,126.29,126.29
6,136.496,136.718,136.68,136.642,136.751,139.557,136.718,136.731,136.717,136.718,136.718,136.717,133.129,136.718,150.506,136.717,136.688,136.703,138.649,151.799,1165.34,124.059,136.718,136.718,136.718,136.718,136.758,136.718,136.842,136.163,136.718,136.718,343.601,136.125,130.711,136.941,134.705,61590.1,136.718,136.719,136.682,135.852,136.718,214.575,137.743,136.718,136.718,12833.6,136.718,136.718,136.718,136.718,136.947,136.639,135.571,136.718,136.718,136.718,136.718,134.667,136.718,136.718,136.718,136.932,118.685,136.718,136.716,136.718,136.718,136.718,136.716,136.718,136.718,136.718,136.929,136.718,136.108,21.1864,136.718,136.718,136.718,136.718
7,135.925,135.924,135.925,135.926,135.94,134.643,135.924,135.924,135.924,135.924,135.924,135.924,135.717,135.924,149.887,135.924,135.908,135.917,137.568,152.811,1168.31,127.622,135.924,135.924,135.924,135.924,135.956,135.924,135.929,135.486,135.924,135.924,261.936,135.46,133.066,136.034,133.23,8415.2,135.924,135.923,135.912,135.621,135.924,220.641,138.555,135.924,135.924,12860.4,135.924,135.924,135.924,135.924,135.748,135.898,134.027,135.924,135.924,135.924,135.924,133.941,135.924,135.924,135.924,135.822,116.522,135.924,135.922,135.795,135.924,135.924,135.925,135.924,135.924,135.924,137.552,135.924,135.713,20.5767,135.924,135.924,135.924,135.924
8,148.746,149.031,148.982,148.934,149.043,154.834,149.031,149.047,149.029,149.031,149.031,149.031,141.431,149.031,162.753,149.031,149.017,149.025,151.197,163.833,1176.6,141.308,149.031,149.031,149.031,149.031,149.083,149.031,149.154,148.544,149.031,149.031,522.317,148.55,139.058,149.267,145.508,61582.1,149.031,149.032,148.972,148.186,149.031,224.602,150.094,149.031,149.031,12836.3,149.031,149.031,149.031,149.031,149.12,148.902,148.005,149.031,149.031,149.031,149.031,146.801,149.031,149.031,149.031,149.283,130.887,149.031,149.03,149.03,149.031,149.031,149.029,149.031,149.031,149.031,149.254,149.031,148.352,33.6157,149.031,149.031,149.031,149.031
9,153.67,153.784,153.766,153.747,153.79,154.155,153.784,153.789,153.783,153.784,153.784,153.783,150.249,153.784,167.771,153.783,153.777,153.781,156.381,172.232,1186.58,148.05,153.784,153.784,153.784,153.784,153.784,153.784,153.702,152.557,153.784,153.784,501.055,152.683,146.1,154.039,149.024,8433.76,153.784,153.781,153.726,152.973,153.784,241.346,156.47,153.784,153.784,12883.5,153.784,153.784,153.784,153.784,152.891,153.659,153.14,153.784,153.784,153.784,153.784,151.232,153.784,153.784,153.784,153.479,134.444,153.784,153.781,153.616,153.784,153.784,153.784,153.784,153.784,153.784,155.448,153.784,153.118,37.5171,153.784,153.784,153.784,153.784
10,136.827,136.466,136.528,136.59,136.47,133.705,136.466,136.446,136.469,136.466,136.466,136.466,137.368,136.466,150.32,136.466,136.463,136.465,138.311,152.77,1167.16,133.081,136.467,136.466,136.466,136.466,136.502,136.466,136.494,136.28,136.466,136.466,249.854,136.322,132.994,136.586,133.318,61563.4,136.466,136.465,136.448,136.199,136.466,218.792,138.914,136.467,136.466,12850.7,136.466,136.466,136.466,136.466,136.298,136.427,135.231,136.466,136.466,136.466,136.466,134.268,136.466,136.466,136.466,136.51,116.799,136.466,136.463,136.35,136.466,136.466,136.465,136.466,136.466,136.466,137.943,136.466,136.25,20.8867,136.466,136.466,136.466,136.466
11,128.495,128.295,128.327,128.36,128.297,125.841,128.295,128.284,128.296,128.295,128.295,128.295,130.374,128.295,142.141,128.295,128.293,128.294,129.901,144.216,1157.58,126.308,128.295,128.295,128.295,128.295,128.333,128.295,128.326,128.274,128.295,128.295,155.072,128.294,126.696,128.358,126.853,8399.62,128.295,128.295,128.288,128.185,128.295,207.654,129.377,128.295,128.295,12831.1,128.295,128.295,128.295,128.295,128.248,128.279,126.972,128.295,128.295,128.295,128.295,126.442,128.295,128.295,128.295,128.357,108.685,128.295,128.296,128.294,128.295,128.295,128.296,128.295,128.295,128.295,128.519,128.295,128.207,13.6814,128.295,128.295,128.295,128.295
12,126.21,126.151,126.16,126.169,126.152,124.254,126.151,126.148,126.151,126.151,126.151,126.151,128.459,126.151,140.011,126.151,126.15,126.151,127.66,142.064,1155.74,125.019,126.151,126.151,126.151,126.151,126.185,126.151,126.171,126.161,126.151,126.151,139.102,126.173,125.262,126.187,125.14,61583.4,126.151,126.15,126.148,126.098,126.151,205.874,127.135,126.151,126.151,12830.8,126.151,126.151,126.151,126.151,126.136,126.144,124.723,126.151,126.151,126.151,126.151,124.3,126.151,126.151,126.151,126.197,107.097,126.151,126.148,126.15,126.151,126.151,126.15,126.151,126.151,126.151,126.326,126.151,126.109,11.532,126.151,126.151,126.151,126.151
13,126.191,126.187,126.187,126.188,126.188,125.166,126.187,126.187,126.187,126.187,126.187,126.187,128.104,126.187,140.055,126.187,126.186,126.187,128.271,142.801,1155.78,125.346,126.187,126.187,126.187,126.187,126.222,126.187,126.2,126.027,126.187,126.187,173.682,126.144,125.186,126.207,125.097,8425.3,126.187,126.187,126.167,126.111,126.187,206.671,127.191,126.187,126.187,12831.0,126.187,126.187,126.187,126.187,126.038,126.142,125.361,126.187,126.187,126.187,126.187,124.188,126.187,126.187,126.187,126.154,107.19,126.187,126.188,126.187,126.187,126.187,126.188,126.187,126.187,126.187,126.368,126.187,126.117,11.625,126.187,126.187,126.187,126.187
14,136.215,136.445,136.405,136.367,136.446,139.482,136.445,136.458,136.443,136.445,136.445,136.445,134.684,136.445,150.263,136.445,136.444,136.444,138.637,153.496,1165.56,134.879,136.445,136.445,136.445,136.445,136.482,136.445,136.475,135.937,136.445,136.445,369.705,136.195,130.924,136.412,133.641,61613.0,136.445,136.444,136.39,136.133,136.445,216.551,138.424,136.445,136.445,12838.1,136.445,136.445,136.445,136.445,135.677,136.328,135.365,136.445,136.445,136.445,136.445,132.249,136.445,136.445,136.445,136.397,118.198,136.445,136.442,136.364,136.445,136.445,136.443,136.445,136.445,136.445,137.48,136.445,136.138,21.3932,136.445,136.445,136.445,136.445
15,135.571,135.56,135.563,135.566,135.56,134.702,135.56,135.559,135.56,135.56,135.56,135.56,136.184,135.56,149.426,135.56,135.559,135.56,137.594,152.89,1167.3,134.66,135.561,135.56,135.56,135.56,135.592,135.56,135.547,135.193,135.56,135.56,287.296,135.401,132.605,135.542,132.578,8426.58,135.56,135.559,135.541,135.444,135.56,221.257,138.052,135.561,135.56,12859.3,135.56,135.56,135.56,135.56,134.956,135.52,134.515,135.56,135.56,135.56,135.56,132.218,135.56,135.56,135.56,135.406,115.833,135.56,135.56,135.436,135.56,135.56,135.561,135.56,135.56,135.56,137.063,135.56,135.447,19.0262,135.56,135.56,135.56,135.56
