,codigo,tipoId,nome,coletaId,orgaoId,municipioId,altitude,latitude,longitude,iniciooperacao,datainstalacao,fimoperacao,orgao
4301,25254856.0,H,Barragem UHE Marumbi,T,1.0,4116208.0,707.0,-25.4296,-48.9489,2008-11-21,2008-11-21T00:00:00+0000,,SIMEPAR
4308,25134856.0,H,Capivari Montante,T,1.0,4104006.0,819.0,-25.2208,-48.9395,2000-03-21,2000-03-21T00:00:00+0000,,SIMEPAR
4319,25424858.0,H,Guaricana,T,1.0,4125506.0,709.79,-25.7114,-48.9828,1997-06-01,1997-06-01T00:00:00+0000,,SIMEPAR
4328,25334953.0,H,Porto Amazonas,T,1.0,4120101.0,0.0,-25.55,-49.8833,1997-06-01,1997-06-01T00:00:00+0000,,SIMEPAR
4333,25184889.0,H,Recanto do Maneco,T,1.0,4104006.0,808.0,-25.1825,-48.8981,2012-05-10,2012-05-10T00:00:00+0000,,SIMEPAR
4346,25484859.0,H,Salto do Meio,T,1.0,4125506.0,815.0,-25.80797,-48.99193,1997-06-01,1997-06-01T00:00:00+0000,,SIMEPAR
4348,25564947.0,H,São Bento,T,1.0,4113205.0,799.0,-25.9333,-49.7833,1997-09-17,1997-09-17T00:00:00+0000,,SIMEPAR
4355,25494905.0,H,Vossoroca,T,1.0,4127601.0,851.0,-25.8166,-49.0833,1997-06-01,1997-06-01T00:00:00+0000,,SIMEPAR
4762,25264916.0,M,Curitiba,T,1.0,4106902.0,935.0,-25.44817,-49.23033,1997-06-01,1997-06-01T03:00:00+0000,,SIMEPAR
4764,25654927.0,M,Fazenda Gralha Azul-PUC,T,1.0,4107652.0,911.73,-25.65457,-49.27852,2009-09-03,2009-09-03T00:00:00+0000,,SIMEPAR
4775,25474946.0,M,Lapa,T,1.0,4113205.0,909.8,-25.7817,-49.7598,1997-06-01,1997-06-01T03:00:00+0000,,SIMEPAR
4789,25254905.0,M,Pinhais,T,1.0,4119152.0,930.0,-25.3907,-49.1299,1998-07-10,1998-07-10T20:00:00+0000,,SIMEPAR
