,pr
2013-01-01,2.7750000000000004
2013-01-02,14.175
2013-01-03,9.024999999999999
2013-01-04,1.275
2013-01-05,0.35000000000000003
2013-01-06,0.1
2013-01-07,6.275
2013-01-08,0.07500000000000001
2013-01-09,10.8
2013-01-10,6.3500000000000005
2013-01-11,0.3
2013-01-12,0.375
2013-01-13,0.07500000000000001
2013-01-14,2.375
2013-01-15,12.875
2013-01-16,1.9249999999999998
2013-01-17,6.625
2013-01-18,0.575
2013-01-19,11.675
2013-01-20,0.8250000000000001
2013-01-21,3.0749999999999997
2013-01-22,6.1000000000000005
2013-01-23,0.9750000000000001
2013-01-24,0.19999999999999998
2013-01-25,0.0
2013-01-26,2.025
2013-01-27,0.42500000000000004
2013-01-28,0.55
2013-01-29,0.025
2013-01-30,0.0
2013-01-31,0.07500000000000001
2013-02-01,0.05
2013-02-02,0.125
2013-02-03,32.375
2013-02-04,20.975
2013-02-05,0.525
2013-02-06,0.05
2013-02-07,2.1
2013-02-08,24.975
2013-02-09,11.350000000000001
2013-02-10,3.975
2013-02-11,10.524999999999999
2013-02-12,7.6499999999999995
2013-02-13,6.05
2013-02-14,2.5749999999999997
2013-02-15,6.85
2013-02-16,1.85
2013-02-17,8.925
2013-02-18,10.775
2013-02-19,27.7
2013-02-20,10.35
2013-02-21,6.574999999999999
2013-02-22,0.175
2013-02-23,1.9749999999999996
2013-02-24,0.325
2013-02-25,0.375
2013-02-26,2.5
2013-02-27,28.325
2013-02-28,0.8500000000000001
2013-03-01,1.325
2013-03-02,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,0.07500000000000001
2013-03-06,18.625
2013-03-07,10.3
2013-03-08,4.85
2013-03-09,1.2249999999999999
2013-03-10,7.6
2013-03-11,1.95
2013-03-12,5.175
2013-03-13,2.575
2013-03-14,47.725
2013-03-15,2.025
2013-03-16,2.775
2013-03-17,13.325
2013-03-18,1.575
2013-03-19,0.9500000000000001
2013-03-20,3.4750000000000005
2013-03-21,6.0
2013-03-22,0.2
2013-03-23,0.15000000000000002
2013-03-24,0.8250000000000001
2013-03-25,20.475
2013-03-26,0.4
2013-03-27,4.425
2013-03-28,0.7142857142857143
2013-03-29,1.1142857142857143
2013-03-30,3.1499999999999995
2013-03-31,0.625
2013-04-01,0.05
2013-04-02,0.025
2013-04-03,6.1
2013-04-04,2.25
2013-04-05,11.3
2013-04-06,17.325
2013-04-07,0.0
2013-04-08,0.05
2013-04-09,0.275
2013-04-10,0.0
2013-04-11,0.025
2013-04-12,0.0
2013-04-13,20.075000000000003
2013-04-14,5.6499999999999995
2013-04-15,0.17500000000000002
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-19,0.275
2013-04-20,0.0
2013-04-21,0.05
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,1.35
2013-04-25,0.625
2013-04-26,0.0
2013-04-27,0.0
2013-04-28,0.025
2013-04-29,0.0
2013-04-30,0.025
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,0.0
2013-05-04,0.07500000000000001
2013-05-05,0.0
2013-05-06,14.575
2013-05-07,2.025
2013-05-08,0.025
2013-05-09,0.0
2013-05-10,0.0
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,0.0
2013-05-14,0.42857142857142855
2013-05-15,0.19999999999999998
2013-05-16,1.1428571428571428
2013-05-17,14.114285714285714
2013-05-18,2.1999999999999997
2013-05-19,0.14285714285714285
2013-05-20,0.14285714285714285
2013-05-21,0.028571428571428574
2013-05-22,0.05714285714285715
2013-05-23,9.228571428571428
2013-05-24,1.8857142857142857
2013-05-25,0.3428571428571429
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,6.314285714285715
2013-05-29,26.228571428571428
2013-05-30,19.914285714285715
2013-05-31,0.4857142857142857
2013-06-01,0.0
2013-06-02,0.8571428571428571
2013-06-03,35.22857142857143
2013-06-04,0.028571428571428574
2013-06-05,0.0
2013-06-06,0.05714285714285715
2013-06-07,0.0
2013-06-08,0.0
2013-06-09,0.07500000000000001
2013-06-10,0.0
2013-06-11,0.17500000000000002
2013-06-12,5.475
2013-06-13,0.1
2013-06-14,0.025
2013-06-15,0.25
2013-06-16,3.475
2013-06-17,31.700000000000003
2013-06-18,6.7
2013-06-19,0.07500000000000001
2013-06-20,7.875
2013-06-21,65.3
2013-06-22,96.475
2013-06-23,0.025
2013-06-24,0.125
2013-06-25,43.849999999999994
2013-06-26,6.325
2013-06-27,1.7750000000000001
2013-06-28,4.0
2013-06-29,0.125
2013-06-30,13.649999999999999
2013-07-01,22.65
2013-07-02,2.4250000000000003
2013-07-03,0.1
2013-07-04,0.0
2013-07-05,0.025
2013-07-06,0.05
2013-07-07,0.07500000000000001
2013-07-08,0.1
2013-07-09,0.37500000000000006
2013-07-10,0.5750000000000001
2013-07-11,0.125
2013-07-12,0.0
2013-07-13,0.0
2013-07-14,0.05
2013-07-15,0.0
2013-07-16,0.325
2013-07-17,0.05
2013-07-18,0.0
2013-07-19,0.0
2013-07-20,22.35
2013-07-21,49.8
2013-07-22,60.4
2013-07-23,33.68571428571429
2013-07-24,2.6000000000000005
2013-07-25,0.028571428571428574
2013-07-26,2.257142857142857
2013-07-27,0.08571428571428573
2013-07-28,0.0
2013-07-29,0.05
2013-07-30,0.025
2013-07-31,0.0
2013-08-01,0.0
2013-08-02,0.35
2013-08-03,0.0
2013-08-04,0.0
2013-08-05,0.9749999999999999
