,codigo,tipoId,nome,coletaId,orgaoId,municipioId,altitude,latitude,longitude,iniciooperacao,datainstalacao,fimoperacao,orgao
18,25644907,P,Reservatório Miringuava,T,7.0,4125506.0,944.0,-25.64231,-49.07424,2020-12-08,2020-12-08T16:56:25+0000,,SANEPAR
19,25444947,P,Bom Jesus da Aldeia,T,84.0,4104204.0,,-25.44211,-49.47309,2016-01-26,,,IAT
20,25674917,P,Campo Largo da Roseira,T,84.0,4125506.0,906.0,-25.67494,-49.17972,2016-06-15,,,IAT
21,25544907,P,Chacara Guajubi,T,84.0,4125506.0,906.0,-25.54619,-49.07237,2016-01-25,,,IAT
22,25284923,P,Colombo Copel,T,84.0,4105805.0,,-25.28776,-49.23149,2016-01-25,,,IAT
23,25684954,P,Contenda Copel,T,84.0,4106209.0,,-25.681,-49.54176,2016-01-25,,,IAT
24,25484904,P,Entremar,T,84.0,4119509.0,,-25.48915,-49.04107,2016-06-23,,,IAT
25,25594916,P,Grammer Sanepar,T,84.0,4125506.0,906.0,-25.58524,-49.1677,2016-01-25,,,IAT
26,25664910,P,Malhada,T,84.0,4125506.0,906.0,-25.66264,-49.10322,2016-06-15,,,IAT
27,25584916,P,Mandirituba Copel,T,84.0,4114302.0,,-25.77708,-49.32475,2016-01-25,,,IAT
28,25364907,P,Quatro Barras,T,84.0,4120804.0,,-25.36761,-49.074,2016-06-14,,,IAT
29,25464957,P,Santa Cecília,T,84.0,4104204.0,,-25.46276,-49.57091,2016-06-14,,,IAT
30,25454904,P,São Cristovão,T,84.0,4119509.0,,-25.45196,-49.0496,2016-02-18,,,IAT
118,25314930,P,ALMIRANTE TAMANDARÉ - Centro,T,86.0,4100400.0,,-25.31,-49.298,2014-07-25,2014-08-08T12:24:18+0000,2018-11-03,CEMADEN
119,25314929,P,ALMIRANTE TAMANDARÉ - Centro,T,86.0,4100400.0,,-25.31,-49.298,2015-02-05,2015-02-06T11:36:48+0000,2020-04-07,CEMADEN
120,25344928,P,ALMIRANTE TAMANDARÉ - Jardim Bonfim,T,86.0,4100400.0,,-25.344,-49.28,2014-07-25,2014-08-08T12:24:25+0000,,CEMADEN
121,25344925,P,ALMIRANTE TAMANDARÉ- Jardim Graziela,T,86.0,4100400.0,,-25.343,-49.246,2014-07-25,2014-08-08T12:24:21+0000,2019-02-15,CEMADEN
122,25314931,P,ALMIRANTE TAMANDARÉ - Jardim Planalto,T,86.0,4100400.0,,-25.312,-49.308,2014-07-25,2014-08-08T12:24:26+0000,,CEMADEN
123,25334927,P,ALMIRANTE TAMANDARÉ - Jardim Roma,T,86.0,4100400.0,,-25.327,-49.273,2014-07-25,2014-08-08T12:24:25+0000,2017-01-17,CEMADEN
124,25324927,P,ALMIRANTE TAMANDARÉ - Jardim Rosana,T,86.0,4100400.0,,-25.316,-49.267,2015-02-05,2015-02-06T16:38:50+0000,,CEMADEN
125,25374931,P,ALMIRANTE TAMANDARÉ - Jardim Tanguá,T,86.0,4100400.0,,-25.371,-49.308,2014-07-25,2014-08-08T12:24:19+0000,2020-04-07,CEMADEN
126,25264930,P,ALMIRANTE TAMANDARÉ - Tranqueira,T,86.0,4100400.0,,-25.259,-49.301,2014-07-25,2014-08-08T12:24:22+0000,,CEMADEN
319,25594939,P,ARAUCÁRIA - Centro,T,86.0,4101804.0,897.0,-25.595,-49.388,2015-02-23,2015-02-23T21:15:16+0000,,CEMADEN
320,25544938,P,ARAUCÁRIA- Escola Municipal Eglé Cordeiro Machado Pinto,T,86.0,4101804.0,897.0,-25.5433,-49.3813,2015-02-23,2015-02-23T20:15:15+0000,,CEMADEN
786,25314905,P,CAMPINA GRANDE DO SUL - Jardim da Colina,T,86.0,4104006.0,,-25.311,-49.053,2014-07-25,2014-08-08T12:24:24+0000,,CEMADEN
787,25334908,P,CAMPINA GRANDE DO SUL - Jardim Diamante,T,86.0,4104006.0,,-25.334,-49.079,2015-02-05,2015-02-06T16:38:50+0000,,CEMADEN
788,25334907,P,CAMPINA GRANDE DO SUL - Jardim Diamante,T,86.0,4104006.0,,-25.334,-49.079,2014-08-15,2014-08-15T02:10:10+0000,2020-04-07,CEMADEN
789,25364911,P,CAMPINA GRANDE DO SUL - Jardim Graciosa,T,86.0,4104006.0,,-25.356,-49.109,2014-07-25,2014-08-08T12:24:20+0000,,CEMADEN
813,25444946,P,CAMPO LARGO - Ferraria,T,86.0,4104204.0,,-25.43937,-49.45527,2016-02-19,2016-02-18T14:15:04+0000,,CEMADEN
814,25454956,P,CAMPO LARGO - Vila Andreas,T,86.0,4104204.0,,-25.44889,-49.55519,2016-02-19,2016-02-18T14:15:14+0000,,CEMADEN
815,25474953,P,CAMPO LARGO - Vila Bancaria,T,86.0,4104204.0,,-25.46856,-49.52551,2016-02-19,2016-02-18T14:15:15+0000,,CEMADEN
820,25374946,P,CAMPO MAGRO- Centro,T,86.0,4104253.0,,-25.3689,-49.45687,2016-02-19,2016-02-18T14:15:14+0000,,CEMADEN
1079,25364919,P,COLOMBO - Alto da Cruz,T,86.0,4105805.0,,-25.3612,-49.1892,2015-02-23,2015-02-23T16:15:13+0000,,CEMADEN
1184,25384920,P,CURITIBA - Atuba,T,86.0,4106902.0,,-25.384,-49.197,2015-02-05,2015-02-06T16:38:52+0000,,CEMADEN
1185,25384924,P,CURITIBA - Boa Vista,T,86.0,4106902.0,,-25.379,-49.245,2014-12-14,2015-02-06T16:38:45+0000,,CEMADEN
