field_1,codigo,tipoId,nome,coletaId,orgaoId,municipioId,altitude,latitude,longitude,iniciooperacao,datainstalacao,fimoperacao,orgao,cordy,cordx
"18","25644907",P,Reservatório Miringuava,T,7,4125506,944,-25.64231,-49.07424,2020/12/08,2020/12/08 16:56:25,,SANEPAR,7162520.74,693328.39
"19","25444947",P,Bom Jesus da Aldeia,T,84,4104204,,-25.44211,-49.47309,2016/01/26,,,IAT,7185217.55,653535.67
"20","25674917",P,Campo Largo da Roseira,T,84,4125506,906,-25.67494,-49.17972,2016/06/15,,,IAT,7159056.09,682687.13
"21","25544907",P,Chacara Guajubi,T,84,4125506,906,-25.54619,-49.07237,2016/01/25,,,IAT,7173165.90,693670.97
"22","25284923",P,Colombo Copel,T,84,4105805,,-25.28776,-49.23149,2016/01/25,,,IAT,7202014.27,678060.02
"23","25684954",P,Contenda Copel,T,84,4106209,,-25.681,-49.54176,2016/01/25,,,IAT,7158835.48,646339.08
"24","25484904",P,Entremar,T,84,4119509,,-25.48915,-49.04107,2016/06/23,,,IAT,7179438.62,696909.59
"25","25594916",P,Grammer Sanepar,T,84,4125506,906,-25.58524,-49.1677,2016/01/25,,,IAT,7168975.82,684031.23
"26","25664910",P,Malhada,T,84,4125506,906,-25.66264,-49.10322,2016/06/15,,,IAT,7160310.68,690386.10
"27","25584916",P,Mandirituba Copel,T,84,4114302,,-25.77708,-49.32475,2016/01/25,,,IAT,7147934.59,667985.25
"28","25364907",P,Quatro Barras,T,84,4120804,,-25.36761,-49.074,2016/06/14,,,IAT,7192950.50,693793.11
"29","25464957",P,Santa Cecília,T,84,4104204,,-25.46276,-49.57091,2016/06/14,,,IAT,7183039.46,643673.69
"30","25454904",P,São Cristovão,T,84,4119509,,-25.45196,-49.0496,2016/02/18,,,IAT,7183570.98,696112.29
"118","25314930",P,ALMIRANTE TAMANDARÉ - Centro,T,86,4100400,,-25.31,-49.298,2014/07/25,2014/08/08 12:24:18,2018/11/03,CEMADEN,7199637.55,671330.99
"119","25314929",P,ALMIRANTE TAMANDARÉ - Centro,T,86,4100400,,-25.31,-49.298,2015/02/05,2015/02/06 11:36:48,2020/04/07,CEMADEN,7199637.55,671330.99
"120","25344928",P,ALMIRANTE TAMANDARÉ - Jardim Bonfim,T,86,4100400,,-25.344,-49.28,2014/07/25,2014/08/08 12:24:25,,CEMADEN,7195848.38,673094.92
"121","25344925",P,ALMIRANTE TAMANDARÉ- Jardim Graziela,T,86,4100400,,-25.343,-49.246,2014/07/25,2014/08/08 12:24:21,2019/02/15,CEMADEN,7195914.72,676518.69
"122","25314931",P,ALMIRANTE TAMANDARÉ - Jardim Planalto,T,86,4100400,,-25.312,-49.308,2014/07/25,2014/08/08 12:24:26,,CEMADEN,7199428.77,670321.36
"123","25334927",P,ALMIRANTE TAMANDARÉ - Jardim Roma,T,86,4100400,,-25.327,-49.273,2014/07/25,2014/08/08 12:24:25,2017/01/17,CEMADEN,7197722.32,673823.81
"124","25324927",P,ALMIRANTE TAMANDARÉ - Jardim Rosana,T,86,4100400,,-25.316,-49.267,2015/02/05,2015/02/06 16:38:50,,CEMADEN,7198932.94,674443.59
"125","25374931",P,ALMIRANTE TAMANDARÉ - Jardim Tanguá,T,86,4100400,,-25.371,-49.308,2014/07/25,2014/08/08 12:24:19,2020/04/07,CEMADEN,7192893.67,670238.73
"126","25264930",P,ALMIRANTE TAMANDARÉ - Tranqueira,T,86,4100400,,-25.259,-49.301,2014/07/25,2014/08/08 12:24:22,,CEMADEN,7205290.34,671100.51
