y,x,ec_ldd_x,thetar3,genua1_f,genua1_o,lambda2_o,pixelarea,thetar1,lambda3,thetas3,ksat2_o,thetar2,ksat2_f,lambda2_f,lambda1_o,thetas1_o,thetas2_o,genua2_f,thetas1_f,lambda1_f,genua3,thetar1_o,thetar2_f,ksat1_f,ksat1_o,ksat3,genua2_o,thetas2_f,thetar1_f,ec_chanbw,chanlength,pixarea,area,chan,chanbw,chanman,chans,lzavin_x,acc_metros,ec_ldd_y,elvstd,gradient,ec_chanbnkf,changrad,ec_chanman,pixleng,chanbnkf,ec_outlets,lzavin_y,lat,cropgrpn_o,mannings_o,soildepth1_f,cropgrpn_i,cropcoef_o,cropcoef_i,soildepth1_o,soildepth2_o,soildepth2_0,soildepth2_f,mannings_f,soildepth3_f,mannings_i,cropgrpn_f,soildepth3_o,cropcoef_f,fracirrigated,fracother,fracforest,fracrice,fracsealed,fracwater
-25.8,-49.89,64.0,0.041,0.03093204,0.03093204,0.3125317,1.0,0.041,0.31204966,0.5178226,15.226846,0.041,15.226846,0.3125317,0.39785814,0.5689406,0.5235393,0.006195017,0.5689406,0.39785814,0.0062642707,0.041,0.041,62.0476,62.0476,15.216156,0.006195017,0.5235393,0.041,57.73653,2055.8623046875,27900594.0,1.0,1.0,2.3836941e-05,0.052735000000000004,1.0,0.4950000000000041,7449.044,64.0,6.7066827,,1.7451109,0.1698,0.052495,5282.1013,0.2662229,0.0,0.4950000000000041,-25.799305555999997,4.0,0.0,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.04132755,3800.0,0.036945242,3.5,3800.0,1.0,0.07,0.28,0.64,0.0,0.01,0.0
-25.8,-49.84,16.0,0.041,0.028589027,0.028589027,0.31145206,1.0,0.041,0.310211,0.52681595,16.77606,0.041,16.77606,0.31145206,0.38458323,0.56082064,0.5210089,0.0061710863,0.56082064,0.38458323,0.0061710863,0.041,0.041,61.14556,61.14556,15.260049,0.0061710863,0.5210089,0.041,39.412663,501.5015563964844,27900594.0,1.0,1.0,2.3836941e-05,0.05335,1.0,0.5,7449.044,16.0,13.896116,,1.6908776,0.178,0.05383,5282.1013,0.26732177,0.0,0.5,-25.799305555999997,4.0,0.0,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.043688737,3800.0,0.036464334,3.5,3800.0,1.0,0.12,0.33,0.55,0.0,0.0,0.0
-25.8,-49.79,64.0,0.041,0.029225295,0.029225295,0.27122995,3.0,0.041,0.2690095,0.5152665,15.563706,0.041,15.563706,0.27122995,0.39286765,0.5722322,0.5152665,0.0033912426,0.5722322,0.39286765,0.0033912426,0.041,0.041,56.101437,56.101437,15.563706,0.0033912426,0.5152665,0.041,20.06822,1333.3626708984375,27900594.0,1.0,1.0,2.3836941e-05,0.05326,1.0,0.4950000000000041,7449.044,64.0,17.061712,,1.6141193,0.1768,0.05353,5282.1013,0.19701739,0.0,0.4950000000000041,-25.799305555999997,4.0,0.0,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.041292015,3800.0,0.03537496,3.5,3800.0,1.0,0.22,0.37,0.4,0.0,0.01,0.0
-25.8,-49.74,4.0,0.041,0.02900947,0.02900947,0.29633135,3.0,0.041,0.29501194,0.50979555,14.567263,0.041,14.567263,0.29633135,0.38217854,0.5578815,0.50979555,0.0055594263,0.5578815,0.38217854,0.0055594263,0.041,0.041,64.59635,64.59635,14.567263,0.0055594263,0.50979555,0.041,10.427256,501.4805603027344,27900594.0,1.0,1.0,2.3836941e-05,0.05317,1.0,0.4850000000000116,7449.044,4.0,9.054258,,1.5607518,0.1756,0.05329,5282.1013,0.15014827,0.0,0.4850000000000116,-25.799305555999997,4.0,0.0,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.040650267,3800.0,0.03516301,3.5,3800.0,1.0,0.17,0.39,0.41,0.0,0.03,0.0
-25.8,-49.69,1.0,0.041,0.03064966,0.03064966,0.30280092,1.0,0.041,0.30154714,0.52165437,12.635283,0.041,12.635283,0.30280092,0.40173525,0.57767296,0.5214487,0.005740168,0.57767296,0.40173525,0.005740168,0.041,0.041,57.628193,57.628193,12.23686,0.005740168,0.5214487,0.041,21.756227,959.7645874023438,27900594.0,1.0,1.0,0.00038139106,0.05317,1.0,0.5,119184.7,1.0,19.010738,,1.6265355,0.009,0.053905,5282.1013,0.22729164,0.0,0.5,-25.799305555999997,4.0,4.067168e-06,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.04149681,3800.0,0.035399526,3.5,3800.0,1.0,0.12,0.32,0.56,0.0,0.0,0.0
-25.8,-49.64,4.0,0.041,0.033585858,0.033585858,0.29937333,1.0,0.041,0.2977372,0.52365875,13.144436,0.041,13.144436,0.29937333,0.4094652,0.5712378,0.52365875,0.005278597,0.5712378,0.4094652,0.005278597,0.041,0.041,64.79686,64.79686,13.144436,0.005278597,0.52365875,0.041,47.92725,1882.421875,27900594.0,1.0,1.0,7.1510825e-05,0.052705,1.0,0.5,22347.133,4.0,13.798107,,1.723966,0.0062,0.05239,5282.1013,0.29854286,0.0,0.5,-25.799305555999997,4.0,6.100752e-06,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.04272284,3800.0,0.03549357,3.5,3800.0,1.0,0.16,0.35,0.49,0.0,0.0,0.0
-25.8,-49.59,16.0,0.041,0.03479613,0.03479613,0.28774917,1.0,0.041,0.28631103,0.507592,12.715046,0.041,12.715046,0.28774917,0.40986344,0.5593601,0.51298684,0.004982036,0.5593601,0.40986344,0.004982036,0.041,0.041,75.389694,75.389694,11.536524,0.004982036,0.51298684,0.041,38.1362,501.4349365234375,27900594.0,1.0,1.0,7.1510825e-05,0.05254,1.0,0.5,22347.133,16.0,13.978117,,1.6666754,0.1672,0.05278,5282.1013,0.28940952,0.0,0.5,-25.799305555999997,4.0,8.134336e-06,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.04081805,3800.0,0.03547965,3.5,3800.0,1.0,0.2,0.32,0.48,0.0,0.0,0.0
-25.8,-49.54,16.0,0.041,0.035467606,0.035467606,0.28872508,1.0,0.041,0.2865585,0.5246679,12.900574,0.041,12.900574,0.28872508,0.41752496,0.570813,0.52461183,0.0046569705,0.570813,0.41752496,0.004618304,0.041,0.041,80.09917,80.09917,12.788336,0.0046569705,0.52461183,0.041,49.533257,501.47705078125,27900594.0,1.0,1.0,2.3836941e-05,0.052945,1.0,0.5,7449.044,16.0,12.318064,,1.6877823,0.1726,0.05347,5282.1013,0.30605474,0.0,0.5,-25.799305555999997,4.0,0.0,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.040901873,3800.0,0.035371058,3.5,3800.0,1.0,0.26,0.39,0.35,0.0,0.0,0.0
-25.8,-49.49,16.0,0.041,0.034256566,0.034256566,0.26984128,1.0,0.041,0.26777893,0.5155584,13.952756,0.041,13.952756,0.26984128,0.4076293,0.56533104,0.5155584,0.0035915158,0.56533104,0.4076293,0.0035915158,0.041,0.041,77.06781,77.06781,13.952756,0.0035915158,0.5155584,0.041,57.6965,2166.441162109375,27900594.0,1.0,1.0,0.13224734,0.05287,1.0,0.5,41327296.0,16.0,12.508773,,1.753971,0.1716,0.052285,5282.1013,0.32518312,0.0,0.5,-25.799305555999997,4.0,3.050376e-06,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.04036853,3800.0,0.035644837,3.5,3800.0,1.0,0.21,0.41,0.38,0.0,0.0,0.0
-25.8,-49.44,16.0,0.041,0.02998339,0.02998339,0.295366,3.0,0.041,0.2931693,0.51023906,13.324993,0.041,13.324993,0.295366,0.38839683,0.5605153,0.5072537,0.0057341107,0.5605153,0.38839683,0.0056549804,0.041,0.041,62.05446,62.05446,13.572598,0.0057341107,0.5072537,0.041,25.305937,1732.405517578125,27900594.0,1.0,1.0,9.5347765e-05,0.05341,1.0,0.5,29796.176,16.0,7.0,,1.6210158,0.1788,0.05326,5282.1013,0.2280975,0.0,0.5,-25.799305555999997,4.0,0.0,50.0,3.0,1.0,1.1,50.0,500.0,1500.0,1150.0,0.04022423,3800.0,0.03518465,3.5,3800.0,1.0,0.3,0.43,0.27,0.0,0.0,0.0
