hordatahora,horleitura,horqualidade
2016-12-31 23:00:00,66.79,4.0
2017-01-01 00:00:00,66.67,4.0
2017-01-01 01:00:00,66.375,4.0
2017-01-01 02:00:00,66.4625,4.0
2017-01-01 03:00:00,66.375,4.0
2017-01-01 04:00:00,66.09,4.0
2017-01-01 05:00:00,65.9525,4.0
2017-01-01 06:00:00,65.655,4.0
2017-01-01 07:00:00,65.4675,4.0
2017-01-01 08:00:00,65.2475,4.0
2017-01-01 09:00:00,65.0275,4.0
2017-01-01 10:00:00,64.945,4.0
2017-01-01 11:00:00,64.78,4.0
2017-01-01 12:00:00,64.6975,4.0
2017-01-01 13:00:00,64.62,4.0
2017-01-01 14:00:00,64.57,4.0
2017-01-01 15:00:00,64.725,4.0
2017-01-01 16:00:00,64.725,4.0
2017-01-01 17:00:00,64.9725,4.0
2017-01-01 18:00:00,64.78,4.0
2017-01-01 19:00:00,64.595,4.0
2017-01-01 20:00:00,64.57,4.0
2017-01-01 21:00:00,64.57,4.0
2017-01-01 22:00:00,64.62,4.0
2017-01-01 23:00:00,64.6975,4.0
2017-01-02 00:00:00,64.78,4.0
2017-01-02 01:00:00,64.725,4.0
2017-01-02 02:00:00,64.7525,4.0
2017-01-02 03:00:00,64.62,4.0
2017-01-02 04:00:00,64.4325,4.0
2017-01-02 05:00:00,64.2125,4.0
2017-01-02 06:00:00,64.02,4.0
2017-01-02 07:00:00,63.7175,4.0
2017-01-02 08:00:00,63.37,4.0
2017-01-02 09:00:00,63.15,4.0
2017-01-02 10:00:00,62.8475,4.0
2017-01-02 11:00:00,62.5725,4.0
2017-01-02 12:00:00,62.3325,4.0
2017-01-02 13:00:00,62.06,4.0
2017-01-02 14:00:00,61.8125,4.0
2017-01-02 15:00:00,61.5925,4.0
2017-01-02 16:00:00,62.03,4.0
2017-01-02 17:00:00,62.905,4.0
2017-01-02 18:00:00,62.195,4.0
2017-01-02 19:00:00,63.3375,4.0
2017-01-02 20:00:00,63.34,4.0
2017-01-02 21:00:00,62.3575,4.0
2017-01-02 22:00:00,61.24,4.0
2017-01-02 23:00:00,60.205,4.0
2017-01-03 00:00:00,59.36,4.0
2017-01-03 01:00:00,58.6525,4.0
2017-01-03 02:00:00,58.08,4.0
2017-01-03 03:00:00,57.6175,4.0
2017-01-03 04:00:00,57.26,4.0
2017-01-03 05:00:00,57.0675,4.0
2017-01-03 06:00:00,56.9375,4.0
2017-01-03 07:00:00,56.7475,4.0
2017-01-03 08:00:00,56.5,4.0
2017-01-03 09:00:00,56.2525,4.0
2017-01-03 10:00:00,56.0325,4.0
2017-01-03 11:00:00,55.7675,4.0
2017-01-03 12:00:00,55.63,4.0
2017-01-03 13:00:00,55.575,4.0
2017-01-03 14:00:00,55.52,4.0
2017-01-03 15:00:00,55.63,4.0
2017-01-03 16:00:00,55.7675,4.0
2017-01-03 17:00:00,55.8225,4.0
2017-01-03 18:00:00,55.955,4.0
2017-01-03 19:00:00,56.28,4.0
2017-01-03 20:00:00,56.9625,4.0
2017-01-03 21:00:00,57.0175,4.0
2017-01-03 22:00:00,57.5625,4.0
2017-01-03 23:00:00,58.5975,4.0
2017-01-04 00:00:00,59.4175,4.0
2017-01-04 01:00:00,60.725,4.0
2017-01-04 02:00:00,62.5225,4.0
2017-01-04 03:00:00,66.0425,4.0
2017-01-04 04:00:00,71.61,4.0
2017-01-04 05:00:00,74.185,4.0
2017-01-04 06:00:00,73.69,4.0
2017-01-04 07:00:00,73.54,4.0
2017-01-04 08:00:00,73.72,4.0
2017-01-04 09:00:00,72.8125,4.0
2017-01-04 10:00:00,71.435,4.0
2017-01-04 11:00:00,70.4425,4.0
2017-01-04 12:00:00,69.795,4.0
2017-01-04 13:00:00,69.33,4.0
2017-01-04 14:00:00,69.0375,4.0
2017-01-04 15:00:00,69.39,4.0
2017-01-04 16:00:00,69.2725,4.0
2017-01-04 17:00:00,68.54,4.0
2017-01-04 18:00:00,67.8675,4.0
2017-01-04 19:00:00,67.2825,4.0
2017-01-04 20:00:00,66.96,4.0
2017-01-04 21:00:00,67.925,4.0
2017-01-04 22:00:00,72.1075,4.0
2017-01-04 23:00:00,77.675,4.0
2017-01-05 00:00:00,78.96,4.0
2017-01-05 01:00:00,78.78,4.0
2017-01-05 02:00:00,80.6825,4.0
2017-01-05 03:00:00,83.65,4.0
2017-01-05 04:00:00,86.675,4.0
2017-01-05 05:00:00,90.8925,4.0
2017-01-05 06:00:00,95.375,4.0
2017-01-05 07:00:00,99.5375,4.0
2017-01-05 08:00:00,101.525,4.0
2017-01-05 09:00:00,102.1375,4.0
2017-01-05 10:00:00,101.875,4.0
2017-01-05 11:00:00,100.875,4.0
2017-01-05 12:00:00,99.6875,4.0
2017-01-05 13:00:00,98.025,4.0
2017-01-05 14:00:00,98.025,4.0
2017-01-05 15:00:00,98.45,4.0
2017-01-05 16:00:00,98.25,4.0
2017-01-05 17:00:00,98.375,4.0
2017-01-05 18:00:00,99.025,4.0
2017-01-05 19:00:00,99.725,4.0
2017-01-05 20:00:00,99.95,4.0
2017-01-05 21:00:00,99.75,4.0
2017-01-05 22:00:00,99.175,4.0
2017-01-05 23:00:00,99.7375,4.0
2017-01-06 00:00:00,101.475,4.0
2017-01-06 01:00:00,103.9875,4.0
2017-01-06 02:00:00,108.2,4.0
2017-01-06 03:00:00,115.9125,4.0
2017-01-06 04:00:00,122.525,4.0
2017-01-06 05:00:00,123.1625,4.0
2017-01-06 06:00:00,120.5625,4.0
2017-01-06 07:00:00,118.0,4.0
2017-01-06 08:00:00,115.725,4.0
2017-01-06 09:00:00,113.3875,4.0
2017-01-06 10:00:00,111.2625,4.0
2017-01-06 11:00:00,109.475,4.0
2017-01-06 12:00:00,107.75,4.0
2017-01-06 13:00:00,106.2875,4.0
2017-01-06 14:00:00,105.15,4.0
2017-01-06 15:00:00,104.1375,4.0
2017-01-06 16:00:00,103.4125,4.0
2017-01-06 17:00:00,108.1625,4.0
2017-01-06 18:00:00,143.36,4.0
2017-01-06 19:00:00,198.545,4.0
2017-01-06 20:00:00,283.405,4.0
2017-01-06 21:00:00,333.3275,4.0
2017-01-06 22:00:00,349.0175,4.0
2017-01-06 23:00:00,340.57,4.0
2017-01-07 00:00:00,317.1725,4.0
2017-01-07 01:00:00,295.9625,4.0
2017-01-07 02:00:00,281.9,4.0
2017-01-07 03:00:00,270.86,4.0
2017-01-07 04:00:00,261.35,4.0
2017-01-07 05:00:00,251.735,4.0
2017-01-07 06:00:00,243.2225,4.0
2017-01-07 07:00:00,235.055,4.0
2017-01-07 08:00:00,227.3375,4.0
2017-01-07 09:00:00,220.72,4.0
2017-01-07 10:00:00,214.88,4.0
2017-01-07 11:00:00,209.5,4.0
2017-01-07 12:00:00,204.62,4.0
2017-01-07 13:00:00,200.1,4.0
2017-01-07 14:00:00,195.8475,4.0
2017-01-07 15:00:00,191.9725,4.0
2017-01-07 16:00:00,188.33,4.0
2017-01-07 17:00:00,184.2,4.0
2017-01-07 18:00:00,180.0675,4.0
2017-01-07 19:00:00,176.2725,4.0
2017-01-07 20:00:00,172.685,4.0
2017-01-07 21:00:00,170.0775,4.0
2017-01-07 22:00:00,168.1875,4.0
2017-01-07 23:00:00,166.9975,4.0
2017-01-08 00:00:00,166.215,4.0
2017-01-08 01:00:00,164.23,4.0
2017-01-08 02:00:00,161.92,4.0
2017-01-08 03:00:00,159.3475,4.0
2017-01-08 04:00:00,155.87,4.0
2017-01-08 05:00:00,152.47,4.0
2017-01-08 06:00:00,149.565,4.0
2017-01-08 07:00:00,146.865,4.0
2017-01-08 08:00:00,144.27,4.0
2017-01-08 09:00:00,141.87,4.0
2017-01-08 10:00:00,139.515,4.0
2017-01-08 11:00:00,137.25,4.0
2017-01-08 12:00:00,135.1825,4.0
2017-01-08 13:00:00,133.375,4.0
2017-01-08 14:00:00,131.7625,4.0
2017-01-08 15:00:00,130.2125,4.0
2017-01-08 16:00:00,128.6,4.0
2017-01-08 17:00:00,127.1625,4.0
2017-01-08 18:00:00,125.775,4.0
2017-01-08 19:00:00,124.45,4.0
2017-01-08 20:00:00,123.2,4.0
2017-01-08 21:00:00,122.075,4.0
2017-01-08 22:00:00,120.9875,4.0
2017-01-08 23:00:00,120.0375,4.0
2017-01-09 00:00:00,119.1625,4.0
2017-01-09 01:00:00,118.3625,4.0
2017-01-09 02:00:00,117.7,4.0
2017-01-09 03:00:00,117.0875,4.0
2017-01-09 04:00:00,116.55,4.0
2017-01-09 05:00:00,116.025,4.0
2017-01-09 06:00:00,115.4875,4.0
2017-01-09 07:00:00,115.0375,4.0
2017-01-09 08:00:00,114.575,4.0
2017-01-09 09:00:00,114.0875,4.0
2017-01-09 10:00:00,113.7,4.0
2017-01-09 11:00:00,113.325,4.0
2017-01-09 12:00:00,112.95,4.0
2017-01-09 13:00:00,112.5375,4.0
2017-01-09 14:00:00,112.2375,4.0
2017-01-09 15:00:00,111.9,4.0
2017-01-09 16:00:00,111.6125,4.0
2017-01-09 17:00:00,111.2375,4.0
2017-01-09 18:00:00,111.0125,4.0
2017-01-09 19:00:00,111.1375,4.0
2017-01-09 20:00:00,111.3625,4.0
2017-01-09 21:00:00,111.775,4.0
2017-01-09 22:00:00,113.675,4.0
2017-01-09 23:00:00,114.4,4.0
2017-01-10 00:00:00,114.1875,4.0
2017-01-10 01:00:00,113.9625,4.0
2017-01-10 02:00:00,113.8875,4.0
2017-01-10 03:00:00,113.8375,4.0
2017-01-10 04:00:00,113.5375,4.0
2017-01-10 05:00:00,113.1625,4.0
2017-01-10 06:00:00,112.8125,4.0
2017-01-10 07:00:00,112.4125,4.0
2017-01-10 08:00:00,112.0125,4.0
2017-01-10 09:00:00,111.6625,4.0
2017-01-10 10:00:00,111.3375,4.0
2017-01-10 11:00:00,111.0125,4.0
2017-01-10 12:00:00,110.7875,4.0
2017-01-10 13:00:00,110.4375,4.0
2017-01-10 14:00:00,110.1875,4.0
2017-01-10 15:00:00,109.925,4.0
2017-01-10 16:00:00,109.6625,4.0
2017-01-10 17:00:00,109.3125,4.0
2017-01-10 18:00:00,109.075,4.0
2017-01-10 19:00:00,108.825,4.0
2017-01-10 20:00:00,108.6375,4.0
2017-01-10 21:00:00,108.4125,4.0
2017-01-10 22:00:00,108.2625,4.0
2017-01-10 23:00:00,108.1,4.0
2017-01-11 00:00:00,107.9125,4.0
2017-01-11 01:00:00,107.7375,4.0
2017-01-11 02:00:00,107.65,4.0
2017-01-11 03:00:00,107.525,4.0
2017-01-11 04:00:00,107.3875,4.0
2017-01-11 05:00:00,107.2625,4.0
2017-01-11 06:00:00,107.1375,4.0
2017-01-11 07:00:00,107.05,4.0
2017-01-11 08:00:00,106.8875,4.0
2017-01-11 09:00:00,106.7875,4.0
2017-01-11 10:00:00,106.7,4.0
2017-01-11 11:00:00,106.6375,4.0
2017-01-11 12:00:00,106.55,4.0
2017-01-11 13:00:00,106.4125,4.0
2017-01-11 14:00:00,106.2625,4.0
2017-01-11 15:00:00,106.15,4.0
2017-01-11 16:00:00,106.0125,4.0
2017-01-11 17:00:00,106.1,4.0
2017-01-11 18:00:00,105.7125,4.0
2017-01-11 19:00:00,105.6,4.0
2017-01-11 20:00:00,106.275,4.0
2017-01-11 21:00:00,111.6625,4.0
2017-01-11 22:00:00,116.75,4.0
2017-01-11 23:00:00,117.375,4.0
2017-01-12 00:00:00,117.0125,4.0
2017-01-12 01:00:00,116.2875,4.0
2017-01-12 02:00:00,115.5,4.0
2017-01-12 03:00:00,114.3625,4.0
2017-01-12 04:00:00,112.7375,4.0
2017-01-12 05:00:00,111.0625,4.0
2017-01-12 06:00:00,109.6375,4.0
2017-01-12 07:00:00,108.55,4.0
2017-01-12 08:00:00,107.775,4.0
2017-01-12 09:00:00,107.2,4.0
2017-01-12 10:00:00,106.75,4.0
2017-01-12 11:00:00,106.3125,4.0
2017-01-12 12:00:00,106.0,4.0
2017-01-12 13:00:00,105.775,4.0
2017-01-12 14:00:00,105.575,4.0
2017-01-12 15:00:00,105.3625,4.0
2017-01-12 16:00:00,105.1625,4.0
2017-01-12 17:00:00,104.8875,4.0
2017-01-12 18:00:00,104.7375,4.0
2017-01-12 19:00:00,104.55,4.0
2017-01-12 20:00:00,104.35,4.0
2017-01-12 21:00:00,104.1625,4.0
2017-01-12 22:00:00,104.0,4.0
2017-01-12 23:00:00,103.925,4.0
2017-01-13 00:00:00,103.75,4.0
2017-01-13 01:00:00,103.6125,4.0
2017-01-13 02:00:00,103.425,4.0
2017-01-13 03:00:00,103.3125,4.0
2017-01-13 04:00:00,103.175,4.0
2017-01-13 05:00:00,103.075,4.0
2017-01-13 06:00:00,102.8875,4.0
2017-01-13 07:00:00,102.7875,4.0
2017-01-13 08:00:00,102.575,4.0
2017-01-13 09:00:00,102.45,4.0
2017-01-13 10:00:00,102.3,4.0
2017-01-13 11:00:00,102.125,4.0
2017-01-13 12:00:00,101.95,4.0
2017-01-13 13:00:00,101.7875,4.0
2017-01-13 14:00:00,101.5375,4.0
2017-01-13 15:00:00,101.375,4.0
2017-01-13 16:00:00,101.1,4.0
2017-01-13 17:00:00,100.85,4.0
2017-01-13 18:00:00,100.5625,4.0
2017-01-13 19:00:00,100.35,4.0
2017-01-13 20:00:00,100.1,4.0
2017-01-13 21:00:00,99.65,4.0
2017-01-13 22:00:00,99.1,4.0
2017-01-13 23:00:00,98.575,4.0
2017-01-14 00:00:00,98.075,4.0
2017-01-14 01:00:00,97.55,4.0
2017-01-14 02:00:00,97.075,4.0
2017-01-14 03:00:00,96.525,4.0
2017-01-14 04:00:00,96.075,4.0
2017-01-14 05:00:00,95.6,4.0
2017-01-14 06:00:00,95.05,4.0
2017-01-14 07:00:00,94.5,4.0
2017-01-14 08:00:00,94.025,4.0
2017-01-14 09:00:00,93.55,4.0
2017-01-14 10:00:00,93.05,4.0
2017-01-14 11:00:00,92.475,4.0
2017-01-14 12:00:00,91.975,4.0
2017-01-14 13:00:00,91.425,4.0
2017-01-14 14:00:00,90.825,4.0
2017-01-14 15:00:00,90.275,4.0
