,vazao,etp,horleitura,Q_fore
2013-01-01,88.70762222222221,0.1927891666666666,8.8,320.3498721590255
2013-01-02,98.6390625,0.2236691666666666,15.8,236.6807356169672
2013-01-03,105.6921875,0.2044620833333333,6.0,191.6107778047446
2013-01-04,109.14375,0.1999891666666666,0.0,171.04868330026005
2013-01-05,108.47395833333331,0.2183279166666666,0.0,159.86038448645357
2013-01-06,106.15729166666668,0.2098133333333333,0.0,144.08892680687111
2013-01-07,102.8484375,0.20548,19.2,125.65369145595648
2013-01-08,97.2229411764706,0.1988641666666666,0.0,112.18198100499447
2013-01-09,90.9134375,0.2084120833333333,37.2,105.9727781087793
2013-01-10,80.66425531914894,0.1662616666666666,0.0,109.09599844352338
2013-01-11,64.74907291666666,0.177035,0.0,113.33820032053025
2013-01-12,51.39202083333333,0.179205,0.0,119.71613121158069
2013-01-13,42.98616666666666,0.19300375,0.0,115.03700299885242
2013-01-14,38.31601041666666,0.2081008333333333,0.0,100.74639595107574
2013-01-15,36.60427083333334,0.18577625,21.2,90.49647241881719
2013-01-16,41.80439583333334,0.1961016666666666,0.0,84.50118524884314
2013-01-17,47.376875000000005,0.23507875,0.2,82.52768251398633
2013-01-18,41.85836458333333,0.1994741666666666,0.0,84.46758273501305
2013-01-19,45.61782291666666,0.1956270833333333,26.8,82.28757142427267
2013-01-20,46.50346875,0.2043112499999999,0.0,78.07377079320501
2013-01-21,48.5654375,0.2272383333333333,0.0,78.17542045243358
2013-01-22,49.509687500000005,0.2114220833333333,0.0,82.96099463046733
2013-01-23,41.2730625,0.1768466666666666,0.0,81.57953955041644
2013-01-24,34.4353125,0.1560733333333333,0.0,74.34983336806016
2013-01-25,30.6309375,0.16899875,0.0,68.53124747223464
2013-01-26,29.02959375,0.18821125,10.6,63.99581732810806
2013-01-27,28.67434375,0.1863541666666666,0.0,60.99681493056877
2013-01-28,27.248218750000003,0.1817545833333333,0.0,59.51274949038784
2013-01-29,24.18828125,0.1910741666666666,0.0,59.56823953250306
2013-01-30,22.4625,0.1811120833333333,0.0,57.85910534138964
2013-01-31,21.65234375,0.17651375,0.0,54.512655301410376
2013-02-01,20.5625,0.1817270833333333,0.0,51.65666624011275
2013-02-02,19.87421875,0.22474,0.0,49.194216047153446
2013-02-03,19.278125,0.2027791666666666,1.4,47.06365560220397
2013-02-04,24.37648958333333,0.201485,2.2,45.27222485453538
2013-02-05,58.07114583333333,0.1825104166666666,0.2,43.880260422845105
2013-02-06,69.9951875,0.2085270833333333,0.0,42.90753624271114
2013-02-07,71.22125,0.2031333333333333,0.0,42.06581332352682
2013-02-08,73.55978125,0.2306766666666666,16.2,41.1199264865208
2013-02-09,89.70284375,0.19540375,2.8000000000000003,40.90202690591257
2013-02-10,94.97708333333333,0.1889633333333333,4.0,42.19851645215327
2013-02-11,100.09427083333333,0.2209220833333333,13.4,45.77215540977774
2013-02-12,105.21302083333336,0.1922104166666667,17.400000000000002,48.772796479476206
2013-02-13,106.24166666666667,0.1612770833333333,6.8,51.67851756043487
2013-02-14,105.15364583333331,0.1439841666666666,0.4,57.432404165070174
2013-02-15,102.7171875,0.1540329166666666,11.0,63.59880017036586
2013-02-16,100.70885416666664,0.1529466666666666,0.2,65.79131016518951
2013-02-17,97.00625,0.1883808333333333,1.0,64.66071213005968
2013-02-18,95.175,0.178805,13.0,64.43704093246794
2013-02-19,99.31354166666668,0.16469375,11.4,63.81843827782787
2013-02-20,100.1078125,0.1561691666666666,21.6,64.23026178164073
2013-02-21,99.03854166666667,0.1523433333333333,7.2,69.79961080741012
2013-02-22,101.840625,0.16469,0.0,77.78289647082299
2013-02-23,105.30677083333336,0.16318,0.2,84.8243560902352
2013-02-24,107.68229166666669,0.15554875,0.0,85.11632063923126
2013-02-25,108.5421875,0.18254375,0.4,78.8703901354343
2013-02-26,107.5921875,0.1859429166666666,2.2,72.44916637269381
2013-02-27,111.47916666666669,0.1815808333333333,10.6,67.73247778882796
2013-02-28,107.503125,0.1987279166666666,0.0,64.9407682909335
2013-03-01,101.44791666666669,0.1747395833333333,0.0,63.99547796744789
2013-03-02,99.02447916666668,0.1814,0.0,64.2375165118232
2013-03-03,96.125,0.200925,0.0,62.163868790350385
2013-03-04,88.7389375,0.1713766666666666,0.0,58.386221894324784
2013-03-05,73.64105208333334,0.1722091666666666,0.0,55.189323884132875
