hordatahora,horleitura
2010-01-01,13.800
2010-01-02,9.400
2010-01-03,14.000
2010-01-04,19.200
2010-01-05,5.800
2010-01-06,4.800
2010-01-07,20.000
2010-01-08,38.400
2010-01-09,1.600
2010-01-10,2.600
2010-01-11,41.200
2010-01-12,8.000
2010-01-13,15.600
2010-01-14,6.800
2010-01-15,0.000
2010-01-16,3.600
2010-01-17,0.400
2010-01-18,0.400
2010-01-19,0.000
2010-01-20,18.200
2010-01-21,30.600
2010-01-22,14.000
2010-01-23,6.800
2010-01-24,7.400
2010-01-25,34.800
2010-01-26,2.400
2010-01-27,6.800
2010-01-28,18.400
2010-01-29,21.200
2010-01-30,3.400
2010-01-31,3.600
2010-02-01,2.000
2010-02-02,0.000
2010-02-03,0.000
2010-02-04,
2010-02-05,0.000
2010-02-06,0.000
2010-02-07,0.000
2010-02-08,2.000
2010-02-09,11.400
2010-02-10,3.000
2010-02-11,1.200
2010-02-12,19.000
2010-02-13,0.000
2010-02-14,0.000
2010-02-15,0.200
2010-02-16,0.000
2010-02-17,10.800
2010-02-18,21.800
2010-02-19,12.200
2010-02-20,2.200
2010-02-21,0.000
2010-02-22,0.000
2010-02-23,1.200
2010-02-24,36.200
2010-02-25,
2010-02-26,0.000
2010-02-27,0.000
2010-02-28,11.400
2010-03-01,5.400
2010-03-02,0.800
2010-03-03,0.200
2010-03-04,35.600
2010-03-05,1.600
2010-03-06,27.200
2010-03-07,0.200
2010-03-08,1.000
2010-03-09,0.000
2010-03-10,0.000
2010-03-11,0.000
2010-03-12,0.000
2010-03-13,0.000
2010-03-14,3.800
2010-03-15,0.000
2010-03-16,0.000
2010-03-17,4.800
2010-03-18,0.000
2010-03-19,0.000
2010-03-20,0.000
2010-03-21,0.000
2010-03-22,0.800
2010-03-23,0.000
2010-03-24,13.400
2010-03-25,3.400
2010-03-26,0.200
2010-03-27,5.000
2010-03-28,25.800
2010-03-29,15.800
2010-03-30,0.200
2010-03-31,0.000
2010-04-01,0.000
2010-04-02,0.000
2010-04-03,0.000
2010-04-04,0.000
2010-04-05,14.800
2010-04-06,36.200
2010-04-07,0.600
2010-04-08,1.600
2010-04-09,4.800
2010-04-10,0.400
2010-04-11,0.200
2010-04-12,0.000
2010-04-13,0.000
2010-04-14,0.000
2010-04-15,0.000
2010-04-16,0.000
2010-04-17,0.000
2010-04-18,0.000
2010-04-19,0.000
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,79.200
2010-04-24,13.400
2010-04-25,6.800
2010-04-26,13.600
2010-04-27,0.000
2010-04-28,0.000
2010-04-29,0.400
2010-04-30,0.000
2010-05-01,0.000
2010-05-02,0.000
2010-05-03,0.000
2010-05-04,0.000
2010-05-05,0.000
2010-05-06,0.000
2010-05-07,6.400
2010-05-08,32.600
2010-05-09,0.200
2010-05-10,0.200
2010-05-11,2.200
2010-05-12,0.000
2010-05-13,0.000
2010-05-14,
2010-05-15,0.000
2010-05-16,0.000
2010-05-17,8.600
2010-05-18,12.400
2010-05-19,0.000
2010-05-20,0.000
2010-05-21,8.200
2010-05-22,15.400
2010-05-23,7.200
2010-05-24,0.800
2010-05-25,0.000
2010-05-26,0.000
2010-05-27,0.200
2010-05-28,0.200
2010-05-29,0.000
2010-05-30,1.200
2010-05-31,0.000
2010-06-01,0.200
2010-06-02,0.400
2010-06-03,0.200
2010-06-04,44.800
2010-06-05,0.200
2010-06-06,0.000
2010-06-07,0.000
2010-06-08,0.000
2010-06-09,0.000
2010-06-10,0.000
2010-06-11,2.200
2010-06-12,1.600
2010-06-13,0.200
2010-06-14,0.000
2010-06-15,0.000
2010-06-16,0.000
2010-06-17,0.000
2010-06-18,0.000
2010-06-19,0.000
2010-06-20,0.200
2010-06-21,35.000
2010-06-22,27.200
2010-06-23,0.000
