hordatahora,horleitura
2010-01-01,9.000
2010-01-02,16.200
2010-01-03,14.400
2010-01-04,12.000
2010-01-05,41.200
2010-01-06,0.400
2010-01-07,37.800
2010-01-08,27.400
2010-01-09,4.000
2010-01-10,3.400
2010-01-11,57.600
2010-01-12,9.800
2010-01-13,15.800
2010-01-14,47.400
2010-01-15,3.600
2010-01-16,20.200
2010-01-17,0.600
2010-01-18,33.600
2010-01-19,0.400
2010-01-20,10.800
2010-01-21,60.800
2010-01-22,42.400
2010-01-23,3.000
2010-01-24,8.800
2010-01-25,17.000
2010-01-26,7.400
2010-01-27,34.000
2010-01-28,50.600
2010-01-29,56.000
2010-01-30,0.000
2010-01-31,27.200
2010-02-01,5.000
2010-02-02,0.000
2010-02-03,0.000
2010-02-04,0.000
2010-02-05,0.000
2010-02-06,0.000
2010-02-07,1.000
2010-02-08,6.600
2010-02-09,76.600
2010-02-10,0.800
2010-02-11,9.800
2010-02-12,19.600
2010-02-13,0.000
2010-02-14,0.200
2010-02-15,0.200
2010-02-16,1.000
2010-02-17,41.600
2010-02-18,105.400
2010-02-19,104.200
2010-02-20,6.200
2010-02-21,0.000
2010-02-22,10.400
2010-02-23,3.000
2010-02-24,45.800
2010-02-25,2.600
2010-02-26,4.800
2010-02-27,16.200
2010-02-28,53.600
2010-03-01,54.000
2010-03-02,39.000
2010-03-03,19.200
2010-03-04,130.600
2010-03-05,66.800
2010-03-06,37.600
2010-03-07,1.000
2010-03-08,5.200
2010-03-09,11.400
2010-03-10,0.000
2010-03-11,0.000
2010-03-12,0.000
2010-03-13,0.000
2010-03-14,10.800
2010-03-15,0.000
2010-03-16,7.600
2010-03-17,36.200
2010-03-18,0.600
2010-03-19,0.200
2010-03-20,13.600
2010-03-21,0.000
2010-03-22,1.800
2010-03-23,16.800
2010-03-24,22.800
2010-03-25,25.400
2010-03-26,20.200
2010-03-27,16.800
2010-03-28,71.800
2010-03-29,10.800
2010-03-30,0.800
2010-03-31,0.400
2010-04-01,1.600
2010-04-02,18.800
2010-04-03,77.400
2010-04-04,3.000
2010-04-05,17.200
2010-04-06,27.000
2010-04-07,0.400
2010-04-08,0.600
2010-04-09,10.800
2010-04-10,9.200
2010-04-11,16.000
2010-04-12,4.400
2010-04-13,9.400
2010-04-14,2.600
2010-04-15,0.000
2010-04-16,0.000
2010-04-17,0.000
2010-04-18,0.000
2010-04-19,0.000
2010-04-20,0.000
2010-04-21,0.200
2010-04-22,59.200
2010-04-23,135.000
2010-04-24,44.600
2010-04-25,24.600
2010-04-26,49.000
2010-04-27,2.000
2010-04-28,10.600
2010-04-29,53.600
2010-04-30,0.400
2010-05-01,0.000
2010-05-02,0.000
2010-05-03,0.000
2010-05-04,0.000
2010-05-05,1.400
2010-05-06,0.400
2010-05-07,25.200
2010-05-08,46.200
2010-05-09,6.200
2010-05-10,5.000
2010-05-11,8.000
2010-05-12,0.400
2010-05-13,0.000
2010-05-14,1.000
2010-05-15,0.000
2010-05-16,0.000
2010-05-17,35.600
2010-05-18,35.600
2010-05-19,0.200
2010-05-20,0.000
2010-05-21,13.200
2010-05-22,39.600
2010-05-23,26.400
2010-05-24,9.800
2010-05-25,0.200
2010-05-26,3.600
2010-05-27,3.200
2010-05-28,1.200
2010-05-29,0.000
2010-05-30,2.400
2010-05-31,11.000
2010-06-01,8.600
2010-06-02,46.200
2010-06-03,26.600
2010-06-04,60.000
2010-06-05,0.200
2010-06-06,0.000
2010-06-07,0.000
2010-06-08,0.000
2010-06-09,1.800
2010-06-10,2.600
2010-06-11,17.600
2010-06-12,48.800
2010-06-13,3.200
2010-06-14,0.600
2010-06-15,0.000
2010-06-16,0.000
2010-06-17,5.800
2010-06-18,0.800
2010-06-19,4.800
2010-06-20,15.200
2010-06-21,53.000
2010-06-22,24.800
2010-06-23,0.200
2010-06-24,0.000
2010-06-25,0.800
2010-06-26,2.400
2010-06-27,0.000
2010-06-28,12.400
2010-06-29,21.600
2010-06-30,0.400
2010-07-01,0.000
2010-07-02,0.000
2010-07-03,0.000
2010-07-04,0.000
2010-07-05,0.000
2010-07-06,0.000
2010-07-07,0.000
2010-07-08,5.200
2010-07-09,0.200
2010-07-10,0.000
2010-07-11,0.000
2010-07-12,0.000
2010-07-13,6.200
2010-07-14,0.200
2010-07-15,0.200
2010-07-16,0.000
2010-07-17,0.000
2010-07-18,0.000
2010-07-19,0.000
2010-07-20,0.000
2010-07-21,0.000
2010-07-22,0.000
2010-07-23,0.000
2010-07-24,0.000
2010-07-25,0.000
2010-07-26,0.000
2010-07-27,0.200
2010-07-28,0.200
2010-07-29,0.000
2010-07-30,0.000
2010-07-31,0.000
2010-08-01,0.000
2010-08-02,0.000
2010-08-03,0.000
2010-08-04,0.000
2010-08-05,0.000
2010-08-06,0.000
2010-08-07,0.000
2010-08-08,0.000
2010-08-09,0.000
2010-08-10,0.000
2010-08-11,0.000
2010-08-12,0.000
2010-08-13,0.000
2010-08-14,0.000
2010-08-15,0.000
2010-08-16,0.000
2010-08-17,0.000
2010-08-18,0.000
2010-08-19,0.000
2010-08-20,0.000
2010-08-21,0.000
2010-08-22,0.000
2010-08-23,0.000
2010-08-24,0.000
2010-08-25,0.000
2010-08-26,0.000
2010-08-27,1.800
2010-08-28,0.200
2010-08-29,0.000
2010-08-30,0.000
2010-08-31,0.000
2010-09-01,0.200
2010-09-02,0.400
2010-09-03,0.200
2010-09-04,0.000
2010-09-05,0.000
2010-09-06,2.400
2010-09-07,18.000
2010-09-08,40.600
2010-09-09,
2010-09-10,
2010-09-11,
2010-09-12,2.600
2010-09-13,0.200
2010-09-14,0.000
2010-09-15,5.600
2010-09-16,15.800
2010-09-17,0.200
2010-09-18,6.400
2010-09-19,3.600
2010-09-20,4.800
2010-09-21,6.800
2010-09-22,0.000
2010-09-23,1.600
2010-09-24,54.400
2010-09-25,33.200
2010-09-26,4.800
2010-09-27,11.000
2010-09-28,25.200
2010-09-29,0.400
2010-09-30,7.600
2010-10-01,13.200
2010-10-02,46.400
2010-10-03,22.800
2010-10-04,32.200
2010-10-05,7.800
2010-10-06,1.600
2010-10-07,14.600
2010-10-08,0.000
2010-10-09,8.600
2010-10-10,5.000
2010-10-11,0.400
2010-10-12,0.000
2010-10-13,0.000
2010-10-14,16.400
2010-10-15,10.200
2010-10-16,0.000
2010-10-17,34.600
2010-10-18,15.400
2010-10-19,2.400
2010-10-20,3.400
2010-10-21,0.200
2010-10-22,1.200
2010-10-23,5.000
2010-10-24,20.000
2010-10-25,18.600
2010-10-26,10.200
2010-10-27,2.600
2010-10-28,0.800
2010-10-29,6.400
2010-10-30,38.000
2010-10-31,0.000
2010-11-01,0.000
2010-11-02,0.000
2010-11-03,0.600
2010-11-04,0.200
2010-11-05,7.400
2010-11-06,3.000
2010-11-07,0.400
2010-11-08,0.800
2010-11-09,26.200
2010-11-10,44.200
2010-11-11,11.400
2010-11-12,10.800
2010-11-13,5.200
2010-11-14,0.600
2010-11-15,4.600
2010-11-16,5.800
2010-11-17,7.000
2010-11-18,0.000
2010-11-19,0.000
2010-11-20,2.200
2010-11-21,17.400
2010-11-22,40.400
2010-11-23,15.400
2010-11-24,66.400
2010-11-25,18.800
2010-11-26,16.600
2010-11-27,14.800
2010-11-28,4.800
2010-11-29,1.000
2010-11-30,56.800
2010-12-01,28.200
2010-12-02,
2010-12-03,0.000
2010-12-04,15.200
2010-12-05,12.200
2010-12-06,7.000
2010-12-07,17.200
2010-12-08,0.000
2010-12-09,3.400
2010-12-10,2.200
2010-12-11,3.600
2010-12-12,12.600
2010-12-13,122.400
2010-12-14,28.600
2010-12-15,14.200
2010-12-16,10.000
2010-12-17,21.400
2010-12-18,0.000
2010-12-19,1.600
2010-12-20,0.200
2010-12-21,6.600
2010-12-22,10.000
2010-12-23,16.600
2010-12-24,2.600
2010-12-25,1.800
2010-12-26,12.000
2010-12-27,0.200
2010-12-28,0.800
2010-12-29,0.200
2010-12-30,2.200
2010-12-31,5.200
2011-01-01,5.800
2011-01-02,12.400
2011-01-03,4.400
2011-01-04,6.400
2011-01-05,0.000
2011-01-06,24.000
2011-01-07,4.000
2011-01-08,53.600
2011-01-09,0.200
2011-01-10,31.200
2011-01-11,11.800
2011-01-12,40.000
2011-01-13,0.000
2011-01-14,0.000
2011-01-15,6.200
2011-01-16,0.800
2011-01-17,10.600
2011-01-18,40.600
2011-01-19,9.400
2011-01-20,5.800
2011-01-21,15.200
2011-01-22,6.600
2011-01-23,29.600
2011-01-24,0.000
2011-01-25,4.400
2011-01-26,0.000
2011-01-27,0.000
2011-01-28,35.200
2011-01-29,24.600
2011-01-30,1.800
2011-01-31,3.200
2011-02-01,27.000
2011-02-02,1.800
2011-02-03,40.600
2011-02-04,1.000
2011-02-05,22.400
2011-02-06,42.800
2011-02-07,7.200
2011-02-08,1.000
2011-02-09,4.600
2011-02-10,32.000
2011-02-11,5.400
2011-02-12,3.000
2011-02-13,2.000
2011-02-14,21.000
2011-02-15,16.400
2011-02-16,22.400
2011-02-17,5.400
2011-02-18,0.000
2011-02-19,12.600
2011-02-20,1.600
2011-02-21,6.000
2011-02-22,13.400
2011-02-23,16.000
2011-02-24,10.000
2011-02-25,51.600
2011-02-26,14.400
2011-02-27,2.400
2011-02-28,2.000
2011-03-01,14.000
2011-03-02,13.000
2011-03-03,35.200
2011-03-04,36.800
2011-03-05,7.400
2011-03-06,50.800
2011-03-07,21.000
2011-03-08,14.600
2011-03-09,10.600
2011-03-10,44.400
2011-03-11,164.000
2011-03-12,17.400
2011-03-13,5.800
2011-03-14,29.800
2011-03-15,4.600
2011-03-16,0.800
2011-03-17,2.200
2011-03-18,2.200
2011-03-19,5.600
2011-03-20,6.400
2011-03-21,18.800
2011-03-22,26.200
2011-03-23,4.000
2011-03-24,0.200
2011-03-25,17.800
2011-03-26,1.600
2011-03-27,22.200
2011-03-28,2.600
2011-03-29,5.400
2011-03-30,41.200
2011-03-31,15.800
2011-04-01,7.800
2011-04-02,23.600
2011-04-03,5.200
2011-04-04,0.800
2011-04-05,0.200
2011-04-06,0.000
2011-04-07,0.200
2011-04-08,0.000
2011-04-09,7.200
2011-04-10,0.200
2011-04-11,0.200
2011-04-12,1.000
2011-04-13,0.000
2011-04-14,0.000
2011-04-15,7.200
2011-04-16,3.800
2011-04-17,12.600
2011-04-18,0.400
2011-04-19,9.400
2011-04-20,0.800
2011-04-21,0.400
2011-04-22,0.000
2011-04-23,0.000
2011-04-24,19.400
2011-04-25,6.200
2011-04-26,0.000
2011-04-27,11.200
2011-04-28,35.600
2011-04-29,1.800
2011-04-30,2.200
2011-05-01,0.600
2011-05-02,0.000
2011-05-03,0.000
2011-05-04,0.000
2011-05-05,0.000
2011-05-06,0.000
2011-05-07,6.000
2011-05-08,0.200
2011-05-09,14.800
2011-05-10,17.600
2011-05-11,0.000
2011-05-12,17.200
2011-05-13,8.800
