hordatahora,horleitura
2010-01-01,3.800
2010-01-02,0.000
2010-01-03,53.600
2010-01-04,1.400
2010-01-05,12.600
2010-01-06,8.600
2010-01-07,17.400
2010-01-08,9.000
2010-01-09,7.000
2010-01-10,5.800
2010-01-11,51.600
2010-01-12,18.000
2010-01-13,19.200
2010-01-14,4.200
2010-01-15,0.000
2010-01-16,0.000
2010-01-17,0.200
2010-01-18,0.000
2010-01-19,0.000
2010-01-20,22.600
2010-01-21,62.200
2010-01-22,9.600
2010-01-23,0.200
2010-01-24,36.800
2010-01-25,20.200
2010-01-26,12.000
2010-01-27,12.000
2010-01-28,30.400
2010-01-29,63.000
2010-01-30,0.200
2010-01-31,33.200
2010-02-01,8.600
2010-02-02,2.200
2010-02-03,0.000
2010-02-04,0.000
2010-02-05,0.000
2010-02-06,0.000
2010-02-07,0.000
2010-02-08,12.800
2010-02-09,81.000
2010-02-10,1.000
2010-02-11,12.200
2010-02-12,2.200
2010-02-13,0.000
2010-02-14,0.000
2010-02-15,0.000
2010-02-16,1.400
2010-02-17,9.000
2010-02-18,12.400
2010-02-19,8.600
2010-02-20,1.200
2010-02-21,0.000
2010-02-22,0.000
2010-02-23,0.600
2010-02-24,50.200
2010-02-25,0.600
2010-02-26,0.000
2010-02-27,0.000
2010-02-28,7.400
2010-03-01,5.400
2010-03-02,3.000
2010-03-03,2.200
2010-03-04,5.600
2010-03-05,3.600
2010-03-06,47.600
2010-03-07,0.400
2010-03-08,4.200
2010-03-09,1.400
2010-03-10,0.000
2010-03-11,0.000
2010-03-12,0.000
2010-03-13,0.000
2010-03-14,24.800
2010-03-15,0.000
2010-03-16,0.000
2010-03-17,0.800
2010-03-18,0.000
2010-03-19,0.000
2010-03-20,0.200
2010-03-21,0.000
2010-03-22,2.000
2010-03-23,18.200
2010-03-24,18.400
2010-03-25,0.600
2010-03-26,8.800
2010-03-27,12.200
2010-03-28,40.200
2010-03-29,16.600
2010-03-30,0.000
2010-03-31,0.000
2010-04-01,0.000
2010-04-02,0.000
2010-04-03,4.000
2010-04-04,0.600
2010-04-05,16.600
2010-04-06,21.200
2010-04-07,0.000
2010-04-08,0.000
2010-04-09,2.400
2010-04-10,0.400
2010-04-11,0.200
2010-04-12,0.000
2010-04-13,0.000
2010-04-14,0.000
2010-04-15,0.200
2010-04-16,0.000
2010-04-17,0.000
2010-04-18,0.000
2010-04-19,0.200
2010-04-20,0.000
2010-04-21,0.000
2010-04-22,46.400
2010-04-23,112.400
2010-04-24,38.000
2010-04-25,10.200
2010-04-26,53.000
2010-04-27,0.000
2010-04-28,0.000
2010-04-29,0.400
2010-04-30,0.000
2010-05-01,0.000
2010-05-02,0.000
2010-05-03,0.200
2010-05-04,0.200
2010-05-05,0.000
2010-05-06,0.000
2010-05-07,30.600
2010-05-08,22.400
2010-05-09,0.000
2010-05-10,0.400
2010-05-11,1.200
2010-05-12,0.000
2010-05-13,0.000
2010-05-14,0.200
2010-05-15,0.000
2010-05-16,0.000
2010-05-17,13.600
2010-05-18,15.200
2010-05-19,0.000
2010-05-20,0.000
2010-05-21,0.600
2010-05-22,9.600
2010-05-23,5.200
2010-05-24,0.600
2010-05-25,0.200
2010-05-26,0.000
2010-05-27,0.200
2010-05-28,0.200
2010-05-29,0.000
2010-05-30,2.000
2010-05-31,0.600
2010-06-01,1.000
2010-06-02,1.800
2010-06-03,1.200
2010-06-04,51.000
2010-06-05,0.200
2010-06-06,0.000
2010-06-07,0.000
2010-06-08,0.000
2010-06-09,0.000
2010-06-10,0.000
2010-06-11,0.800
2010-06-12,5.400
2010-06-13,0.000
2010-06-14,0.000
2010-06-15,0.000
2010-06-16,0.000
2010-06-17,0.000
2010-06-18,0.000
2010-06-19,0.000
2010-06-20,0.000
2010-06-21,25.200
2010-06-22,12.200
2010-06-23,0.000
2010-06-24,0.000
2010-06-25,0.200
2010-06-26,0.000
2010-06-27,0.000
2010-06-28,0.000
2010-06-29,0.000
2010-06-30,0.000
2010-07-01,0.000
2010-07-02,0.000
2010-07-03,0.000
2010-07-04,0.200
2010-07-05,0.000
2010-07-06,0.000
2010-07-07,0.000
2010-07-08,0.000
2010-07-09,0.000
2010-07-10,0.400
2010-07-11,0.000
2010-07-12,8.200
2010-07-13,23.800
2010-07-14,0.600
2010-07-15,20.000
2010-07-16,
2010-07-17,
2010-07-18,
2010-07-19,
2010-07-20,0.000
2010-07-21,0.000
2010-07-22,0.000
2010-07-23,10.000
2010-07-24,1.800
2010-07-25,0.000
2010-07-26,0.000
2010-07-27,0.000
2010-07-28,0.000
2010-07-29,0.000
2010-07-30,0.000
2010-07-31,0.000
2010-08-01,6.600
2010-08-02,2.600
2010-08-03,0.200
2010-08-04,28.200
2010-08-05,0.200
2010-08-06,0.000
2010-08-07,0.000
2010-08-08,0.000
2010-08-09,0.000
2010-08-10,0.000
2010-08-11,0.000
2010-08-12,0.000
2010-08-13,1.000
2010-08-14,0.000
2010-08-15,0.000
2010-08-16,1.200
2010-08-17,0.000
2010-08-18,0.000
2010-08-19,0.000
2010-08-20,0.000
2010-08-21,0.000
2010-08-22,0.000
2010-08-23,0.000
2010-08-24,0.000
2010-08-25,0.000
2010-08-26,0.000
2010-08-27,0.000
2010-08-28,0.000
2010-08-29,0.000
2010-08-30,0.000
2010-08-31,0.000
2010-09-01,0.000
2010-09-02,0.000
2010-09-03,0.000
2010-09-04,0.000
2010-09-05,0.000
2010-09-06,1.200
2010-09-07,10.800
2010-09-08,0.200
2010-09-09,0.000
2010-09-10,0.000
2010-09-11,0.000
2010-09-12,0.000
2010-09-13,0.000
2010-09-14,0.000
2010-09-15,0.000
2010-09-16,0.000
2010-09-17,0.000
2010-09-18,0.200
2010-09-19,0.000
2010-09-20,3.000
2010-09-21,3.200
2010-09-22,0.000
2010-09-23,7.400
2010-09-24,59.000
2010-09-25,5.400
2010-09-26,7.400
2010-09-27,1.000
2010-09-28,0.800
2010-09-29,0.000
2010-09-30,0.000
2010-10-01,4.400
2010-10-02,12.600
2010-10-03,0.800
2010-10-04,20.800
2010-10-05,9.200
2010-10-06,0.000
2010-10-07,16.400
2010-10-08,0.000
2010-10-09,0.000
2010-10-10,0.000
2010-10-11,0.400
2010-10-12,0.000
2010-10-13,0.000
2010-10-14,8.400
2010-10-15,9.200
2010-10-16,0.000
2010-10-17,29.400
2010-10-18,7.400
2010-10-19,0.000
2010-10-20,0.000
2010-10-21,0.000
2010-10-22,0.000
2010-10-23,3.400
2010-10-24,0.200
2010-10-25,4.000
2010-10-26,0.400
2010-10-27,0.000
2010-10-28,0.000
2010-10-29,0.000
2010-10-30,35.800
2010-10-31,0.000
2010-11-01,0.000
2010-11-02,0.000
2010-11-03,0.000
2010-11-04,0.000
2010-11-05,9.200
2010-11-06,3.400
2010-11-07,0.000
2010-11-08,0.000
2010-11-09,4.400
2010-11-10,0.600
2010-11-11,0.000
2010-11-12,0.200
2010-11-13,0.000
2010-11-14,0.000
2010-11-15,0.000
2010-11-16,7.200
2010-11-17,25.600
2010-11-18,0.200
2010-11-19,0.000
2010-11-20,0.000
2010-11-21,0.200
2010-11-22,24.600
2010-11-23,0.200
2010-11-24,40.600
2010-11-25,1.400
2010-11-26,0.000
2010-11-27,0.000
2010-11-28,0.000
2010-11-29,0.000
2010-11-30,25.200
2010-12-01,11.400
2010-12-02,12.400
2010-12-03,0.000
2010-12-04,17.200
2010-12-05,12.800
2010-12-06,0.000
2010-12-07,16.400
2010-12-08,0.000
2010-12-09,0.000
2010-12-10,0.000
2010-12-11,13.800
2010-12-12,3.400
2010-12-13,132.600
2010-12-14,21.800
2010-12-15,2.200
2010-12-16,7.200
2010-12-17,28.000
2010-12-18,0.000
2010-12-19,0.000
2010-12-20,0.000
2010-12-21,20.400
2010-12-22,20.600
2010-12-23,1.400
2010-12-24,17.000
2010-12-25,17.800
2010-12-26,26.400
2010-12-27,0.000
2010-12-28,0.000
2010-12-29,0.000
2010-12-30,0.200
2010-12-31,0.400
2011-01-01,0.000
2011-01-02,5.600
2011-01-03,0.000
