hordatahora,horleitura
2010-01-01,0.000
2010-01-02,
2010-01-03,5.200
2010-01-04,23.400
2010-01-05,
2010-01-06,0.000
2010-01-07,0.800
2010-01-08,
2010-01-09,
2010-01-10,
2010-01-11,24.400
2010-01-12,5.600
2010-01-13,31.000
2010-01-14,3.600
2010-01-15,0.000
2010-01-16,
2010-01-17,43.200
2010-01-18,
2010-01-19,0.000
2010-01-20,1.000
2010-01-21,4.800
2010-01-22,
2010-01-23,
2010-01-24,1.200
2010-01-25,0.000
2010-01-26,42.800
2010-01-27,0.600
2010-01-28,1.200
2010-01-29,
2010-01-30,0.000
2010-01-31,41.200
2010-02-01,3.000
2010-02-02,0.000
2010-02-03,0.000
2010-02-04,0.000
2010-02-05,0.000
2010-02-06,0.000
2010-02-07,
2010-02-08,6.000
2010-02-09,36.400
2010-02-10,0.200
2010-02-11,
2010-02-12,4.400
2010-02-13,0.000
2010-02-14,0.000
2010-02-15,
2010-02-16,0.800
2010-02-17,
2010-02-18,
2010-02-19,0.200
2010-02-20,
2010-02-21,0.000
2010-02-22,0.000
2010-02-23,33.200
2010-02-24,21.400
2010-02-25,1.600
2010-02-26,0.000
2010-02-27,
2010-02-28,3.200
2010-03-01,1.600
2010-03-02,0.000
2010-03-03,0.200
2010-03-04,2.400
2010-03-05,83.600
2010-03-06,14.600
2010-03-07,4.800
2010-03-08,0.000
2010-03-09,16.800
2010-03-10,0.200
2010-03-11,0.000
2010-03-12,0.000
2010-03-13,0.000
2010-03-14,
2010-03-15,
2010-03-16,
2010-03-17,0.000
2010-03-18,0.000
2010-03-19,
2010-03-20,8.200
2010-03-21,0.000
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,7.800
2010-03-26,45.400
2010-03-27,2.400
2010-03-28,41.600
2010-03-29,30.600
2010-03-30,0.200
2010-03-31,0.000
2010-04-01,0.000
2010-04-02,0.000
2010-04-03,5.200
2010-04-04,0.600
2010-04-05,17.600
2010-04-06,19.800
2010-04-07,0.000
2010-04-08,0.000
2010-04-09,0.000
2010-04-10,1.600
2010-04-11,0.200
2010-04-12,0.000
2010-04-13,0.000
2010-04-14,0.000
2010-04-15,0.000
2010-04-16,0.000
2010-04-17,0.000
2010-04-18,0.000
2010-04-19,0.000
2010-04-20,0.000
2010-04-21,4.800
2010-04-22,32.400
2010-04-23,49.600
2010-04-24,49.600
2010-04-25,71.000
2010-04-26,87.400
2010-04-27,0.200
2010-04-28,2.000
2010-04-29,4.200
2010-04-30,0.000
2010-05-01,0.000
2010-05-02,0.000
2010-05-03,0.000
2010-05-04,0.000
2010-05-05,0.000
2010-05-06,0.000
2010-05-07,16.000
2010-05-08,20.000
2010-05-09,0.200
2010-05-10,0.800
2010-05-11,9.800
