hordatahora,horleitura,horqualidade
2010-01-01,0.000,0
2010-01-02,0.000,0
2010-01-03,10.800,0
2010-01-04,34.600,0
2010-01-05,2.200,0
2010-01-06,0.000,0
2010-01-07,0.000,0
2010-01-08,0.000,0
2010-01-09,11.400,0
2010-01-10,2.000,0
2010-01-11,56.600,0
2010-01-12,18.600,0
2010-01-13,38.200,0
2010-01-14,0.600,0
2010-01-15,0.000,0
2010-01-16,4.400,0
2010-01-17,2.200,0
2010-01-18,0.400,0
2010-01-19,0.000,0
2010-01-20,3.000,0
2010-01-21,31.000,0
2010-01-22,0.800,0
2010-01-23,5.800,0
2010-01-24,0.000,0
2010-01-25,0.000,0
2010-01-26,14.000,0
2010-01-27,0.200,0
2010-01-28,23.200,0
2010-01-29,4.400,0
2010-01-30,0.000,0
2010-01-31,0.200,0
2010-02-01,0.000,0
2010-02-02,0.000,0
2010-02-03,0.000,0
2010-02-04,0.000,0
2010-02-05,0.000,0
2010-02-06,0.000,0
2010-02-07,0.000,0
2010-02-08,17.800,0
2010-02-09,33.000,0
2010-02-10,10.600,0
2010-02-11,23.800,0
2010-02-12,53.400,0
2010-02-13,0.000,0
2010-02-14,29.200,0
2010-02-15,0.000,0
2010-02-16,0.000,0
2010-02-17,2.200,0
2010-02-18,0.000,0
2010-02-19,0.200,0
2010-02-20,0.000,0
2010-02-21,0.000,0
2010-02-22,3.000,0
2010-02-23,0.600,0
2010-02-24,42.800,0
2010-02-25,1.000,0
2010-02-26,0.000,0
2010-02-27,0.000,0
2010-02-28,1.200,0
2010-03-01,0.200,0
2010-03-02,0.000,0
2010-03-03,0.000,0
2010-03-04,0.800,0
2010-03-05,59.800,0
2010-03-06,2.000,0
2010-03-07,25.200,0
2010-03-08,0.200,0
2010-03-09,0.800,0
2010-03-10,0.000,0
2010-03-11,0.000,0
2010-03-12,0.000,0
2010-03-13,0.000,0
2010-03-14,16.800,0
2010-03-15,0.000,0
2010-03-16,0.000,0
2010-03-17,0.000,0
2010-03-18,0.000,0
2010-03-19,0.000,0
2010-03-20,4.000,0
2010-03-21,0.200,0
2010-03-22,4.800,0
2010-03-23,5.000,0
2010-03-24,69.800,0
2010-03-25,0.800,0
2010-03-26,29.200,0
2010-03-27,16.800,0
2010-03-28,56.000,0
2010-03-29,4.600,0
2010-03-30,0.000,0
2010-03-31,0.000,0
2010-04-01,0.000,0
2010-04-02,0.000,0
2010-04-03,1.600,0
2010-04-04,2.000,0
2010-04-05,12.400,0
2010-04-06,14.800,0
2010-04-07,0.000,0
2010-04-08,0.000,0
2010-04-09,0.000,0
2010-04-10,0.000,0
2010-04-11,0.000,0
2010-04-12,0.000,0
2010-04-13,0.000,0
2010-04-14,0.000,0
2010-04-15,0.000,0
2010-04-16,0.000,0
2010-04-17,0.000,0
2010-04-18,0.000,0
2010-04-19,0.000,0
2010-04-20,0.000,0
2010-04-21,0.000,0
2010-04-22,33.800,0
2010-04-23,38.200,0
2010-04-24,28.200,0
2010-04-25,19.600,0
2010-04-26,50.200,0
2010-04-27,0.400,0
2010-04-28,0.000,0
2010-04-29,1.800,0
2010-04-30,0.000,0
2010-05-01,0.000,0
2010-05-02,0.000,0
2010-05-03,0.000,0
2010-05-04,0.000,0
2010-05-05,0.000,0
2010-05-06,0.000,0
2010-05-07,14.800,0
2010-05-08,9.400,0
2010-05-09,0.000,0
2010-05-10,0.000,0
2010-05-11,0.800,0
2010-05-12,1.200,0
2010-05-13,0.200,0
2010-05-14,0.000,0
2010-05-15,0.000,0
2010-05-16,0.000,0
2010-05-17,15.400,0
2010-05-18,23.200,0
2010-05-19,0.200,0
2010-05-20,0.000,0
2010-05-21,0.000,0
2010-05-22,0.200,0
2010-05-23,0.000,0
2010-05-24,0.000,0
2010-05-25,0.600,0
2010-05-26,0.000,0
2010-05-27,0.000,0
2010-05-28,0.000,0
2010-05-29,0.000,0
2010-05-30,0.000,0
2010-05-31,0.000,0
2010-06-01,0.000,0
2010-06-02,0.000,0
2010-06-03,0.000,0
2010-06-04,40.600,0
2010-06-05,0.400,0
2010-06-06,0.000,0
2010-06-07,0.000,0
2010-06-08,0.000,0
2010-06-09,0.000,0
2010-06-10,0.000,0
2010-06-11,0.000,0
2010-06-12,0.000,0
2010-06-13,0.000,0
2010-06-14,0.000,0
2010-06-15,0.000,0
2010-06-16,0.000,0
2010-06-17,0.000,0
2010-06-18,0.000,0
2010-06-19,0.000,0
2010-06-20,2.400,0
2010-06-21,20.400,0
2010-06-22,9.400,0
2010-06-23,0.000,0
2010-06-24,0.000,0
2010-06-25,0.000,0
2010-06-26,0.000,0
2010-06-27,0.000,0
2010-06-28,0.000,0
2010-06-29,0.000,0
2010-06-30,0.000,0
2010-07-01,0.000,0
2010-07-02,0.000,0
2010-07-03,0.000,0
2010-07-04,0.000,0
2010-07-05,0.000,0
2010-07-06,0.000,0
2010-07-07,0.000,0
2010-07-08,0.000,0
2010-07-09,0.000,0
2010-07-10,0.000,0
2010-07-11,0.000,0
2010-07-12,,
2010-07-13,,
2010-07-14,0.000,0
2010-07-15,15.800,0
