,ParameterName,MinValue,MaxValue,DefaultValue,tipo
0,UpperZoneTimeConstant,0.01,40.0,6.660216821467263,xml
1,LowerZoneTimeConstant,40.0,1000.0,71.85604496336917,xml
2,GwPercValue,0.01,5.0,0.6141663389870502,xml
7,CalChanMan,0.5,5.0,4.990193729166015,xml
8,GwLoss,0.0,0.5,0.49968935960886374,xml
9,thetar1,0.0,1.0,0.3799280129153127,xml
10,thetar2,0.0,0.6,0.05217125312275392,xml
11,thetar3,0.0,1.0,0.38161332111666457,xml
12,fracirrigated,0.0,1.0,0.9144094213594574,landuse
13,fracforest,0.0,1.0,0.9988009809963734,landuse
14,fracrice,0.0,1.0,0.9686047669191924,landuse
15,fracother,0.0,1.0,0.38222993012273415,landuse
16,fracsealed,0.0,1.0,0.0016189983505162323,landuse
17,fracwater,0.0,1.0,0.0013505121588368828,landuse
