,ParameterName,MinValue,MaxValue,DefaultValue,tipo
0,UpperZoneTimeConstant,0.01,40.0,38.31293967578263,xml
1,LowerZoneTimeConstant,40.0,1000.0,406.08139707484247,xml
2,GwPercValue,0.01,5.0,2.3996957549481817,xml
7,CalChanMan,0.5,5.0,4.0089363117496495,xml
8,GwLoss,0.0,0.5,0.31361360898585894,xml
9,thetar1,0.0,1.0,0.5325817575396219,xml
10,thetar2,0.0,0.6,0.4516493052589499,xml
11,thetar3,0.0,1.0,0.9660141970252901,xml
12,fracirrigated,0.0,1.0,0.7608332159762542,landuse
13,fracforest,0.0,1.0,0.9326974623317627,landuse
14,fracrice,0.0,1.0,0.11157402031136202,landuse
15,fracother,0.0,1.0,0.9063379352241638,landuse
16,fracsealed,0.0,1.0,0.8823126879418839,landuse
17,fracwater,0.0,1.0,0.5,landuse
