,ParameterName,MinValue,MaxValue,DefaultValue,tipo
0,UpperZoneTimeConstant,0.01,40.0,10.202913014343377,xml
1,LowerZoneTimeConstant,40.0,10000.0,1052.321454453177,xml
2,GwPercValue,0.01,2.0,0.0100084943319319,xml
3,LZThreshold,0.0,30.0,18.050956207627276,xml
4,b_Xinanjiang,0.01,5.0,4.758550291343801,xml
5,PowerPrefFlow,0.5,8.0,0.501204632383387,xml
6,SnowMeltCoef,2.5,6.5,4.3470136090234135,xml
7,CalChanMan,0.5,2.0,1.999925001258754,xml
8,CalChanMan2,0.5,5.0,4.513107252969559,xml
9,LakeMultiplier,0.5,2.0,1.1024707711552175,xml
10,adjust_Normal_Flood,0.01,0.99,0.287254040630134,xml
11,ReservoirRnormqMult,0.25,2.0,0.95646242046753,xml
12,AvWaterRateThreshold,1.0,100.0,47.80409883514399,xml
13,QSplitMult,0.0,20.0,3.3125242753686,xml
14,ChanBottomWMult,0.0,5.0,2.526564622045121,xml
15,ChanDepthTMult,0.0,5.0,1.3592824297963146,xml
16,ChanSMult,0.0,5.0,4.179932981574769,xml
17,GwLoss,0.0,0.5,0.0,xml
18,thetar1,0.0,1.0,0.179,xml
19,thetar2,0.0,1.0,0.179,xml
20,thetar3,0.0,1.0,0.179,xml
21,fracirrigated,0.0,1.0,0.0290064799301089,landuse
22,fracforest,0.0,1.0,0.2434793432913969,landuse
23,fracrice,0.0,1.0,0.1788188790632268,landuse
24,fracother,0.0,1.0,0.3535341621832645,landuse
25,fracsealed,0.0,1.0,0.5318639146800683,landuse
26,fracwater,0.0,1.0,0.4285087430784023,landuse

