,thetar3,thetas2,thetar1,thetas3,thetar2,thetas3_o,thetar3_o,thetas1_o,thetas1,thetas2_o,thetas1_f,thetar1_o,thetar2_f,thetas3_f,thetas2_f,thetar2_o,thetar3_f,thetar1_f
0,55.2208,55.2208,87.7403,55.2208,8736.03,55.2208,55.2208,55.1742,55.2208,54.8649,54.5921,55.2208,55.2208,55.2208,17.4334,55.2208,55.2208,55.2208
1,2910.68,88.0317,138.377,88.0317,10289.1,88.0317,88.0317,87.9514,88.0317,87.3848,87.0397,88.0317,88.0317,88.0317,24.2107,88.0317,88.0317,88.0317
2,40230.3,90.3502,146.969,90.3502,10457.8,90.3502,90.3502,90.2446,90.3502,89.5391,89.2005,90.3502,90.3502,90.3502,16.1509,90.3502,90.3502,90.3502
3,6319.24,90.2262,149.097,90.2262,10475.4,90.2262,90.2262,90.1072,90.2262,89.3248,89.0244,90.2262,90.2262,90.2262,12.2639,90.2262,90.2262,90.2262
4,40805.5,89.6578,149.407,89.6579,10476.4,89.6578,89.6578,89.5331,89.6578,88.701,88.4426,89.6578,89.6578,89.6578,10.3634,89.6578,89.6578,89.6578
5,6368.77,95.3635,155.475,95.3635,10483.5,95.3635,95.3635,95.2364,95.3635,94.3719,94.1945,95.3635,95.3635,95.3635,15.594,95.3635,95.3635,95.3635
6,40815.0,92.8158,153.094,92.8159,10479.5,92.8158,92.8158,92.689,92.8158,91.8015,91.6116,92.8158,92.8158,92.8158,12.8777,92.8158,92.8158,92.8158
7,6377.8,104.265,164.606,104.265,10492.7,104.265,104.265,104.126,104.265,103.225,103.131,104.265,104.265,104.265,24.2611,104.265,104.265,104.265
8,40827.3,105.636,166.01,105.636,10493.7,105.636,105.636,105.497,105.636,104.585,104.495,105.636,105.636,105.636,25.6065,105.636,105.636,105.636
9,6366.15,98.5597,158.957,98.5599,10485.2,98.5597,98.5597,98.4285,98.5597,97.5095,97.3665,98.5597,98.5597,98.5597,18.5223,98.5597,98.5597,98.5597
10,40814.3,94.8679,155.273,94.8681,10481.3,94.8679,94.8679,94.74,94.8679,93.8157,93.6497,94.8679,94.8679,94.8679,14.825,94.8679,94.8679,94.8679
11,6361.9,92.8308,153.242,92.831,10479.2,92.8308,92.8308,92.7056,92.8308,91.7773,91.6042,92.8308,92.8308,92.8308,12.7888,92.8308,92.8308,92.8308
12,40814.3,92.69,153.098,92.6903,10479.5,92.69,92.69,92.5643,92.69,91.6291,91.475,92.69,92.69,92.69,12.6453,92.69,92.69,92.69
13,6379.8,107.596,167.99,107.596,10495.8,107.596,107.596,107.435,107.596,106.485,106.458,107.596,107.596,107.596,27.5517,107.596,107.596,107.596
14,40821.0,102.052,162.45,102.052,10489.0,102.052,102.052,101.898,102.052,100.955,100.869,102.052,102.052,102.052,22.0061,102.052,102.052,102.052
15,6373.67,105.193,165.587,105.193,10493.1,105.193,105.193,105.033,105.193,104.082,104.033,105.193,105.193,105.193,25.1451,105.193,105.193,105.193
16,40816.8,99.4783,159.883,99.4788,10486.0,99.4783,99.4783,99.34,99.4783,98.3973,98.2779,99.4783,99.4783,99.4783,19.4329,99.4783,99.4783,99.4783
17,6380.27,111.443,171.829,111.444,10499.6,111.443,111.443,111.253,111.443,110.284,110.325,111.443,111.443,111.443,31.3987,111.443,111.443,111.443
18,40818.9,103.186,163.583,103.187,10489.8,103.186,103.186,103.04,103.186,102.09,102.002,103.186,103.186,103.186,23.1398,103.186,103.186,103.186
19,6367.06,101.197,161.599,101.198,10488.3,101.197,101.197,101.057,101.197,100.106,100.013,101.197,101.197,101.197,21.1524,101.197,101.197,101.197
20,40822.5,104.453,164.846,104.454,10492.1,104.453,104.453,104.303,104.453,103.341,103.286,104.453,104.453,104.453,24.4066,104.453,104.453,104.453
21,6365.13,99.979,160.382,99.9798,10486.6,99.979,99.979,99.8457,99.979,98.8951,98.7809,99.979,99.979,99.979,19.9348,99.979,99.979,99.979
22,40813.9,97.0896,157.5,97.0905,10483.5,97.0896,97.0896,96.9751,97.0896,96.0339,95.8711,97.0896,97.0896,97.0896,17.0437,97.0896,97.0896,97.0896
23,6361.71,95.0241,155.441,95.0251,10481.3,95.0241,95.0241,94.9202,95.0241,93.9839,93.7986,95.0241,95.0241,95.0241,14.9806,95.0241,95.0241,95.0241
24,40814.3,94.4351,154.846,94.4361,10481.6,94.4351,94.4351,94.328,94.4351,93.3816,93.2382,94.4351,94.4351,94.4351,14.3897,94.4351,94.4351,94.4351
25,6362.01,93.2968,153.713,93.2979,10480.1,93.2968,93.2968,93.1984,93.2968,92.2562,92.0958,93.2968,93.2968,93.2968,13.2538,93.2968,93.2968,93.2968
26,40812.8,92.1306,152.546,92.1318,10479.0,92.1306,92.1306,92.0345,92.1306,91.0935,90.9261,92.1306,92.1306,92.1306,12.0858,92.1306,92.1306,92.1306
27,6361.3,91.1911,151.61,91.1923,10477.9,91.1911,91.1911,91.0981,91.1911,90.1601,89.9831,91.1911,91.1911,91.1911,11.1486,91.1911,91.1911,91.1911
28,40812.3,90.2674,150.685,90.2687,10476.9,90.2674,90.2674,90.1753,90.2674,89.2388,89.0548,90.2674,90.2674,90.2674,10.2229,90.2674,90.2674,90.2674
