,ls_dis,horleitura
2013-01-03,169.301,105.6921875
2013-01-04,129.704,109.14375
2013-01-05,94.7383,108.47395833333331
2013-01-06,70.2048,106.15729166666668
2013-01-07,53.9951,102.8484375
2013-01-08,47.2902,97.2229411764706
2013-01-09,40.8116,90.9134375
2013-01-10,43.8823,80.66425531914894
2013-01-11,46.3531,64.74907291666666
2013-01-12,42.4123,51.39202083333333
2013-01-13,37.9641,42.98616666666666
2013-01-14,34.0256,38.31601041666666
2013-01-15,30.9553,36.60427083333334
2013-01-16,38.2855,41.80439583333334
2013-01-17,40.2322,47.376875000000005
2013-01-18,42.3175,41.85836458333333
2013-01-19,40.0592,45.61782291666666
2013-01-20,47.1925,46.50346875
2013-01-21,45.6133,48.5654375
2013-01-22,43.415,49.509687500000005
2013-01-23,44.4727,41.2730625
2013-01-24,42.5944,34.4353125
2013-01-25,39.0099,30.6309375
2013-01-26,35.1817,29.02959375
2013-01-27,32.0756,28.67434375
2013-01-28,29.3613,27.248218750000003
2013-01-29,26.4368,24.18828125
2013-01-30,23.7505,22.4625
2013-01-31,21.3821,21.65234375
2013-02-01,19.9635,20.5625
2013-02-02,18.8741,19.87421875
2013-02-03,17.9937,19.278125
2013-02-04,50.3434,24.37648958333333
2013-02-05,74.1435,58.07114583333333
2013-02-06,69.8753,69.9951875
2013-02-07,65.5208,71.22125
2013-02-08,61.2958,73.55978125
2013-02-09,80.83,89.70284375
2013-02-10,89.4583,94.97708333333333
2013-02-11,88.4335,100.09427083333333
2013-02-12,92.1125,105.21302083333336
2013-02-13,93.2015,106.24166666666667
2013-02-14,91.6319,105.15364583333331
2013-02-15,84.9283,102.7171875
2013-02-16,82.6537,100.70885416666664
2013-02-17,76.6769,97.00625
2013-02-18,77.3884,95.175
2013-02-19,82.7129,99.31354166666668
2013-02-20,109.933,100.1078125
2013-02-21,113.908,99.03854166666667
2013-02-22,111.112,101.840625
2013-02-23,101.539,105.30677083333336
2013-02-24,91.4611,107.68229166666669
2013-02-25,81.8391,108.5421875
2013-02-26,72.7164,107.5921875
2013-02-27,65.7128,111.47916666666669
2013-02-28,91.7653,107.503125
2013-03-01,86.0276,101.44791666666669
2013-03-02,78.3885,99.02447916666668
2013-03-03,71.5543,96.125
2013-03-04,64.1934,88.7389375
2013-03-05,57.1636,73.64105208333334
2013-03-06,50.7307,63.4496875
2013-03-07,62.8587,62.5689375
2013-03-08,70.0221,76.79571875
2013-03-09,69.6563,81.11914583333333
2013-03-10,64.7576,83.23420833333334
2013-03-11,66.1683,98.7125
2013-03-12,62.6479,95.7
2013-03-13,61.3559,87.64709375
2013-03-14,58.328,142.678
2013-03-15,111.258,140.975
2013-03-16,104.242,123.1234375
2013-03-17,96.0137,117.63229166666667
2013-03-18,100.204,117.80729166666669
2013-03-19,93.843,115.03385416666669
2013-03-20,84.743,112.434375
2013-03-21,77.8769,111.64479166666666
2013-03-22,74.971,112.71197916666668
2013-03-23,68.9576,109.3828125
2013-03-24,62.3505,105.2078125
2013-03-25,56.3343,103.22447916666664
2013-03-26,68.1697,104.09895833333331
2013-03-27,65.0699,99.59583333333336
2013-03-28,62.8081,97.48541666666668
2013-03-29,58.6644,92.59425
2013-03-30,53.763,85.31377083333334
2013-03-31,50.6687,76.31922916666666
2013-04-01,46.7472,67.62228125
2013-04-02,42.4418,60.508156250000006
2013-04-03,38.4313,57.04059375
2013-04-04,39.3278,56.65228125
2013-04-05,38.0669,58.50414583333333
2013-04-06,45.0637,89.89631250000001
2013-04-07,61.5883,90.69642708333332
2013-04-08,58.0175,88.35893750000001
2013-04-09,53.0299,86.04859375000001
2013-04-10,48.481,80.1744375
2013-04-11,43.9817,71.03486458333333
2013-04-12,39.4954,61.64925
2013-04-13,35.2969,60.32908333333333
2013-04-14,49.8206,77.14102083333333
2013-04-15,53.4625,83.85294791666666
2013-04-16,49.3157,85.72340625
2013-04-17,45.0622,81.82241666666667
2013-04-18,40.9514,73.98255208333333
2013-04-19,36.9322,64.06954166666667
2013-04-20,33.0924,54.995020833333335
2013-04-21,29.6712,48.8971875
2013-04-22,26.6595,44.087854166666666
2013-04-23,24.2668,40.21817708333334
2013-04-24,22.7374,37.5721875
2013-04-25,21.5813,36.57902083333333
2013-04-26,20.7312,35.3628125
2013-04-27,20.0353,34.61051041666666
2013-04-28,19.4563,34.43809375
2013-04-29,18.9848,33.39953125
2013-04-30,18.596,32.06009375
2013-05-01,18.2659,31.1493125
2013-05-02,17.9814,30.56025
2013-05-03,17.7341,30.05728125
2013-05-04,17.5307,29.78178125
2013-05-05,17.3725,29.5180625
2013-05-06,17.2081,29.04953125
2013-05-07,28.5194,29.8715
2013-05-08,30.3183,34.460427083333336
2013-05-09,28.5804,36.49309375
2013-05-10,26.9063,33.30528125
2013-05-11,25.0049,31.2580625
2013-05-12,23.0685,29.36128125
2013-05-13,21.4837,27.5533125
2013-05-14,20.372,26.4475
2013-05-15,19.4428,26.09925806451613
2013-05-16,18.7151,26.83103125
2013-05-17,18.2873,28.93534375
2013-05-18,27.6304,39.787
2013-05-19,29.48,46.00788541666666
2013-05-20,27.8427,40.16767708333334
2013-05-21,26.0754,34.583333333333336
2013-05-22,24.3926,31.834437500000003
2013-05-23,22.8257,31.1058125
2013-05-24,27.1767,34.8173125
2013-05-25,27.8393,44.20823958333333
2013-05-26,25.8806,39.3144375
2013-05-27,23.8449,34.688520833333335
2013-05-28,22.0004,31.9431875
2013-05-29,23.7093,35.51501041666666
2013-05-30,42.8703,56.43602083333334
2013-05-31,59.513,69.72584375
2013-06-01,58.1447,67.66371875
2013-06-02,54.8359,66.10640625
2013-06-03,50.81,87.84166666666665
2013-06-04,80.8881,89.25598958333335
2013-06-05,77.7467,89.93608333333333
2013-06-06,70.8424,87.91653124999999
2013-06-07,64.3206,83.17484375
2013-06-08,57.7721,72.52407291666667
2013-06-09,51.4752,58.9945625
2013-06-10,45.7638,49.01203125
2013-06-11,40.7558,43.48822916666666
2013-06-12,36.3543,40.3118125
2013-06-13,35.8663,41.00388541666667
2013-06-14,33.7396,53.53577083333334
2013-06-15,30.5566,53.10265625
2013-06-16,27.8708,46.60435416666667
2013-06-17,26.649,42.32833333333333
2013-06-18,48.2742,76.90082291666667
2013-06-19,51.5878,82.68832291666666
2013-06-20,48.4789,89.58679166666667
2013-06-21,51.2459,133.00583333333333
2013-06-22,115.409,393.5133333333333
2013-06-23,220.998,408.7675
2013-06-24,201.942,355.71197916666665
2013-06-25,179.458,421.4705208333333
2013-06-26,176.81,493.603125
2013-06-27,166.598,454.2136458333334
2013-06-28,152.787,397.58729166666666
2013-06-29,143.269,339.84989583333333
2013-06-30,131.731,294.854375
2013-07-01,135.241,271.726875
2013-07-02,154.311,246.74604166666663
2013-07-03,145.426,213.16916666666668
2013-07-04,130.438,192.57364583333333
2013-07-05,116.03,175.93395833333332
2013-07-06,103.091,158.6265625
2013-07-07,91.8041,140.72125
2013-07-08,82.0603,126.12447916666667
2013-07-09,73.6049,115.28802083333332
2013-07-10,66.3983,108.4265625
2013-07-11,59.9102,103.59375
2013-07-12,53.9394,98.95052083333331
2013-07-13,48.5744,91.6546875
2013-07-14,43.8136,83.50885416666667
2013-07-15,39.462,76.1885625
2013-07-16,35.5628,70.23649999999999
2013-07-17,32.2233,65.55319791666666
2013-07-18,29.5542,61.84794791666667
2013-07-19,27.1463,58.51890624999999
2013-07-20,25.0638,59.978145833333336
2013-07-21,40.4256,73.48700000000001
2013-07-22,82.9688,174.52729166666666
2013-07-23,142.714,194.3353125
2013-07-24,171.155,190.31322916666667
2013-07-25,159.102,219.8303125
2013-07-26,143.065,260.12416666666667
2013-07-27,126.916,272.8805208333333
2013-07-28,112.645,255.85260416666665
2013-07-29,100.147,225.1198958333333
2013-07-30,88.9711,192.27427083333336
2013-07-31,79.3103,160.52083333333334
2013-08-01,71.035,133.55203703703705
2013-08-02,63.8123,117.71041666666667
2013-08-03,57.6308,107.7984375
2013-08-04,52.4886,102.51875
