,ls_dis,horleitura
2013-01-03,186.096,105.6921875
2013-01-04,151.266,109.14375
2013-01-05,107.478,108.47395833333331
2013-01-06,78.0133,106.15729166666668
2013-01-07,58.9859,102.8484375
2013-01-08,56.0251,97.2229411764706
2013-01-09,46.3028,90.9134375
2013-01-10,59.4693,80.66425531914894
2013-01-11,62.9765,64.74907291666666
2013-01-12,52.7893,51.39202083333333
2013-01-13,45.1077,42.98616666666666
2013-01-14,39.0198,38.31601041666666
2013-01-15,34.8923,36.60427083333334
2013-01-16,54.1978,41.80439583333334
2013-01-17,53.3975,47.376875000000005
2013-01-18,56.8322,41.85836458333333
2013-01-19,49.6569,45.61782291666666
2013-01-20,67.7811,46.50346875
2013-01-21,58.6456,48.5654375
2013-01-22,54.002,49.509687500000005
2013-01-23,56.8761,41.2730625
2013-01-24,51.6611,34.4353125
2013-01-25,45.0409,30.6309375
2013-01-26,39.2798,29.02959375
2013-01-27,35.3387,28.67434375
2013-01-28,31.4598,27.248218750000003
2013-01-29,27.7689,24.18828125
2013-01-30,24.6836,22.4625
2013-01-31,22.3209,21.65234375
2013-02-01,20.8168,20.5625
2013-02-02,19.6341,19.87421875
2013-02-03,18.6963,19.278125
2013-02-04,101.422,24.37648958333333
2013-02-05,135.949,58.07114583333333
2013-02-06,105.236,69.9951875
2013-02-07,90.1249,71.22125
2013-02-08,78.7248,73.55978125
2013-02-09,127.712,89.70284375
2013-02-10,132.724,94.97708333333333
2013-02-11,122.117,100.09427083333333
2013-02-12,127.985,105.21302083333336
2013-02-13,125.83,106.24166666666667
2013-02-14,119.805,105.15364583333331
2013-02-15,104.278,102.7171875
2013-02-16,102.923,100.70885416666664
2013-02-17,90.9734,97.00625
2013-02-18,97.4933,95.175
2013-02-19,110.101,99.31354166666668
2013-02-20,171.911,100.1078125
2013-02-21,163.797,99.03854166666667
2013-02-22,151.293,101.840625
2013-02-23,128.22,105.30677083333336
2013-02-24,110.162,107.68229166666669
2013-02-25,94.9312,108.5421875
2013-02-26,82.1797,107.5921875
2013-02-27,73.8176,111.47916666666669
2013-02-28,141.833,107.503125
2013-03-01,112.799,101.44791666666669
2013-03-02,97.7418,99.02447916666668
2013-03-03,85.8613,96.125
2013-03-04,74.4632,88.7389375
2013-03-05,64.6342,73.64105208333334
2013-03-06,56.2252,63.4496875
2013-03-07,91.5875,62.5689375
2013-03-08,99.5112,76.79571875
2013-03-09,93.8868,81.11914583333333
2013-03-10,81.5777,83.23420833333334
2013-03-11,87.0363,98.7125
2013-03-12,77.3819,95.7
2013-03-13,76.7919,87.64709375
2013-03-14,70.5088,142.678
2013-03-15,199.966,140.975
2013-03-16,149.931,123.1234375
2013-03-17,128.563,117.63229166666667
2013-03-18,139.58,117.80729166666669
2013-03-19,120.732,115.03385416666669
2013-03-20,103.796,112.434375
2013-03-21,93.8918,111.64479166666666
