,ls_dis,horleitura
2013-01-03,231.182,105.6921875
2013-01-04,161.715,109.14375
2013-01-05,106.337,108.47395833333331
2013-01-06,74.0188,106.15729166666668
2013-01-07,55.0691,102.8484375
2013-01-08,53.0941,97.2229411764706
2013-01-09,44.9456,90.9134375
2013-01-10,58.9293,80.66425531914894
2013-01-11,64.5711,64.74907291666666
2013-01-12,55.6103,51.39202083333333
2013-01-13,47.7289,42.98616666666666
2013-01-14,41.0968,38.31601041666666
2013-01-15,36.5833,36.60427083333334
2013-01-16,55.8583,41.80439583333334
2013-01-17,56.6334,47.376875000000005
2013-01-18,60.9179,41.85836458333333
2013-01-19,54.12,45.61782291666666
2013-01-20,71.5988,46.50346875
2013-01-21,63.5239,48.5654375
2013-01-22,58.6973,49.509687500000005
2013-01-23,61.5212,41.2730625
2013-01-24,56.2936,34.4353125
2013-01-25,49.1617,30.6309375
2013-01-26,42.7114,29.02959375
2013-01-27,38.2294,28.67434375
2013-01-28,34.0632,27.248218750000003
2013-01-29,29.9388,24.18828125
2013-01-30,26.3029,22.4625
2013-01-31,23.0999,21.65234375
2013-02-01,21.2926,20.5625
2013-02-02,20.0236,19.87421875
2013-02-03,19.0718,19.278125
2013-02-04,95.6314,24.37648958333333
2013-02-05,136.32,58.07114583333333
2013-02-06,112.091,69.9951875
2013-02-07,96.1652,71.22125
2013-02-08,83.6819,73.55978125
2013-02-09,129.847,89.70284375
2013-02-10,138.973,94.97708333333333
2013-02-11,130.161,100.09427083333333
2013-02-12,136.025,105.21302083333336
2013-02-13,134.947,106.24166666666667
2013-02-14,129.633,105.15364583333331
2013-02-15,114.405,102.7171875
2013-02-16,112.668,100.70885416666664
2013-02-17,100.643,97.00625
2013-02-18,106.713,95.175
2013-02-19,119.689,99.31354166666668
2013-02-20,180.82,100.1078125
2013-02-21,175.851,99.03854166666667
2013-02-22,162.872,101.840625
2013-02-23,138.514,105.30677083333336
2013-02-24,119.123,107.68229166666669
2013-02-25,103.002,108.5421875
2013-02-26,89.4911,107.5921875
2013-02-27,80.686,111.47916666666669
2013-02-28,146.952,107.503125
2013-03-01,122.579,101.44791666666669
2013-03-02,106.536,99.02447916666668
2013-03-03,93.2423,96.125
2013-03-04,80.7023,88.7389375
2013-03-05,70.0336,73.64105208333334
2013-03-06,60.9744,63.4496875
2013-03-07,94.9272,62.5689375
2013-03-08,106.095,76.79571875
2013-03-09,101.954,81.11914583333333
2013-03-10,89.0825,83.23420833333334
2013-03-11,93.6193,98.7125
2013-03-12,84.2043,95.7
2013-03-13,83.4844,87.64709375
2013-03-14,77.3246,142.678
2013-03-15,202.765,140.975
2013-03-16,160.84,123.1234375
2013-03-17,137.661,117.63229166666667
2013-03-18,146.806,117.80729166666669
2013-03-19,128.364,115.03385416666669
2013-03-20,110.655,112.434375
2013-03-21,100.357,111.64479166666666
2013-03-22,98.979,112.71197916666668
2013-03-23,88.4045,109.3828125
2013-03-24,78.4062,105.2078125
2013-03-25,69.6479,103.22447916666664
