,ls_dis,horleitura
2013-01-03,354.723,105.6921875
2013-01-04,154.767,109.14375
2013-01-05,83.7037,108.47395833333331
2013-01-06,54.8197,106.15729166666668
2013-01-07,40.9689,102.8484375
2013-01-08,45.0494,97.2229411764706
2013-01-09,39.7404,90.9134375
2013-01-10,59.5822,80.66425531914894
2013-01-11,68.0488,64.74907291666666
2013-01-12,56.4094,51.39202083333333
2013-01-13,45.8089,42.98616666666666
2013-01-14,37.8744,38.31601041666666
2013-01-15,33.4686,36.60427083333334
2013-01-16,59.1332,41.80439583333334
2013-01-17,60.1758,47.376875000000005
2013-01-18,64.6531,41.85836458333333
2013-01-19,55.1261,45.61782291666666
2013-01-20,76.0123,46.50346875
2013-01-21,65.4821,48.5654375
2013-01-22,58.5649,49.509687500000005
2013-01-23,62.1797,41.2730625
2013-01-24,55.8164,34.4353125
2013-01-25,47.3401,30.6309375
2013-01-26,40.1139,29.02959375
2013-01-27,35.7007,28.67434375
2013-01-28,31.8117,27.248218750000003
2013-01-29,27.8579,24.18828125
2013-01-30,24.3709,22.4625
2013-01-31,20.9912,21.65234375
2013-02-01,18.4782,20.5625
2013-02-02,17.3455,19.87421875
2013-02-03,16.6458,19.278125
2013-02-04,113.16,24.37648958333333
2013-02-05,162.447,58.07114583333333
2013-02-06,120.225,69.9951875
2013-02-07,93.219,71.22125
2013-02-08,77.5329,73.55978125
2013-02-09,137.308,89.70284375
2013-02-10,147.383,94.97708333333333
2013-02-11,131.46,100.09427083333333
2013-02-12,137.128,105.21302083333336
2013-02-13,135.551,106.24166666666667
2013-02-14,128.942,105.15364583333331
2013-02-15,111.113,102.7171875
2013-02-16,110.554,100.70885416666664
2013-02-17,97.5197,97.00625
2013-02-18,106.583,95.175
2013-02-19,123.536,99.31354166666668
2013-02-20,197.778,100.1078125
2013-02-21,185.142,99.03854166666667
2013-02-22,163.485,101.840625
2013-02-23,132.942,105.30677083333336
2013-02-24,111.99,107.68229166666669
2013-02-25,96.1708,108.5421875
