,ls_dis,horleitura
2013-01-03,354.723,105.6921875
2013-01-04,154.673,109.14375
2013-01-05,83.5112,108.47395833333331
2013-01-06,54.5251,106.15729166666668
2013-01-07,40.5697,102.8484375
2013-01-08,44.5287,97.2229411764706
2013-01-09,39.1091,90.9134375
2013-01-10,58.8067,80.66425531914894
2013-01-11,67.1546,64.74907291666666
2013-01-12,55.4321,51.39202083333333
2013-01-13,44.7471,42.98616666666666
2013-01-14,36.7202,38.31601041666666
2013-01-15,32.2097,36.60427083333334
2013-01-16,57.6665,41.80439583333334
2013-01-17,58.6251,47.376875000000005
2013-01-18,63.0064,41.85836458333333
2013-01-19,53.4165,45.61782291666666
2013-01-20,74.1453,46.50346875
2013-01-21,63.5546,48.5654375
2013-01-22,56.5653,49.509687500000005
2013-01-23,60.0592,41.2730625
2013-01-24,53.6208,34.4353125
2013-01-25,45.0767,30.6309375
2013-01-26,37.7762,29.02959375
2013-01-27,33.2723,28.67434375
2013-01-28,29.2913,27.248218750000003
2013-01-29,25.2558,24.18828125
2013-01-30,21.6896,22.4625
2013-01-31,18.2393,21.65234375
2013-02-01,15.7043,20.5625
2013-02-02,14.6288,19.87421875
2013-02-03,14.0088,19.278125
2013-02-04,109.924,24.37648958333333
2013-02-05,159.443,58.07114583333333
2013-02-06,117.493,69.9951875
2013-02-07,90.5271,71.22125
2013-02-08,74.7781,73.55978125
2013-02-09,134.264,89.70284375
2013-02-10,144.29,94.97708333333333
2013-02-11,128.366,100.09427083333333
2013-02-12,133.936,105.21302083333336
2013-02-13,132.276,106.24166666666667
2013-02-14,125.595,105.15364583333331
2013-02-15,107.714,102.7171875
2013-02-16,107.05,100.70885416666664
2013-02-17,93.9554,97.00625
2013-02-18,102.885,95.175
2013-02-19,119.707,99.31354166666668
2013-02-20,193.742,100.1078125
2013-02-21,181.154,99.03854166666667
2013-02-22,159.499,101.840625
2013-02-23,128.933,105.30677083333336
2013-02-24,107.919,107.68229166666669
2013-02-25,92.025,108.5421875
2013-02-26,79.1772,107.5921875
2013-02-27,71.6185,111.47916666666669
2013-02-28,155.15,107.503125
2013-03-01,123.348,101.44791666666669
2013-03-02,99.991,99.02447916666668
2013-03-03,83.8157,96.125
2013-03-04,70.6352,88.7389375
2013-03-05,60.205,73.64105208333334
2013-03-06,51.6176,63.4496875
2013-03-07,95.4605,62.5689375
2013-03-08,109.917,76.79571875
2013-03-09,101.209,81.11914583333333
2013-03-10,82.815,83.23420833333334
2013-03-11,88.0278,98.7125
2013-03-12,77.4407,95.7
2013-03-13,77.2654,87.64709375
2013-03-14,70.668,142.678
2013-03-15,225.975,140.975
2013-03-16,165.353,123.1234375
2013-03-17,129.303,117.63229166666667
2013-03-18,140.705,117.80729166666669
2013-03-19,119.247,115.03385416666669
2013-03-20,99.2904,112.434375
2013-03-21,89.5914,111.64479166666666
2013-03-22,90.8146,112.71197916666668
2013-03-23,79.765,109.3828125
2013-03-24,68.819,105.2078125
2013-03-25,59.6934,103.22447916666664
2013-03-26,103.541,104.09895833333331
2013-03-27,87.6263,99.59583333333336
2013-03-28,81.3545,97.48541666666668
2013-03-29,69.2836,92.59425
2013-03-30,59.1723,85.31377083333334
2013-03-31,55.8848,76.31922916666666
2013-04-01,49.5817,67.62228125
2013-04-02,43.1095,60.508156250000006
2013-04-03,37.4381,57.04059375
2013-04-04,45.2912,56.65228125
2013-04-05,43.1906,58.50414583333333
2013-04-06,66.3766,89.89631250000001
2013-04-07,109.482,90.69642708333332
2013-04-08,85.1959,88.35893750000001
2013-04-09,66.4351,86.04859375000001
2013-04-10,53.6717,80.1744375
2013-04-11,44.6066,71.03486458333333
2013-04-12,37.5395,61.64925
2013-04-13,31.7986,60.32908333333333
2013-04-14,80.3846,77.14102083333333
2013-04-15,82.0215,83.85294791666666
2013-04-16,65.149,85.72340625
2013-04-17,52.0193,81.82241666666667
2013-04-18,42.4031,73.98255208333333
2013-04-19,35.1618,64.06954166666667
2013-04-20,29.4198,54.995020833333335
2013-04-21,24.8237,48.8971875
2013-04-22,21.0038,44.087854166666666
2013-04-23,17.8452,40.21817708333334
2013-04-24,15.7803,37.5721875
2013-04-25,15.1577,36.57902083333333
2013-04-26,14.7943,35.3628125
2013-04-27,14.4352,34.61051041666666
2013-04-28,14.1521,34.43809375
2013-04-29,13.9577,33.39953125
2013-04-30,13.8172,32.06009375
2013-05-01,13.7132,31.1493125
2013-05-02,13.6415,30.56025
2013-05-03,13.6236,30.05728125
2013-05-04,13.6329,29.78178125
2013-05-05,13.7171,29.5180625
2013-05-06,13.7263,29.04953125
2013-05-07,48.1262,29.8715
2013-05-08,46.3486,34.460427083333336
2013-05-09,38.4055,36.49309375
2013-05-10,31.1996,33.30528125
2013-05-11,25.2613,31.2580625
2013-05-12,20.5571,29.36128125
2013-05-13,17.1664,27.5533125
2013-05-14,15.5803,26.4475
2013-05-15,14.8198,26.09925806451613
2013-05-16,14.44,26.83103125
2013-05-17,14.8884,28.93534375
2013-05-18,44.6579,39.787
2013-05-19,44.9896,46.00788541666666
2013-05-20,37.3122,40.16767708333334
2013-05-21,30.2888,34.583333333333336
2013-05-22,24.9825,31.834437500000003
2013-05-23,21.1495,31.1058125
2013-05-24,35.4992,34.8173125
2013-05-25,35.367,44.20823958333333
2013-05-26,29.8383,39.3144375
2013-05-27,24.5468,34.688520833333335
2013-05-28,20.2491,31.9431875
2013-05-29,25.8318,35.51501041666666
2013-05-30,84.6397,56.43602083333334
2013-05-31,122.637,69.72584375
2013-06-01,94.524,67.66371875
2013-06-02,72.6769,66.10640625
2013-06-03,58.3112,87.84166666666665
2013-06-04,150.311,89.25598958333335
2013-06-05,117.173,89.93608333333333
2013-06-06,90.6898,87.91653124999999
2013-06-07,73.3709,83.17484375
2013-06-08,61.318,72.52407291666667
2013-06-09,52.152,58.9945625
2013-06-10,44.8197,49.01203125
2013-06-11,38.8035,43.48822916666666
2013-06-12,33.6736,40.3118125
2013-06-13,38.6704,41.00388541666667
2013-06-14,35.4574,53.53577083333334
2013-06-15,30.5813,53.10265625
2013-06-16,26.1793,46.60435416666667
2013-06-17,25.7248,42.32833333333333
2013-06-18,91.1618,76.90082291666667
2013-06-19,88.2563,82.68832291666666
2013-06-20,70.4437,89.58679166666667
2013-06-21,74.8446,133.00583333333333
2013-06-22,264.591,393.5133333333333
2013-06-23,502.123,408.7675
2013-06-24,316.028,355.71197916666665
2013-06-25,227.635,421.4705208333333
2013-06-26,234.054,493.603125
2013-06-27,215.959,454.2136458333334
2013-06-28,191.703,397.58729166666666
2013-06-29,181.079,339.84989583333333
2013-06-30,161.675,294.854375
2013-07-01,187.218,271.726875
2013-07-02,242.372,246.74604166666663
2013-07-03,200.245,213.16916666666668
2013-07-04,160.008,192.57364583333333
2013-07-05,133.165,175.93395833333332
2013-07-06,114.313,158.6265625
2013-07-07,100.01,140.72125
2013-07-08,88.3008,126.12447916666667
2013-07-09,78.409,115.28802083333332
2013-07-10,70.2601,108.4265625
2013-07-11,62.4566,103.59375
2013-07-12,55.1695,98.95052083333331
2013-07-13,48.6541,91.6546875
2013-07-14,42.7174,83.50885416666667
2013-07-15,37.339,76.1885625
2013-07-16,32.5936,70.23649999999999
2013-07-17,28.5746,65.55319791666666
2013-07-18,25.3555,61.84794791666667
2013-07-19,22.5411,58.51890624999999
2013-07-20,19.8891,59.978145833333336
2013-07-21,69.1456,73.48700000000001
2013-07-22,182.181,174.52729166666666
2013-07-23,325.582,194.3353125
2013-07-24,324.161,190.31322916666667
2013-07-25,226.9,219.8303125
2013-07-26,173.868,260.12416666666667
2013-07-27,143.051,272.8805208333333
2013-07-28,123.636,255.85260416666665
2013-07-29,108.446,225.1198958333333
2013-07-30,95.1632,192.27427083333336
2013-07-31,83.8675,160.52083333333334
2013-08-01,74.2638,133.55203703703705
2013-08-02,65.88,117.71041666666667
2013-08-03,58.9793,107.7984375
2013-08-04,53.3458,102.51875
2013-08-05,48.4571,96.65364583333331
2013-08-06,45.1268,88.37347916666666
2013-08-07,40.943,80.20366666666666
2013-08-08,36.3364,73.93296875
2013-08-09,32.0343,69.149375
2013-08-10,28.2048,65.28379166666666
2013-08-11,25.4394,62.06935416666667
2013-08-12,23.6888,58.81184375
2013-08-13,21.418,55.79352083333333
2013-08-14,19.0931,53.32578125
2013-08-15,19.4619,53.18796875
2013-08-16,37.7438,56.496822916666666
2013-08-17,35.1056,59.655458333333335
2013-08-18,29.1404,58.57567708333334
2013-08-19,25.5195,55.5475625
2013-08-20,25.1259,52.3425
2013-08-21,22.5386,50.46890625
2013-08-22,20.0246,48.880781250000005
2013-08-23,18.1358,47.31671875
2013-08-24,16.9457,45.42060416666666
2013-08-25,16.5371,43.56275
2013-08-26,15.8219,42.01408333333333
2013-08-27,15.255,42.80490625
2013-08-28,57.0029,49.89578125
2013-08-29,50.8373,57.73433333333333
2013-08-30,41.7248,57.18836458333333
2013-08-31,33.7906,52.61375
2013-09-01,27.5533,47.66241666666667
2013-09-02,22.9707,43.43922916666667
2013-09-03,30.1492,41.807875
2013-09-04,30.744,45.98184375
2013-09-05,31.867,46.34875
2013-09-06,28.088,44.89794791666667
2013-09-07,23.5037,42.20766666666667
2013-09-08,20.1029,39.34705208333333
2013-09-09,18.1375,37.295489583333335
2013-09-10,17.0316,35.49069791666667
2013-09-11,16.8791,34.1345
2013-09-12,16.7961,33.270843750000004
2013-09-13,16.6006,32.260375
2013-09-14,16.1938,31.1891875
2013-09-15,16.5442,30.021937500000003
2013-09-16,16.9861,28.5356875
2013-09-17,17.3943,31.206510416666664
2013-09-18,165.324,57.23444791666666
2013-09-19,175.836,76.02198958333334
2013-09-20,127.829,79.8586875
2013-09-21,97.29,82.39212500000001
2013-09-22,79.9631,84.27022916666667
2013-09-23,172.285,115.2896875
2013-09-24,353.894,130.84260416666666
2013-09-25,239.975,124.83645833333333
2013-09-26,180.131,136.16093750000002
2013-09-27,145.47,154.830625
2013-09-28,122.672,157.18802083333333
2013-09-29,105.726,144.685625
2013-09-30,103.609,130.74135416666667
2013-10-01,94.0556,117.07760416666667
2013-10-02,91.2638,110.49427083333336
2013-10-03,91.3981,125.6302380952381
2013-10-04,106.653,
2013-10-05,191.449,
2013-10-06,150.218,
2013-10-07,117.628,
2013-10-08,97.0291,
2013-10-09,85.0801,
2013-10-10,73.7593,105.7875
2013-10-11,63.9148,103.2765625
2013-10-12,55.7224,97.403125
2013-10-13,48.9536,86.21165624999999
2013-10-14,43.457,72.92067708333333
2013-10-15,38.9557,63.30825
2013-10-16,43.9445,56.62736458333333
2013-10-17,40.9032,54.3003125
2013-10-18,62.0967,55.557520833333335
2013-10-19,54.2248,60.24928125
2013-10-20,45.6947,59.80403571428571
2013-10-21,39.378,
2013-10-22,34.4168,
2013-10-23,83.8518,
2013-10-24,69.8543,
2013-10-25,56.1501,
2013-10-26,72.9416,
2013-10-27,63.0211,
2013-10-28,52.7872,
2013-10-29,51.3237,
2013-10-30,45.3138,
2013-10-31,38.3883,
2013-11-01,32.641,36.505375
