,ls_dis,horleitura
2013-01-03,185.197,105.6921875
2013-01-04,150.816,109.14375
2013-01-05,108.557,108.47395833333331
2013-01-06,79.8573,106.15729166666668
2013-01-07,61.1622,102.8484375
2013-01-08,57.8985,97.2229411764706
2013-01-09,48.6794,90.9134375
2013-01-10,60.6826,80.66425531914894
2013-01-11,64.751,64.74907291666666
2013-01-12,55.7053,51.39202083333333
2013-01-13,48.39,42.98616666666666
2013-01-14,42.3471,38.31601041666666
2013-01-15,38.1096,36.60427083333334
2013-01-16,55.889,41.80439583333334
2013-01-17,56.0859,47.376875000000005
2013-01-18,59.874,41.85836458333333
2013-01-19,53.5781,45.61782291666666
2013-01-20,70.2259,46.50346875
2013-01-21,62.6387,48.5654375
2013-01-22,58.5114,49.509687500000005
2013-01-23,61.4336,41.2730625
2013-01-24,56.6656,34.4353125
2013-01-25,50.0854,30.6309375
2013-01-26,44.0813,29.02959375
2013-01-27,39.7997,28.67434375
2013-01-28,35.6795,27.248218750000003
2013-01-29,31.5485,24.18828125
2013-01-30,27.8701,22.4625
2013-01-31,24.6074,21.65234375
2013-02-01,22.6739,20.5625
2013-02-02,21.2429,19.87421875
2013-02-03,20.1138,19.278125
2013-02-04,91.3249,24.37648958333333
2013-02-05,126.296,58.07114583333333
2013-02-06,104.773,69.9951875
2013-02-07,93.3885,71.22125
2013-02-08,83.9624,73.55978125
2013-02-09,127.417,89.70284375
2013-02-10,135.478,94.97708333333333
2013-02-11,128.401,100.09427083333333
2013-02-12,134.948,105.21302083333336
2013-02-13,134.431,106.24166666666667
2013-02-14,129.799,105.15364583333331
2013-02-15,115.678,102.7171875
2013-02-16,114.017,100.70885416666664
2013-02-17,102.42,97.00625
2013-02-18,107.742,95.175
2013-02-19,119.273,99.31354166666668
2013-02-20,175.553,100.1078125
2013-02-21,171.121,99.03854166666667
2013-02-22,161.015,101.840625
2013-02-23,139.771,105.30677083333336
2013-02-24,122.072,107.68229166666669
2013-02-25,106.563,108.5421875
2013-02-26,93.1108,107.5921875
2013-02-27,83.9616,111.47916666666669
2013-02-28,144.825,107.503125
2013-03-01,120.643,101.44791666666669
2013-03-02,106.574,99.02447916666668
2013-03-03,94.9033,96.125
2013-03-04,83.2342,88.7389375
2013-03-05,72.873,73.64105208333334
2013-03-06,63.8166,63.4496875
2013-03-07,94.8902,62.5689375
2013-03-08,103.899,76.79571875
2013-03-09,100.017,81.11914583333333
2013-03-10,88.816,83.23420833333334
2013-03-11,93.7761,98.7125
2013-03-12,85.0118,95.7
2013-03-13,84.3592,87.64709375
2013-03-14,78.3917,142.678
2013-03-15,194.302,140.975
2013-03-16,154.739,123.1234375
2013-03-17,136.235,117.63229166666667
2013-03-18,146.458,117.80729166666669
2013-03-19,129.663,115.03385416666669
2013-03-20,113.239,112.434375
2013-03-21,103.236,111.64479166666666
2013-03-22,101.203,112.71197916666668
2013-03-23,90.5383,109.3828125
2013-03-24,80.7167,105.2078125
2013-03-25,72.1013,103.22447916666664
2013-03-26,102.284,104.09895833333331
2013-03-27,89.7351,99.59583333333336
2013-03-28,87.25,97.48541666666668
2013-03-29,78.8971,92.59425
2013-03-30,70.8193,85.31377083333334
2013-03-31,67.024,76.31922916666666
2013-04-01,60.5059,67.62228125
2013-04-02,54.1199,60.508156250000006
2013-04-03,48.5371,57.04059375
2013-04-04,53.6239,56.65228125
2013-04-05,50.3911,58.50414583333333
2013-04-06,67.3056,89.89631250000001
2013-04-07,99.3674,90.69642708333332
2013-04-08,83.5786,88.35893750000001
2013-04-09,73.6125,86.04859375000001
2013-04-10,65.3688,80.1744375
2013-04-11,57.783,71.03486458333333
2013-04-12,50.8217,61.64925
2013-04-13,44.674,60.32908333333333
2013-04-14,80.1238,77.14102083333333
2013-04-15,79.5209,83.85294791666666
2013-04-16,69.0546,85.72340625
2013-04-17,61.2875,81.82241666666667
2013-04-18,54.3353,73.98255208333333
2013-04-19,47.9529,64.06954166666667
2013-04-20,42.1956,54.995020833333335
2013-04-21,37.2752,48.8971875
2013-04-22,33.0886,44.087854166666666
2013-04-23,29.8047,40.21817708333334
2013-04-24,27.7594,37.5721875
2013-04-25,26.4341,36.57902083333333
2013-04-26,25.4195,35.3628125
2013-04-27,24.5332,34.61051041666666
2013-04-28,23.8,34.43809375
2013-04-29,23.2168,33.39953125
2013-04-30,22.7394,32.06009375
2013-05-01,22.3346,31.1493125
2013-05-02,21.9923,30.56025
2013-05-03,21.7254,30.05728125
2013-05-04,21.5048,29.78178125
2013-05-05,21.3644,29.5180625
2013-05-06,21.1693,29.04953125
2013-05-07,47.2691,29.8715
2013-05-08,44.0984,34.460427083333336
2013-05-09,39.966,36.49309375
2013-05-10,36.8185,33.30528125
2013-05-11,33.4592,31.2580625
2013-05-12,30.1714,29.36128125
2013-05-13,27.5219,27.5533125
2013-05-14,25.6995,26.4475
2013-05-15,24.3438,26.09925806451613
2013-05-16,23.307,26.83103125
2013-05-17,23.0279,28.93534375
2013-05-18,44.5341,39.787
2013-05-19,43.1647,46.00788541666666
2013-05-20,39.0586,40.16767708333334
2013-05-21,35.8274,34.583333333333336
2013-05-22,32.8734,31.834437500000003
2013-05-23,30.2486,31.1058125
2013-05-24,41.0208,34.8173125
2013-05-25,39.6383,44.20823958333333
2013-05-26,35.4733,39.3144375
2013-05-27,31.9066,34.688520833333335
2013-05-28,28.8724,31.9431875
2013-05-29,33.2048,35.51501041666666
2013-05-30,74.3735,56.43602083333334
2013-05-31,101.015,69.72584375
2013-06-01,88.8099,67.66371875
2013-06-02,79.6041,66.10640625
2013-06-03,70.7133,87.84166666666665
2013-06-04,137.097,89.25598958333335
2013-06-05,114.746,89.93608333333333
2013-06-06,99.923,87.91653124999999
2013-06-07,87.6646,83.17484375
2013-06-08,76.669,72.52407291666667
2013-06-09,66.9933,58.9945625
2013-06-10,58.7342,49.01203125
2013-06-11,51.7868,43.48822916666666
2013-06-12,45.8538,40.3118125
2013-06-13,48.0548,41.00388541666667
2013-06-14,43.8602,53.53577083333334
2013-06-15,39.3146,53.10265625
2013-06-16,35.5946,46.60435416666667
2013-06-17,34.7406,42.32833333333333
2013-06-18,82.9354,76.90082291666667
2013-06-19,79.0514,82.68832291666666
2013-06-20,70.5799,89.58679166666667
2013-06-21,77.2053,133.00583333333333
2013-06-22,214.255,393.5133333333333
2013-06-23,409.973,408.7675
2013-06-24,313.181,355.71197916666665
2013-06-25,256.899,421.4705208333333
2013-06-26,255.526,493.603125
2013-06-27,233.031,454.2136458333334
2013-06-28,209.116,397.58729166666666
2013-06-29,196.399,339.84989583333333
2013-06-30,177.774,294.854375
2013-07-01,193.05,271.726875
2013-07-02,233.325,246.74604166666663
2013-07-03,206.51,213.16916666666668
2013-07-04,177.903,192.57364583333333
2013-07-05,154.351,175.93395833333332
2013-07-06,134.914,158.6265625
2013-07-07,119.013,140.72125
2013-07-08,105.773,126.12447916666667
2013-07-09,94.6077,115.28802083333332
2013-07-10,85.3762,108.4265625
2013-07-11,76.7906,103.59375
2013-07-12,68.9303,98.95052083333331
2013-07-13,61.9507,91.6546875
2013-07-14,55.6549,83.50885416666667
2013-07-15,49.9653,76.1885625
2013-07-16,44.8951,70.23649999999999
2013-07-17,40.5929,65.55319791666666
2013-07-18,37.148,61.84794791666667
2013-07-19,34.0458,58.51890624999999
2013-07-20,31.3648,59.978145833333336
2013-07-21,66.914,73.48700000000001
2013-07-22,150.822,174.52729166666666
2013-07-23,260.538,194.3353125
2013-07-24,288.639,190.31322916666667
2013-07-25,238.384,219.8303125
2013-07-26,201.023,260.12416666666667
2013-07-27,171.114,272.8805208333333
2013-07-28,148.303,255.85260416666665
2013-07-29,130.013,225.1198958333333
2013-07-30,114.569,192.27427083333336
2013-07-31,101.646,160.52083333333334
2013-08-01,90.7838,133.55203703703705
2013-08-02,81.4103,117.71041666666667
2013-08-03,73.5139,107.7984375
2013-08-04,67.0052,102.51875
2013-08-05,61.4605,96.65364583333331
2013-08-06,57.5778,88.37347916666666
2013-08-07,53.1626,80.20366666666666
2013-08-08,48.5399,73.93296875
2013-08-09,44.2003,69.149375
2013-08-10,40.3891,65.28379166666666
2013-08-11,37.4886,62.06935416666667
2013-08-12,35.3952,58.81184375
2013-08-13,32.946,55.79352083333333
2013-08-14,30.7049,53.32578125
2013-08-15,30.5828,53.18796875
2013-08-16,43.2607,56.496822916666666
2013-08-17,40.2766,59.655458333333335
2013-08-18,36.7162,58.57567708333334
2013-08-19,34.9854,55.5475625
2013-08-20,35.0598,52.3425
2013-08-21,32.9166,50.46890625
2013-08-22,30.9804,48.880781250000005
2013-08-23,29.4017,47.31671875
2013-08-24,28.1545,45.42060416666666
2013-08-25,27.4191,43.56275
2013-08-26,26.4057,42.01408333333333
2013-08-27,25.546,42.80490625
2013-08-28,56.1292,49.89578125
2013-08-29,50.2884,57.73433333333333
2013-08-30,46.2543,57.18836458333333
2013-08-31,42.548,52.61375
2013-09-01,38.6421,47.66241666666667
2013-09-02,35.0364,43.43922916666667
2013-09-03,40.5193,41.807875
2013-09-04,39.8501,45.98184375
2013-09-05,40.163,46.34875
2013-09-06,36.9548,44.89794791666667
2013-09-07,33.4274,42.20766666666667
2013-09-08,30.9149,39.34705208333333
2013-09-09,29.1401,37.295489583333335
2013-09-10,27.8369,35.49069791666667
