,ls_dis,horleitura
2013-01-03,355.839,105.6921875
2013-01-04,155.741,109.14375
2013-01-05,84.4902,108.47395833333331
2013-01-06,55.4291,106.15729166666668
2013-01-07,41.4139,102.8484375
2013-01-08,45.3521,97.2229411764706
2013-01-09,39.8964,90.9134375
2013-01-10,59.606,80.66425531914894
2013-01-11,67.9432,64.74907291666666
2013-01-12,56.1946,51.39202083333333
2013-01-13,45.5045,42.98616666666666
2013-01-14,37.4931,38.31601041666666
2013-01-15,33.017,36.60427083333334
2013-01-16,58.5815,41.80439583333334
2013-01-17,59.5753,47.376875000000005
2013-01-18,64.0066,41.85836458333333
2013-01-19,54.453,45.61782291666666
2013-01-20,75.2816,46.50346875
2013-01-21,64.7362,48.5654375
2013-01-22,57.8033,49.509687500000005
2013-01-23,61.3873,41.2730625
2013-01-24,55.0134,34.4353125
2013-01-25,46.5314,30.6309375
2013-01-26,39.2989,29.02959375
2013-01-27,34.8755,28.67434375
2013-01-28,30.9774,27.248218750000003
2013-01-29,27.0194,24.18828125
2013-01-30,23.5364,22.4625
2013-01-31,20.5576,21.65234375
2013-02-01,19.1858,20.5625
2013-02-02,18.3752,19.87421875
2013-02-03,17.8481,19.278125
2013-02-04,114.769,24.37648958333333
2013-02-05,163.784,58.07114583333333
2013-02-06,121.19,69.9951875
2013-02-07,93.9236,71.22125
2013-02-08,78.0399,73.55978125
2013-02-09,137.671,89.70284375
2013-02-10,147.577,94.97708333333333
2013-02-11,131.505,100.09427083333333
2013-02-12,137.051,105.21302083333336
2013-02-13,135.367,106.24166666666667
2013-02-14,128.665,105.15364583333331
2013-02-15,110.758,102.7171875
2013-02-16,110.126,100.70885416666664
2013-02-17,97.0323,97.00625
2013-02-18,106.034,95.175
2013-02-19,122.932,99.31354166666668
2013-02-20,197.111,100.1078125
2013-02-21,184.459,99.03854166666667
2013-02-22,162.784,101.840625
2013-02-23,132.226,105.30677083333336
2013-02-24,111.254,107.68229166666669
2013-02-25,95.417,108.5421875
2013-02-26,82.627,107.5921875
2013-02-27,75.1403,111.47916666666669
2013-02-28,159.026,107.503125
2013-03-01,127.109,101.44791666666669
2013-03-02,103.712,99.02447916666668
2013-03-03,87.573,96.125
2013-03-04,74.4506,88.7389375
2013-03-05,64.0844,73.64105208333334
2013-03-06,55.5612,63.4496875
2013-03-07,99.7649,62.5689375
2013-03-08,114.274,76.79571875
2013-03-09,105.501,81.11914583333333
2013-03-10,87.0723,83.23420833333334
2013-03-11,92.4023,98.7125
2013-03-12,81.8565,95.7
2013-03-13,81.7694,87.64709375
2013-03-14,75.2238,142.678
2013-03-15,231.119,140.975
2013-03-16,170.168,123.1234375
2013-03-17,134.023,117.63229166666667
2013-03-18,145.569,117.80729166666669
2013-03-19,124.124,115.03385416666669
2013-03-20,104.19,112.434375
2013-03-21,94.5703,111.64479166666666
2013-03-22,95.9177,112.71197916666668
2013-03-23,84.8972,109.3828125
2013-03-24,73.9742,105.2078125
2013-03-25,64.8915,103.22447916666664
2013-03-26,109.16,104.09895833333331
2013-03-27,93.1223,99.59583333333336
2013-03-28,86.8193,97.48541666666668
2013-03-29,74.7436,92.59425
2013-03-30,64.6595,85.31377083333334
2013-03-31,61.4675,76.31922916666666
