,ls_dis,horleitura
2013-01-03,355.838,105.6921875
2013-01-04,155.733,109.14375
2013-01-05,84.4729,108.47395833333331
2013-01-06,55.4043,106.15729166666668
2013-01-07,41.3878,102.8484375
2013-01-08,45.3104,97.2229411764706
2013-01-09,39.8523,90.9134375
2013-01-10,59.5378,80.66425531914894
2013-01-11,67.8547,64.74907291666666
2013-01-12,56.1056,51.39202083333333
2013-01-13,45.4188,42.98616666666666
2013-01-14,37.4144,38.31601041666666
2013-01-15,32.9313,36.60427083333334
2013-01-16,58.4654,41.80439583333334
2013-01-17,59.447,47.376875000000005
2013-01-18,63.8643,41.85836458333333
2013-01-19,54.3124,45.61782291666666
2013-01-20,75.1175,46.50346875
2013-01-21,64.5728,48.5654375
2013-01-22,57.6385,49.509687500000005
2013-01-23,61.2133,41.2730625
2013-01-24,54.8401,34.4353125
2013-01-25,46.3715,30.6309375
2013-01-26,39.1591,29.02959375
2013-01-27,34.7359,28.67434375
2013-01-28,30.8422,27.248218750000003
2013-01-29,26.8883,24.18828125
2013-01-30,23.4165,22.4625
2013-01-31,20.4503,21.65234375
2013-02-01,19.0884,20.5625
2013-02-02,18.2865,19.87421875
2013-02-03,17.7661,19.278125
2013-02-04,114.62,24.37648958333333
2013-02-05,163.606,58.07114583333333
2013-02-06,121.026,69.9951875
2013-02-07,93.7824,71.22125
2013-02-08,77.8983,73.55978125
2013-02-09,137.494,89.70284375
2013-02-10,147.388,94.97708333333333
2013-02-11,131.317,100.09427083333333
2013-02-12,136.855,105.21302083333336
2013-02-13,135.168,106.24166666666667
2013-02-14,128.466,105.15364583333331
2013-02-15,110.565,102.7171875
2013-02-16,109.931,100.70885416666664
2013-02-17,96.8426,97.00625
2013-02-18,105.837,95.175
2013-02-19,122.724,99.31354166666668
2013-02-20,196.87,100.1078125
2013-02-21,184.224,99.03854166666667
2013-02-22,162.559,101.840625
2013-02-23,132.032,105.30677083333336
2013-02-24,111.07,107.68229166666669
2013-02-25,95.2515,108.5421875
2013-02-26,82.4779,107.5921875
2013-02-27,74.9904,111.47916666666669
2013-02-28,158.831,107.503125
2013-03-01,126.922,101.44791666666669
2013-03-02,103.533,99.02447916666668
2013-03-03,87.4171,96.125
2013-03-04,74.3185,88.7389375
2013-03-05,63.9737,73.64105208333334
2013-03-06,55.4663,63.4496875
2013-03-07,99.6429,62.5689375
2013-03-08,114.134,76.79571875
2013-03-09,105.354,81.11914583333333
2013-03-10,86.9237,83.23420833333334
2013-03-11,92.2418,98.7125
2013-03-12,81.6941,95.7
2013-03-13,81.6005,87.64709375
2013-03-14,75.0535,142.678
2013-03-15,230.872,140.975
2013-03-16,169.944,123.1234375
2013-03-17,133.815,117.63229166666667
2013-03-18,145.355,117.80729166666669
2013-03-19,123.921,115.03385416666669
2013-03-20,103.997,112.434375
2013-03-21,94.3813,111.64479166666666
2013-03-22,95.726,112.71197916666668
2013-03-23,84.7176,109.3828125
2013-03-24,73.8077,105.2078125
2013-03-25,64.73,103.22447916666664
2013-03-26,108.965,104.09895833333331
2013-03-27,92.9421,99.59583333333336
2013-03-28,86.6407,97.48541666666668
2013-03-29,74.5708,92.59425
2013-03-30,64.4898,85.31377083333334
2013-03-31,61.2952,76.31922916666666
2013-04-01,55.051,67.62228125
2013-04-02,48.6246,60.508156250000006
2013-04-03,42.9983,57.04059375
2013-04-04,51.0536,56.65228125
2013-04-05,49.0199,58.50414583333333
2013-04-06,72.4822,89.89631250000001
2013-04-07,115.787,90.69642708333332
2013-04-08,91.2181,88.35893750000001
2013-04-09,72.3324,86.04859375000001
2013-04-10,59.5731,80.1744375
2013-04-11,50.5691,71.03486458333333
2013-04-12,43.5702,61.64925
2013-04-13,37.8927,60.32908333333333
2013-04-14,87.1908,77.14102083333333
2013-04-15,88.6934,83.85294791666666
2013-04-16,71.5634,85.72340625
2013-04-17,58.3421,81.82241666666667
2013-04-18,48.7354,73.98255208333333
2013-04-19,41.5421,64.06954166666667
2013-04-20,35.8516,54.995020833333335
2013-04-21,31.3958,48.8971875
2013-04-22,27.7725,44.087854166666666
2013-04-23,25.2167,40.21817708333334
2013-04-24,24.0265,37.5721875
2013-04-25,23.6417,36.57902083333333
2013-04-26,23.3966,35.3628125
2013-04-27,23.0415,34.61051041666666
2013-04-28,22.6636,34.43809375
2013-04-29,22.3214,33.39953125
2013-04-30,22.0133,32.06009375
2013-05-01,21.7297,31.1493125
2013-05-02,21.4767,30.56025
2013-05-03,21.2781,30.05728125
2013-05-04,21.1086,29.78178125
2013-05-05,21.0138,29.5180625
2013-05-06,20.8536,29.04953125
2013-05-07,56.0373,29.8715
2013-05-08,53.6398,34.460427083333336
2013-05-09,45.0139,36.49309375
2013-05-10,37.3949,33.30528125
2013-05-11,31.2222,31.2580625
2013-05-12,26.5638,29.36128125
2013-05-13,23.5858,27.5533125
2013-05-14,22.1037,26.4475
2013-05-15,21.3455,26.09925806451613
2013-05-16,20.9346,26.83103125
2013-05-17,21.3194,28.93534375
2013-05-18,51.8694,39.787
2013-05-19,51.6897,46.00788541666666
2013-05-20,43.4082,40.16767708333334
2013-05-21,36.0044,34.583333333333336
2013-05-22,30.4785,31.834437500000003
2013-05-23,26.6423,31.1058125
2013-05-24,41.7307,34.8173125
2013-05-25,41.5971,44.20823958333333
2013-05-26,35.8121,39.3144375
2013-05-27,30.2862,34.688520833333335
2013-05-28,25.9474,31.9431875
2013-05-29,32.241,35.51501041666666
2013-05-30,91.9451,56.43602083333334
2013-05-31,129.559,69.72584375
2013-06-01,100.717,67.66371875
2013-06-02,78.5281,66.10640625
2013-06-03,64.0081,87.84166666666665
2013-06-04,156.495,89.25598958333335
2013-06-05,122.936,89.93608333333333
2013-06-06,96.216,87.91653124999999
2013-06-07,78.8196,83.17484375
2013-06-08,66.7501,72.52407291666667
2013-06-09,57.5812,58.9945625
2013-06-10,50.2456,49.01203125
2013-06-11,44.2282,43.48822916666666
2013-06-12,39.0959,40.3118125
2013-06-13,44.2221,41.00388541666667
2013-06-14,41.0178,53.53577083333334
2013-06-15,36.1158,53.10265625
2013-06-16,31.8661,46.60435416666667
2013-06-17,31.5874,42.32833333333333
2013-06-18,97.8404,76.90082291666667
2013-06-19,94.5717,82.68832291666666
2013-06-20,76.3869,89.58679166666667
2013-06-21,80.7785,133.00583333333333
2013-06-22,271.139,393.5133333333333
2013-06-23,508.394,408.7675
2013-06-24,321.843,355.71197916666665
2013-06-25,233.417,421.4705208333333
2013-06-26,239.971,493.603125
2013-06-27,221.924,454.2136458333334
2013-06-28,197.681,397.58729166666666
2013-06-29,187.103,339.84989583333333
2013-06-30,167.717,294.854375
2013-07-01,193.396,271.726875
2013-07-02,248.662,246.74604166666663
2013-07-03,206.405,213.16916666666668
2013-07-04,166.144,192.57364583333333
2013-07-05,139.345,175.93395833333332
2013-07-06,120.552,158.6265625
2013-07-07,106.306,140.72125
2013-07-08,94.6466,126.12447916666667
2013-07-09,84.8,115.28802083333332
2013-07-10,76.6922,108.4265625
2013-07-11,68.926,103.59375
2013-07-12,61.6758,98.95052083333331
2013-07-13,55.1972,91.6546875
2013-07-14,49.2939,83.50885416666667
2013-07-15,43.9477,76.1885625
2013-07-16,39.2356,70.23649999999999
2013-07-17,35.3823,65.55319791666666
2013-07-18,32.4121,61.84794791666667
2013-07-19,29.6979,58.51890624999999
2013-07-20,27.3735,59.978145833333336
2013-07-21,78.1838,73.48700000000001
2013-07-22,191.596,174.52729166666666
2013-07-23,334.523,194.3353125
2013-07-24,332.349,190.31322916666667
2013-07-25,234.641,219.8303125
2013-07-26,181.497,260.12416666666667
2013-07-27,150.644,272.8805208333333
2013-07-28,131.211,255.85260416666665
2013-07-29,116.003,225.1198958333333
2013-07-30,102.693,192.27427083333336
2013-07-31,91.3711,160.52083333333334
2013-08-01,81.7465,133.55203703703705
2013-08-02,73.3453,117.71041666666667
2013-08-03,66.4355,107.7984375
2013-08-04,60.7979,102.51875
2013-08-05,55.9027,96.65364583333331
2013-08-06,52.5693,88.37347916666666
2013-08-07,48.3796,80.20366666666666
2013-08-08,43.7599,73.93296875
2013-08-09,39.4543,69.149375
2013-08-10,35.8092,65.28379166666666
2013-08-11,33.2047,62.06935416666667
2013-08-12,31.5438,58.81184375
2013-08-13,29.4208,55.79352083333333
2013-08-14,27.4869,53.32578125
2013-08-15,28.2302,53.18796875
2013-08-16,47.3586,56.496822916666666
2013-08-17,44.4098,59.655458333333335
2013-08-18,37.9576,58.57567708333334
2013-08-19,34.1352,55.5475625
2013-08-20,33.8614,52.3425
2013-08-21,31.2103,50.46890625
2013-08-22,28.7409,48.880781250000005
2013-08-23,26.966,47.31671875
2013-08-24,25.8589,45.42060416666666
2013-08-25,25.4607,43.56275
2013-08-26,24.7498,42.01408333333333
2013-08-27,24.1781,42.80490625
2013-08-28,67.281,49.89578125
2013-08-29,60.2582,57.73433333333333
2013-08-30,50.3659,57.18836458333333
2013-08-31,42.0009,52.61375
2013-09-01,35.5209,47.66241666666667
2013-09-02,30.8534,43.43922916666667
2013-09-03,38.5428,41.807875
2013-09-04,39.0844,45.98184375
2013-09-05,40.0704,46.34875
2013-09-06,36.0597,44.89794791666667
2013-09-07,31.3663,42.20766666666667
2013-09-08,28.2758,39.34705208333333
2013-09-09,26.4603,37.295489583333335
2013-09-10,25.4379,35.49069791666667
2013-09-11,25.348,34.1345
2013-09-12,25.2981,33.270843750000004
2013-09-13,25.0544,32.260375
2013-09-14,24.5512,31.1891875
2013-09-15,24.8023,30.021937500000003
2013-09-16,25.1472,28.5356875
2013-09-17,25.4539,31.206510416666664
2013-09-18,175.339,57.23444791666666
2013-09-19,184.337,76.02198958333334
2013-09-20,135.281,79.8586875
2013-09-21,104.35,82.39212500000001
2013-09-22,86.8578,84.27022916666667
2013-09-23,179.631,115.2896875
2013-09-24,361.182,130.84260416666666
2013-09-25,246.643,124.83645833333333
2013-09-26,186.607,136.16093750000002
2013-09-27,151.919,154.830625
2013-09-28,129.126,157.18802083333333
2013-09-29,112.184,144.685625
2013-09-30,110.095,130.74135416666667
2013-10-01,100.525,117.07760416666667
2013-10-02,97.7391,110.49427083333336
2013-10-03,97.8798,125.6302380952381
2013-10-04,113.209,
2013-10-05,198.254,
2013-10-06,156.693,
2013-10-07,123.978,
2013-10-08,103.376,
2013-10-09,91.4736,
2013-10-10,80.1977,105.7875
2013-10-11,70.3866,103.2765625
2013-10-12,62.2223,97.403125
2013-10-13,55.4817,86.21165624999999
2013-10-14,50.013,72.92067708333333
2013-10-15,45.5397,63.30825
2013-10-16,50.6604,56.62736458333333
2013-10-17,47.652,54.3003125
2013-10-18,69.1624,55.557520833333335
2013-10-19,61.1545,60.24928125
2013-10-20,52.4759,59.80403571428571
2013-10-21,46.1092,
2013-10-22,41.2057,
2013-10-23,91.4403,
2013-10-24,77.2,
2013-10-25,63.2498,
2013-10-26,80.2038,
2013-10-27,70.2081,
2013-10-28,59.8821,
2013-10-29,58.4552,
2013-10-30,52.453,
2013-10-31,45.5177,
2013-11-01,39.7814,36.505375
2013-11-02,36.8038,35.437270833333336
2013-11-03,34.1693,33.9913125
2013-11-04,31.8223,40.85698958333334
2013-11-05,57.9749,49.95882291666666
2013-11-06,58.4558,55.13999999999999
2013-11-07,51.4438,54.69644791666667
2013-11-08,47.5022,48.275979166666666
2013-11-09,44.0925,42.17820833333334
2013-11-10,39.2266,38.791552083333336
2013-11-11,35.0654,36.599010416666665
2013-11-12,32.4616,34.54326041666666
2013-11-13,35.8456,34.84644791666667
2013-11-14,35.7737,38.19396875
2013-11-15,33.3342,33.383630952380955
2013-11-16,30.8948,
2013-11-17,29.0358,
2013-11-18,101.441,
2013-11-19,89.7439,59.6715625
2013-11-20,71.8076,61.51527083333334
2013-11-21,61.3561,57.6918125
2013-11-22,63.5147,54.314416666666666
2013-11-23,61.3653,50.5925
2013-11-24,58.6743,43.86832291666667
2013-11-25,52.4707,39.84889583333334
2013-11-26,52.3735,36.49695833333333
2013-11-27,50.4988,34.576770833333335
2013-11-28,51.9174,33.94690625
2013-11-29,47.0297,33.66959375
2013-11-30,81.7242,43.62085416666667
2013-12-01,88.2654,62.9898125
2013-12-02,73.0633,67.6308125
2013-12-03,60.7113,65.15095833333334
2013-12-04,52.7237,58.123354166666665
2013-12-05,47.0548,49.8334375
2013-12-06,42.6117,42.80664583333333
2013-12-07,80.6929,41.25151041666667
2013-12-08,68.4358,43.48279166666666
2013-12-09,68.1758,43.0325
2013-12-10,58.8372,41.759479166666665
2013-12-11,54.6928,42.067739583333335
2013-12-12,49.3904,39.274458333333335
2013-12-13,49.812,33.889322916666664
2013-12-14,45.495,31.58521875
2013-12-15,40.3221,30.331875
2013-12-16,41.8686,33.48979166666667
2013-12-17,43.7682,37.765770833333335
2013-12-18,40.5917,36.52159375
2013-12-19,38.1721,33.595114583333334
2013-12-20,37.8284,28.69790625
2013-12-21,37.5106,26.22
2013-12-22,38.9856,25.553125
2013-12-23,45.1198,24.8078125
2013-12-24,55.3144,23.66640625
2013-12-25,52.3532,23.6484375
2013-12-26,47.7127,24.08984375
2013-12-27,44.093,23.85078125
2013-12-28,42.9806,23.22734375
2013-12-29,45.5361,23.9515625
2013-12-30,74.7047,31.28325
2013-12-31,70.0415,37.84555208333333
2014-01-01,65.7557,31.78821875
2014-01-02,62.5494,28.6190625
2014-01-03,136.49,29.19815625
2014-01-04,113.113,46.99281250000001
2014-01-05,125.25,58.038625
2014-01-06,118.222,60.30832291666667
2014-01-07,98.8967,55.18626041666667
2014-01-08,94.4702,62.83269791666667
2014-01-09,84.4677,56.68932291666667
2014-01-10,112.47,53.4428125
2014-01-11,99.2304,54.26983333333334
2014-01-12,86.5001,56.62965625
2014-01-13,85.8367,53.20854166666667
2014-01-14,201.746,57.1171875
2014-01-15,174.704,75.03648888888888
2014-01-16,143.373,87.14547916666668
2014-01-17,167.954,101.9390625
2014-01-18,198.994,103.88333333333333
2014-01-19,159.413,105.36354166666666
2014-01-20,132.609,105.94479166666667
2014-01-21,114.891,105.96822916666667
2014-01-22,101.08,103.92395833333336
2014-01-23,93.7354,100.4515625
2014-01-24,87.9804,93.55296875
2014-01-25,81.5036,83.30987499999999
2014-01-26,81.7371,69.99451041666667
2014-01-27,77.0762,57.46903125
2014-01-28,71.8601,48.24227083333333
2014-01-29,66.3737,40.645322916666665
2014-01-30,61.2152,41.301822916666666
2014-01-31,61.4251,36.31389583333333
2014-02-01,58.1802,36.33598958333334
2014-02-02,53.9297,32.690916666666666
2014-02-03,50.7787,29.70475
2014-02-04,48.5878,27.82065625
2014-02-05,48.6281,26.82921875
2014-02-06,59.5229,32.91486458333333
2014-02-07,56.5812,44.403333333333336
2014-02-08,52.381,48.88515625
2014-02-09,49.3337,44.33327083333333
2014-02-10,63.626,35.231802083333335
2014-02-11,58.8338,40.02248958333333
2014-02-12,52.1996,38.06584375
2014-02-13,47.5266,30.025562500000003
2014-02-14,44.6613,26.348
2014-02-15,62.0154,29.789375000000003
2014-02-16,115.949,36.07626041666666
2014-02-17,105.804,48.74016666666666
2014-02-18,107.165,52.244062500000005
2014-02-19,108.708,49.69453125
2014-02-20,110.485,47.3134375
2014-02-21,93.3484,46.0665625
2014-02-22,77.901,43.6378125
2014-02-23,66.7735,41.597458333333336
2014-02-24,69.4541,42.45961458333333
2014-02-25,73.788,43.639552083333335
2014-02-26,71.8306,43.57327083333333
2014-02-27,64.7483,42.01416666666667
2014-02-28,57.2794,42.44017708333333
2014-03-01,94.2975,53.989635416666665
2014-03-02,92.4324,65.01121875
2014-03-03,76.7219,63.99729166666666
2014-03-04,63.9223,57.1735
2014-03-05,54.6026,51.79759375
2014-03-06,79.6386,56.94041666666666
2014-03-07,88.0031,68.3715625
2014-03-08,75.4635,68.0038125
2014-03-09,70.4085,63.1548125
2014-03-10,73.7335,74.7615625
2014-03-11,109.108,71.29803125
2014-03-12,89.7829,70.57653125
2014-03-13,118.929,74.28841666666666
2014-03-14,126.256,113.32277083333334
2014-03-15,168.091,106.97395833333331
2014-03-16,131.348,105.74427083333336
2014-03-17,108.329,105.534375
2014-03-18,92.0565,105.72135416666669
2014-03-19,85.5119,104.32291666666669
2014-03-20,94.7377,103.30625
2014-03-21,90.8022,101.6734375
2014-03-22,94.916,94.84114583333331
2014-03-23,100.151,89.96605208333334
2014-03-24,85.6592,83.29332291666667
2014-03-25,72.9894,77.94434375
2014-03-26,62.9692,70.67907291666667
2014-03-27,54.8631,61.417625
2014-03-28,48.7369,52.97405208333333
2014-03-29,43.5232,46.45882291666666
2014-03-30,38.9686,41.690041666666666
2014-03-31,34.8082,38.58534375
2014-04-01,47.5443,39.5543125
2014-04-02,51.1147,44.800354166666665
2014-04-03,45.5064,42.71897916666666
2014-04-04,45.0057,38.3928125
2014-04-05,72.0061,37.833104166666665
2014-04-06,68.2082,42.00777083333333
2014-04-07,57.303,42.071947916666666
2014-04-08,48.5982,40.124541666666666
2014-04-09,42.0147,37.99407291666667
2014-04-10,36.9169,39.914125
2014-04-11,48.8178,43.137708333333336
2014-04-12,44.214,44.77969791666666
2014-04-13,38.2469,47.34067708333333
2014-04-14,82.3807,51.84878125
2014-04-15,69.6627,59.11159375
2014-04-16,56.7797,59.03779166666666
2014-04-17,78.916,59.68157291666666
2014-04-18,68.6271,60.97027083333333
2014-04-19,58.2069,59.013947916666666
2014-04-20,52.9546,52.55517708333333
2014-04-21,55.512,47.81328125
2014-04-22,49.113,42.69591666666667
2014-04-23,42.6835,38.997760416666665
2014-04-24,37.8085,37.84257291666667
2014-04-25,34.8082,36.71263541666666
2014-04-26,31.5859,34.365
2014-04-27,28.9565,32.39178125
2014-04-28,27.6552,30.27478125
2014-04-29,26.8589,28.18678125
2014-04-30,27.485,26.65884375
2014-05-01,27.0421,26.9950625
2014-05-02,26.5324,26.53378125
2014-05-03,26.0906,26.007
2014-05-04,25.7179,24.975
2014-05-05,25.3555,24.40390625
2014-05-06,25.0047,23.62421875
2014-05-07,24.6847,22.86953125
2014-05-08,24.3948,22.85625
2014-05-09,24.1229,22.3734375
2014-05-10,23.8673,21.84375
2014-05-11,23.634,21.20703125
2014-05-12,23.3986,20.8234375
2014-05-13,23.3016,20.27890625
2014-05-14,23.175,20.21015625
2014-05-15,22.9867,20.71640625
2014-05-16,27.3394,21.21015625
2014-05-17,27.2113,28.17478125
2014-05-18,27.0405,27.38315625
2014-05-19,25.5476,24.37421875
2014-05-20,24.412,22.06796875
2014-05-21,23.5551,20.63515625
2014-05-22,22.9159,19.83671875
2014-05-23,22.4304,20.60546875
2014-05-24,46.866,27.85620833333333
2014-05-25,98.1564,52.51940625
2014-05-26,82.4217,60.1981875
2014-05-27,87.2901,86.67992708333333
2014-05-28,113.672,87.322875
2014-05-29,91.2638,86.09522916666667
2014-05-30,74.2621,84.09116666666667
2014-05-31,62.6409,79.30202083333333
2014-06-01,54.2082,69.97771875
2014-06-02,59.7482,66.12329166666667
