,ls_dis,horleitura
2013-01-03,185.189,105.6921875
2013-01-04,149.466,109.14375
2013-01-05,105.81,108.47395833333331
2013-01-06,77.0145,106.15729166666668
2013-01-07,58.5798,102.8484375
2013-01-08,55.7254,97.2229411764706
2013-01-09,46.0652,90.9134375
2013-01-10,58.271,80.66425531914894
2013-01-11,61.0725,64.74907291666666
2013-01-12,51.1995,51.39202083333333
2013-01-13,44.0956,42.98616666666666
2013-01-14,38.5101,38.31601041666666
2013-01-15,34.8343,36.60427083333334
2013-01-16,52.7316,41.80439583333334
2013-01-17,51.6556,47.376875000000005
2013-01-18,54.9831,41.85836458333333
2013-01-19,48.1305,45.61782291666666
2013-01-20,64.807,46.50346875
2013-01-21,55.973,48.5654375
2013-01-22,52.009,49.509687500000005
2013-01-23,54.9925,41.2730625
2013-01-24,50.0222,34.4353125
2013-01-25,43.7918,30.6309375
2013-01-26,38.4881,29.02959375
2013-01-27,34.983,28.67434375
2013-01-28,31.3455,27.248218750000003
2013-01-29,27.8405,24.18828125
2013-01-30,24.7613,22.4625
2013-01-31,22.0921,21.65234375
2013-02-01,20.4666,20.5625
2013-02-02,19.238,19.87421875
2013-02-03,18.2586,19.278125
2013-02-04,89.0887,24.37648958333333
2013-02-05,118.785,58.07114583333333
2013-02-06,93.1999,69.9951875
2013-02-07,81.4199,71.22125
2013-02-08,72.4337,73.55978125
2013-02-09,115.673,89.70284375
2013-02-10,120.602,94.97708333333333
2013-02-11,112.173,100.09427083333333
2013-02-12,118.262,105.21302083333336
2013-02-13,116.91,106.24166666666667
2013-02-14,111.93,105.15364583333331
2013-02-15,98.0377,102.7171875
2013-02-16,97.2236,100.70885416666664
2013-02-17,86.0834,97.00625
2013-02-18,92.2566,95.175
2013-02-19,103.458,99.31354166666668
2013-02-20,158.138,100.1078125
2013-02-21,149.983,99.03854166666667
2013-02-22,138.946,101.840625
2013-02-23,117.998,105.30677083333336
2013-02-24,101.904,107.68229166666669
2013-02-25,88.0422,108.5421875
2013-02-26,76.4649,107.5921875
2013-02-27,69.0767,111.47916666666669
2013-02-28,129.993,107.503125
2013-03-01,102.615,101.44791666666669
2013-03-02,89.4936,99.02447916666668
2013-03-03,79.0547,96.125
2013-03-04,68.916,88.7389375
2013-03-05,60.1455,73.64105208333334
2013-03-06,52.6098,63.4496875
2013-03-07,84.3798,62.5689375
2013-03-08,91.3006,76.79571875
2013-03-09,86.4728,81.11914583333333
2013-03-10,75.3242,83.23420833333334
2013-03-11,80.8709,98.7125
2013-03-12,71.972,95.7
2013-03-13,71.9152,87.64709375
2013-03-14,66.1774,142.678
2013-03-15,180.88,140.975
2013-03-16,134.479,123.1234375
2013-03-17,116.103,117.63229166666667
2013-03-18,126.706,117.80729166666669
2013-03-19,109.42,115.03385416666669
2013-03-20,94.1709,112.434375
2013-03-21,85.6282,111.64479166666666
2013-03-22,84.6206,112.71197916666668
2013-03-23,74.6712,109.3828125
2013-03-24,66.2293,105.2078125
2013-03-25,59.0122,103.22447916666664
2013-03-26,89.6784,104.09895833333331
2013-03-27,75.6104,99.59583333333336
2013-03-28,73.8781,97.48541666666668
2013-03-29,65.9954,92.59425
2013-03-30,58.91,85.31377083333334
