,ls_dis,horleitura
2013-01-03,185.191,105.6921875
2013-01-04,150.649,109.14375
2013-01-05,108.281,108.47395833333331
2013-01-06,79.5033,106.15729166666668
2013-01-07,60.7557,102.8484375
2013-01-08,57.4465,97.2229411764706
2013-01-09,48.2109,90.9134375
2013-01-10,60.1785,80.66425531914894
2013-01-11,64.2341,64.74907291666666
2013-01-12,55.1998,51.39202083333333
2013-01-13,47.9046,42.98616666666666
2013-01-14,41.887,38.31601041666666
2013-01-15,37.6742,36.60427083333334
2013-01-16,55.4508,41.80439583333334
2013-01-17,55.6649,47.376875000000005
2013-01-18,59.4686,41.85836458333333
2013-01-19,53.2015,45.61782291666666
2013-01-20,69.8613,46.50346875
2013-01-21,62.3034,48.5654375
2013-01-22,58.2031,49.509687500000005
2013-01-23,61.1467,41.2730625
2013-01-24,56.4026,34.4353125
2013-01-25,49.8449,30.6309375
2013-01-26,43.8612,29.02959375
2013-01-27,39.597,28.67434375
2013-01-28,35.4925,27.248218750000003
2013-01-29,31.3755,24.18828125
2013-01-30,27.7113,22.4625
2013-01-31,24.4906,21.65234375
2013-02-01,22.5982,20.5625
2013-02-02,21.1808,19.87421875
2013-02-03,20.0621,19.278125
2013-02-04,91.266,24.37648958333333
2013-02-05,126.237,58.07114583333333
2013-02-06,104.724,69.9951875
2013-02-07,93.3472,71.22125
2013-02-08,83.9259,73.55978125
2013-02-09,127.379,89.70284375
2013-02-10,135.44,94.97708333333333
2013-02-11,128.364,100.09427083333333
2013-02-12,134.911,105.21302083333336
2013-02-13,134.396,106.24166666666667
2013-02-14,129.764,105.15364583333331
2013-02-15,115.645,102.7171875
2013-02-16,113.985,100.70885416666664
2013-02-17,102.39,97.00625
2013-02-18,107.712,95.175
2013-02-19,119.242,99.31354166666668
2013-02-20,175.52,100.1078125
2013-02-21,171.089,99.03854166666667
2013-02-22,160.986,101.840625
2013-02-23,139.744,105.30677083333336
2013-02-24,122.048,107.68229166666669
2013-02-25,106.541,108.5421875
2013-02-26,93.0893,107.5921875
2013-02-27,83.9411,111.47916666666669
2013-02-28,144.802,107.503125
2013-03-01,120.622,101.44791666666669
2013-03-02,106.554,99.02447916666668
2013-03-03,94.8849,96.125
2013-03-04,83.2171,88.7389375
2013-03-05,72.857,73.64105208333334
2013-03-06,63.8014,63.4496875
2013-03-07,94.8739,62.5689375
2013-03-08,103.883,76.79571875
2013-03-09,100.002,81.11914583333333
2013-03-10,88.8017,83.23420833333334
2013-03-11,93.7625,98.7125
2013-03-12,84.9992,95.7
2013-03-13,84.3473,87.64709375
2013-03-14,78.3805,142.678
2013-03-15,194.288,140.975
2013-03-16,154.726,123.1234375
2013-03-17,136.224,117.63229166666667
2013-03-18,146.447,117.80729166666669
2013-03-19,129.654,115.03385416666669
2013-03-20,113.231,112.434375
2013-03-21,103.229,111.64479166666666
2013-03-22,101.197,112.71197916666668
2013-03-23,90.5322,109.3828125
2013-03-24,80.7111,105.2078125
2013-03-25,72.0961,103.22447916666664
2013-03-26,102.278,104.09895833333331
2013-03-27,89.7298,99.59583333333336
2013-03-28,87.245,97.48541666666668
2013-03-29,78.8926,92.59425
2013-03-30,70.8152,85.31377083333334
2013-03-31,67.0202,76.31922916666666
2013-04-01,60.5025,67.62228125
2013-04-02,54.1168,60.508156250000006
2013-04-03,48.5342,57.04059375
2013-04-04,53.621,56.65228125
2013-04-05,50.3884,58.50414583333333
2013-04-06,67.3027,89.89631250000001
2013-04-07,99.3642,90.69642708333332
2013-04-08,83.5759,88.35893750000001
2013-04-09,73.6103,86.04859375000001
2013-04-10,65.367,80.1744375
2013-04-11,57.7816,71.03486458333333
2013-04-12,50.8205,61.64925
2013-04-13,44.673,60.32908333333333
2013-04-14,80.1224,77.14102083333333
2013-04-15,79.5196,83.85294791666666
2013-04-16,69.0534,85.72340625
2013-04-17,61.2867,81.82241666666667
2013-04-18,54.3347,73.98255208333333
2013-04-19,47.9525,64.06954166666667
2013-04-20,42.1954,54.995020833333335
2013-04-21,37.2748,48.8971875
2013-04-22,33.0877,44.087854166666666
2013-04-23,29.8014,40.21817708333334
2013-04-24,27.7553,37.5721875
2013-04-25,26.4297,36.57902083333333
2013-04-26,25.4148,35.3628125
2013-04-27,24.5282,34.61051041666666
2013-04-28,23.795,34.43809375
2013-04-29,23.2117,33.39953125
2013-04-30,22.7343,32.06009375
2013-05-01,22.3296,31.1493125
2013-05-02,21.9874,30.56025
2013-05-03,21.7206,30.05728125
2013-05-04,21.5001,29.78178125
2013-05-05,21.3598,29.5180625
2013-05-06,21.1648,29.04953125
2013-05-07,47.2642,29.8715
2013-05-08,44.0939,34.460427083333336
2013-05-09,39.9622,36.49309375
2013-05-10,36.8156,33.30528125
2013-05-11,33.4572,31.2580625
2013-05-12,30.1694,29.36128125
2013-05-13,27.5192,27.5533125
2013-05-14,25.6968,26.4475
2013-05-15,24.3411,26.09925806451613
2013-05-16,23.3042,26.83103125
2013-05-17,23.025,28.93534375
2013-05-18,44.5309,39.787
2013-05-19,43.1618,46.00788541666666
2013-05-20,39.0562,40.16767708333334
2013-05-21,35.8258,34.583333333333336
2013-05-22,32.8725,31.834437500000003
2013-05-23,30.2479,31.1058125
2013-05-24,41.0192,34.8173125
2013-05-25,39.637,44.20823958333333
2013-05-26,35.4723,39.3144375
2013-05-27,31.9061,34.688520833333335
2013-05-28,28.8718,31.9431875
2013-05-29,33.2033,35.51501041666666
2013-05-30,74.372,56.43602083333334
2013-05-31,101.013,69.72584375
2013-06-01,88.809,67.66371875
2013-06-02,79.604,66.10640625
2013-06-03,70.7141,87.84166666666665
2013-06-04,137.098,89.25598958333335
2013-06-05,114.748,89.93608333333333
2013-06-06,99.9252,87.91653124999999
2013-06-07,87.6672,83.17484375
2013-06-08,76.6721,72.52407291666667
2013-06-09,66.9967,58.9945625
2013-06-10,58.7379,49.01203125
2013-06-11,51.7906,43.48822916666666
2013-06-12,45.8578,40.3118125
2013-06-13,48.0589,41.00388541666667
2013-06-14,43.8644,53.53577083333334
2013-06-15,39.3186,53.10265625
2013-06-16,35.5979,46.60435416666667
2013-06-17,34.7437,42.32833333333333
2013-06-18,82.9386,76.90082291666667
2013-06-19,79.0546,82.68832291666666
2013-06-20,70.5834,89.58679166666667
2013-06-21,77.209,133.00583333333333
2013-06-22,214.259,393.5133333333333
2013-06-23,409.975,408.7675
2013-06-24,313.182,355.71197916666665
2013-06-25,256.901,421.4705208333333
2013-06-26,255.529,493.603125
2013-06-27,233.035,454.2136458333334
2013-06-28,209.121,397.58729166666666
2013-06-29,196.404,339.84989583333333
2013-06-30,177.779,294.854375
2013-07-01,193.055,271.726875
2013-07-02,233.332,246.74604166666663
2013-07-03,206.516,213.16916666666668
2013-07-04,177.909,192.57364583333333
2013-07-05,154.356,175.93395833333332
2013-07-06,134.92,158.6265625
2013-07-07,119.018,140.72125
2013-07-08,105.778,126.12447916666667
2013-07-09,94.6133,115.28802083333332
2013-07-10,85.3818,108.4265625
2013-07-11,76.7962,103.59375
2013-07-12,68.9359,98.95052083333331
2013-07-13,61.9563,91.6546875
2013-07-14,55.6605,83.50885416666667
2013-07-15,49.9708,76.1885625
2013-07-16,44.9006,70.23649999999999
2013-07-17,40.5977,65.55319791666666
2013-07-18,37.1524,61.84794791666667
2013-07-19,34.0497,58.51890624999999
2013-07-20,31.3678,59.978145833333336
2013-07-21,66.9169,73.48700000000001
2013-07-22,150.825,174.52729166666666
2013-07-23,260.541,194.3353125
2013-07-24,288.642,190.31322916666667
2013-07-25,238.386,219.8303125
2013-07-26,201.025,260.12416666666667
2013-07-27,171.116,272.8805208333333
2013-07-28,148.306,255.85260416666665
2013-07-29,130.016,225.1198958333333
2013-07-30,114.573,192.27427083333336
2013-07-31,101.65,160.52083333333334
2013-08-01,90.7879,133.55203703703705
2013-08-02,81.4146,117.71041666666667
2013-08-03,73.5185,107.7984375
2013-08-04,67.01,102.51875
2013-08-05,61.4654,96.65364583333331
2013-08-06,57.5828,88.37347916666666
2013-08-07,53.1677,80.20366666666666
2013-08-08,48.5451,73.93296875
2013-08-09,44.2056,69.149375
2013-08-10,40.3936,65.28379166666666
2013-08-11,37.493,62.06935416666667
2013-08-12,35.3994,58.81184375
2013-08-13,32.9493,55.79352083333333
2013-08-14,30.7077,53.32578125
2013-08-15,30.5853,53.18796875
2013-08-16,43.2632,56.496822916666666
2013-08-17,40.2793,59.655458333333335
2013-08-18,36.719,58.57567708333334
2013-08-19,34.9881,55.5475625
2013-08-20,35.0622,52.3425
2013-08-21,32.9191,50.46890625
2013-08-22,30.9827,48.880781250000005
2013-08-23,29.4037,47.31671875
2013-08-24,28.1564,45.42060416666666
2013-08-25,27.4209,43.56275
2013-08-26,26.4075,42.01408333333333
2013-08-27,25.5475,42.80490625
2013-08-28,56.1307,49.89578125
2013-08-29,50.2902,57.73433333333333
2013-08-30,46.2564,57.18836458333333
2013-08-31,42.5504,52.61375
2013-09-01,38.6448,47.66241666666667
2013-09-02,35.039,43.43922916666667
2013-09-03,40.5215,41.807875
2013-09-04,39.8528,45.98184375
2013-09-05,40.1661,46.34875
2013-09-06,36.9582,44.89794791666667
2013-09-07,33.4309,42.20766666666667
2013-09-08,30.9177,39.34705208333333
2013-09-09,29.1428,37.295489583333335
2013-09-10,27.8392,35.49069791666667
2013-09-11,27.3087,34.1345
2013-09-12,26.8028,33.270843750000004
2013-09-13,26.1823,32.260375
2013-09-14,25.4163,31.1891875
2013-09-15,25.4314,30.021937500000003
2013-09-16,25.5983,28.5356875
2013-09-17,25.7567,31.206510416666664
2013-09-18,136.001,57.23444791666666
2013-09-19,143.387,76.02198958333334
2013-09-20,122.553,79.8586875
2013-09-21,108.201,82.39212500000001
2013-09-22,96.2168,84.27022916666667
2013-09-23,160.981,115.2896875
2013-09-24,299.932,130.84260416666666
2013-09-25,236.207,124.83645833333333
2013-09-26,200.316,136.16093750000002
2013-09-27,170.681,154.830625
2013-09-28,146.535,157.18802083333333
2013-09-29,127.043,144.685625
2013-09-30,120.266,130.74135416666667
2013-10-01,108.381,117.07760416666667
2013-10-02,103.094,110.49427083333336
2013-10-03,101.209,125.6302380952381
2013-10-04,111.45,
2013-10-05,173.287,
2013-10-06,149.179,
2013-10-07,130.251,
2013-10-08,114.555,
2013-10-09,102.479,
2013-10-10,90.2077,105.7875
2013-10-11,79.5072,103.2765625
2013-10-12,70.562,97.403125
2013-10-13,63.0858,86.21165624999999
2013-10-14,56.9203,72.92067708333333
2013-10-15,51.8003,63.30825
2013-10-16,54.6133,56.62736458333333
2013-10-17,50.7068,54.3003125
2013-10-18,65.8666,55.557520833333335
2013-10-19,58.8808,60.24928125
2013-10-20,53.3766,59.80403571428571
2013-10-21,49.3149,
2013-10-22,45.5133,
2013-10-23,83.3437,
2013-10-24,71.0281,
2013-10-25,62.6572,
2013-10-26,77.524,
2013-10-27,69.8571,
2013-10-28,62.5091,
2013-10-29,61.6405,
2013-10-30,56.3192,
2013-10-31,50.0713,
2013-11-01,44.7,36.505375
2013-11-02,41.5347,35.437270833333336
2013-11-03,38.3466,33.9913125
2013-11-04,35.3213,40.85698958333334
2013-11-05,53.8543,49.95882291666666
2013-11-06,52.9413,55.13999999999999
2013-11-07,48.8458,54.69644791666667
2013-11-08,47.2358,48.275979166666666
2013-11-09,45.2398,42.17820833333334
2013-11-10,41.606,38.791552083333336
2013-11-11,38.284,36.599010416666665
2013-11-12,35.9485,34.54326041666666
2013-11-13,38.2094,34.84644791666667
2013-11-14,37.4358,38.19396875
2013-11-15,34.774,33.383630952380955
2013-11-16,32.3216,
2013-11-17,30.4871,
2013-11-18,83.9049,
2013-11-19,74.6161,59.6715625
2013-11-20,66.3262,61.51527083333334
2013-11-21,62.3928,57.6918125
2013-11-22,65.5607,54.314416666666666
2013-11-23,63.6467,50.5925
2013-11-24,61.0281,43.86832291666667
2013-11-25,55.5581,39.84889583333334
2013-11-26,54.5574,36.49695833333333
2013-11-27,52.4014,34.576770833333335
2013-11-28,53.1779,33.94690625
2013-11-29,48.9818,33.66959375
2013-11-30,75.3075,43.62085416666667
2013-12-01,79.8335,62.9898125
2013-12-02,70.2138,67.6308125
2013-12-03,62.8104,65.15095833333334
2013-12-04,57.3586,58.123354166666665
2013-12-05,52.4302,49.8334375
2013-12-06,48.0038,42.80664583333333
2013-12-07,76.7871,41.25151041666667
2013-12-08,65.1278,43.48279166666666
