,ls_dis,horleitura
2013-01-03,185.486,105.6921875
2013-01-04,150.601,109.14375
2013-01-05,107.734,108.47395833333331
2013-01-06,78.8304,106.15729166666668
2013-01-07,60.0632,102.8484375
2013-01-08,56.8424,97.2229411764706
2013-01-09,47.3965,90.9134375
2013-01-10,59.7122,80.66425531914894
2013-01-11,63.4343,64.74907291666666
2013-01-12,54.0943,51.39202083333333
2013-01-13,46.8041,42.98616666666666
2013-01-14,40.854,38.31601041666666
2013-01-15,36.7344,36.60427083333334
2013-01-16,54.908,41.80439583333334
2013-01-17,54.6405,47.376875000000005
2013-01-18,58.2886,41.85836458333333
2013-01-19,51.7503,45.61782291666666
2013-01-20,68.8761,46.50346875
2013-01-21,60.777,48.5654375
2013-01-22,56.6167,49.509687500000005
2013-01-23,59.5022,41.2730625
2013-01-24,54.561,34.4353125
2013-01-25,48.0068,30.6309375
2013-01-26,42.1585,29.02959375
2013-01-27,38.064,28.67434375
2013-01-28,34.0285,27.248218750000003
2013-01-29,30.0604,24.18828125
2013-01-30,26.6779,22.4625
2013-01-31,24.0802,21.65234375
2013-02-01,22.4017,20.5625
2013-02-02,21.0786,19.87421875
2013-02-03,20.0267,19.278125
2013-02-04,94.9155,24.37648958333333
2013-02-05,130.144,58.07114583333333
2013-02-06,105.893,69.9951875
2013-02-07,93.3917,71.22125
2013-02-08,83.225,73.55978125
2013-02-09,128.829,89.70284375
2013-02-10,135.657,94.97708333333333
2013-02-11,127.163,100.09427083333333
2013-02-12,133.331,105.21302083333336
2013-02-13,131.961,106.24166666666667
2013-02-14,126.558,105.15364583333331
2013-02-15,111.728,102.7171875
2013-02-16,109.944,100.70885416666664
2013-02-17,98.0254,97.00625
2013-02-18,103.66,95.175
2013-02-19,115.448,99.31354166666668
2013-02-20,174.127,100.1078125
2013-02-21,168.723,99.03854166666667
2013-02-22,157.923,101.840625
2013-02-23,136.017,105.30677083333336
2013-02-24,118.153,107.68229166666669
2013-02-25,102.62,108.5421875
2013-02-26,89.3336,107.5921875
2013-02-27,80.4035,111.47916666666669
2013-02-28,144.08,107.503125
2013-03-01,118.193,101.44791666666669
2013-03-02,103.908,99.02447916666668
2013-03-03,92.1224,96.125
2013-03-04,80.5077,88.7389375
2013-03-05,70.3,73.64105208333334
2013-03-06,61.4445,63.4496875
2013-03-07,94.0981,62.5689375
2013-03-08,102.537,76.79571875
2013-03-09,97.9866,81.11914583333333
2013-03-10,86.3597,83.23420833333334
2013-03-11,91.4076,98.7125
2013-03-12,82.2156,95.7
2013-03-13,81.517,87.64709375
2013-03-14,75.3522,142.678
2013-03-15,196.918,140.975
2013-03-16,153.949,123.1234375
2013-03-17,134.534,117.63229166666667
2013-03-18,144.978,117.80729166666669
2013-03-19,127.124,115.03385416666669
2013-03-20,110.32,112.434375
2013-03-21,100.161,111.64479166666666
2013-03-22,98.031,112.71197916666668
2013-03-23,87.1814,109.3828125
2013-03-24,77.4841,105.2078125
2013-03-25,69.0602,103.22447916666664
2013-03-26,100.512,104.09895833333331
2013-03-27,87.2271,99.59583333333336
2013-03-28,84.7957,97.48541666666668
2013-03-29,76.3202,92.59425
2013-03-30,68.3185,85.31377083333334
2013-03-31,64.6062,76.31922916666666
2013-04-01,58.1087,67.62228125
2013-04-02,51.8706,60.508156250000006
2013-04-03,46.4831,57.04059375
2013-04-04,51.7896,56.65228125
2013-04-05,48.3812,58.50414583333333
2013-04-06,65.6805,89.89631250000001
2013-04-07,98.402,90.69642708333332
2013-04-08,81.6439,88.35893750000001
2013-04-09,71.6489,86.04859375000001
2013-04-10,63.4762,80.1744375
2013-04-11,56.0008,71.03486458333333
2013-04-12,49.1929,61.64925
2013-04-13,43.2142,60.32908333333333
2013-04-14,80.1693,77.14102083333333
