,ls_dis,horleitura
2013-01-03,1336.15,105.6921875
2013-01-04,2155.33,109.14375
2013-01-05,2521.21,108.47395833333331
2013-01-06,2656.16,106.15729166666668
2013-01-07,2698.81,102.8484375
2013-01-08,2723.48,97.2229411764706
2013-01-09,2724.07,90.9134375
2013-01-10,2748.44,80.66425531914894
2013-01-11,2757.34,64.74907291666666
2013-01-12,2743.69,51.39202083333333
2013-01-13,2731.87,42.98616666666666
2013-01-14,2723.65,38.31601041666666
2013-01-15,2719.64,36.60427083333334
2013-01-16,2749.44,41.80439583333334
2013-01-17,2748.88,47.376875000000005
2013-01-18,2752.94,41.85836458333333
2013-01-19,2742.05,45.61782291666666
2013-01-20,2764.97,46.50346875
2013-01-21,2753.02,48.5654375
2013-01-22,2745.33,49.509687500000005
2013-01-23,2749.78,41.2730625
2013-01-24,2742.81,34.4353125
2013-01-25,2733.73,30.6309375
2013-01-26,2726.26,29.02959375
2013-01-27,2722.04,28.67434375
2013-01-28,2718.37,27.248218750000003
2013-01-29,2714.39,24.18828125
2013-01-30,2710.91,22.4625
2013-01-31,2707.67,21.65234375
2013-02-01,2706.21,20.5625
2013-02-02,2705.66,19.87421875
2013-02-03,2705.35,19.278125
2013-02-04,2813.11,24.37648958333333
2013-02-05,2856.67,58.07114583333333
2013-02-06,2809.6,69.9951875
2013-02-07,2780.53,71.22125
2013-02-08,2764.43,73.55978125
2013-02-09,2827.6,89.70284375
2013-02-10,2836.36,94.97708333333333
2013-02-11,2819.2,100.09427083333333
2013-02-12,2825.01,105.21302083333336
2013-02-13,2823.48,106.24166666666667
2013-02-14,2816.74,105.15364583333331
2013-02-15,2798.54,102.7171875
2013-02-16,2798.29,100.70885416666664
2013-02-17,2784.97,97.00625
2013-02-18,2794.75,95.175
2013-02-19,2812.29,99.31354166666668
2013-02-20,2886.49,100.1078125
2013-02-21,2873.03,99.03854166666667
2013-02-22,2851.08,101.840625
2013-02-23,2820.24,105.30677083333336
2013-02-24,2799.0,107.68229166666669
2013-02-25,2783.15,108.5421875
2013-02-26,2770.35,107.5921875
2013-02-27,2763.04,111.47916666666669
2013-02-28,2850.44,107.503125
2013-03-01,2816.36,101.44791666666669
2013-03-02,2791.55,99.02447916666668
2013-03-03,2775.07,96.125
2013-03-04,2761.9,88.7389375
2013-03-05,2751.58,73.64105208333334
2013-03-06,2743.1,63.4496875
2013-03-07,2791.14,62.5689375
2013-03-08,2804.91,76.79571875
2013-03-09,2794.4,81.11914583333333
2013-03-10,2774.79,83.23420833333334
2013-03-11,2780.86,98.7125
2013-03-12,2770.04,95.7
2013-03-13,2770.22,87.64709375
2013-03-14,2763.5,142.678
2013-03-15,2922.44,140.975
2013-03-16,2859.73,123.1234375
2013-03-17,2822.29,117.63229166666667
2013-03-18,2833.86,117.80729166666669
2013-03-19,2812.15,115.03385416666669
2013-03-20,2791.87,112.434375
2013-03-21,2782.45,111.64479166666666
2013-03-22,2784.49,112.71197916666668
2013-03-23,2773.13,109.3828125
2013-03-24,2761.78,105.2078125
2013-03-25,2752.55,103.22447916666664
2013-03-26,2800.3,104.09895833333331
2013-03-27,2782.22,99.59583333333336
2013-03-28,2774.97,97.48541666666668
2013-03-29,2762.38,92.59425
2013-03-30,2752.08,85.31377083333334
2013-03-31,2749.39,76.31922916666666
2013-04-01,2743.17,67.62228125
2013-04-02,2736.55,60.508156250000006
2013-04-03,2730.77,57.04059375
2013-04-04,2740.35,56.65228125
2013-04-05,2738.24,58.50414583333333
2013-04-06,2763.85,89.89631250000001
2013-04-07,2808.04,90.69642708333332
2013-04-08,2780.25,88.35893750000001
2013-04-09,2759.62,86.04859375000001
2013-04-10,2746.51,80.1744375
2013-04-11,2737.69,71.03486458333333
2013-04-12,2730.9,61.64925
2013-04-13,2725.36,60.32908333333333
2013-04-14,2780.43,77.14102083333333
2013-04-15,2779.87,83.85294791666666
2013-04-16,2760.01,85.72340625
2013-04-17,2745.62,81.82241666666667
2013-04-18,2735.82,73.98255208333333
2013-04-19,2728.76,64.06954166666667
2013-04-20,2723.23,54.995020833333335
2013-04-21,2718.89,48.8971875
2013-04-22,2715.29,44.087854166666666
2013-04-23,2712.42,40.21817708333334
2013-04-24,2711.3,37.5721875
2013-04-25,2711.25,36.57902083333333
2013-04-26,2711.15,35.3628125
2013-04-27,2710.84,34.61051041666666
2013-04-28,2710.49,34.43809375
2013-04-29,2710.18,33.39953125
2013-04-30,2709.9,32.06009375
2013-05-01,2709.65,31.1493125
2013-05-02,2709.43,30.56025
2013-05-03,2709.26,30.05728125
2013-05-04,2709.12,29.78178125
2013-05-05,2709.06,29.5180625
2013-05-06,2708.92,29.04953125
2013-05-07,2749.9,29.8715
2013-05-08,2744.68,34.460427083333336
2013-05-09,2733.09,36.49309375
2013-05-10,2724.29,33.30528125
2013-05-11,2717.92,31.2580625
2013-05-12,2713.32,29.36128125
2013-05-13,2710.39,27.5533125
2013-05-14,2709.35,26.4475
2013-05-15,2708.95,26.09925806451613
