,ls_dis,horleitura
2013-01-03,1336.15,105.6921875
2013-01-04,2155.33,109.14375
2013-01-05,2521.23,108.47395833333331
2013-01-06,2656.16,106.15729166666668
2013-01-07,2698.8,102.8484375
2013-01-08,2723.44,97.2229411764706
2013-01-09,2723.99,90.9134375
2013-01-10,2748.32,80.66425531914894
2013-01-11,2757.19,64.74907291666666
2013-01-12,2743.5,51.39202083333333
2013-01-13,2731.64,42.98616666666666
2013-01-14,2723.39,38.31601041666666
2013-01-15,2719.35,36.60427083333334
2013-01-16,2749.12,41.80439583333334
2013-01-17,2748.54,47.376875000000005
2013-01-18,2752.6,41.85836458333333
2013-01-19,2741.69,45.61782291666666
2013-01-20,2764.59,46.50346875
2013-01-21,2752.63,48.5654375
2013-01-22,2744.91,49.509687500000005
2013-01-23,2749.34,41.2730625
2013-01-24,2742.35,34.4353125
2013-01-25,2733.26,30.6309375
2013-01-26,2725.77,29.02959375
2013-01-27,2721.53,28.67434375
2013-01-28,2717.85,27.248218750000003
2013-01-29,2713.85,24.18828125
2013-01-30,2710.36,22.4625
2013-01-31,2707.24,21.65234375
2013-02-01,2706.06,20.5625
2013-02-02,2705.57,19.87421875
2013-02-03,2705.28,19.278125
2013-02-04,2813.04,24.37648958333333
2013-02-05,2856.66,58.07114583333333
2013-02-06,2809.55,69.9951875
2013-02-07,2780.42,71.22125
2013-02-08,2764.26,73.55978125
2013-02-09,2827.4,89.70284375
2013-02-10,2836.25,94.97708333333333
2013-02-11,2819.06,100.09427083333333
2013-02-12,2824.8,105.21302083333336
2013-02-13,2823.2,106.24166666666667
2013-02-14,2816.4,105.15364583333331
2013-02-15,2798.14,102.7171875
2013-02-16,2797.85,100.70885416666664
2013-02-17,2784.5,97.00625
2013-02-18,2794.25,95.175
2013-02-19,2811.76,99.31354166666668
2013-02-20,2885.97,100.1078125
2013-02-21,2872.5,99.03854166666667
2013-02-22,2850.55,101.840625
2013-02-23,2819.7,105.30677083333336
2013-02-24,2798.45,107.68229166666669
2013-02-25,2782.58,108.5421875
2013-02-26,2769.76,107.5921875
2013-02-27,2762.44,111.47916666666669
2013-02-28,2849.83,107.503125
2013-03-01,2815.75,101.44791666666669
2013-03-02,2790.95,99.02447916666668
2013-03-03,2774.47,96.125
2013-03-04,2761.3,88.7389375
2013-03-05,2750.97,73.64105208333334
2013-03-06,2742.48,63.4496875
2013-03-07,2790.53,62.5689375
2013-03-08,2804.3,76.79571875
2013-03-09,2793.81,81.11914583333333
2013-03-10,2774.2,83.23420833333334
2013-03-11,2780.26,98.7125
2013-03-12,2769.43,95.7
2013-03-13,2769.61,87.64709375
2013-03-14,2762.88,142.678
2013-03-15,2921.82,140.975
2013-03-16,2859.1,123.1234375
2013-03-17,2821.69,117.63229166666667
2013-03-18,2833.32,117.80729166666669
2013-03-19,2811.62,115.03385416666669
2013-03-20,2791.34,112.434375
2013-03-21,2781.91,111.64479166666666
2013-03-22,2783.93,112.71197916666668
2013-03-23,2772.56,109.3828125
2013-03-24,2761.2,105.2078125
2013-03-25,2751.96,103.22447916666664
2013-03-26,2799.7,104.09895833333331
2013-03-27,2781.63,99.59583333333336
2013-03-28,2774.39,97.48541666666668
2013-03-29,2761.8,92.59425
2013-03-30,2751.5,85.31377083333334
2013-03-31,2748.8,76.31922916666666
2013-04-01,2742.58,67.62228125
2013-04-02,2735.95,60.508156250000006
2013-04-03,2730.17,57.04059375
2013-04-04,2739.74,56.65228125
2013-04-05,2737.63,58.50414583333333
2013-04-06,2763.23,89.89631250000001
2013-04-07,2807.43,90.69642708333332
2013-04-08,2779.63,88.35893750000001
2013-04-09,2759.03,86.04859375000001
2013-04-10,2745.93,80.1744375
2013-04-11,2737.11,71.03486458333333
2013-04-12,2730.31,61.64925
2013-04-13,2724.78,60.32908333333333
2013-04-14,2779.84,77.14102083333333
2013-04-15,2779.29,83.85294791666666
2013-04-16,2759.42,85.72340625
2013-04-17,2745.03,81.82241666666667
2013-04-18,2735.23,73.98255208333333
2013-04-19,2728.16,64.06954166666667
2013-04-20,2722.64,54.995020833333335
2013-04-21,2718.31,48.8971875
2013-04-22,2714.76,44.087854166666666
2013-04-23,2712.07,40.21817708333334
2013-04-24,2711.14,37.5721875
2013-04-25,2711.14,36.57902083333333
2013-04-26,2711.05,35.3628125
2013-04-27,2710.74,34.61051041666666
2013-04-28,2710.38,34.43809375
2013-04-29,2710.07,33.39953125
2013-04-30,2709.79,32.06009375
2013-05-01,2709.54,31.1493125
2013-05-02,2709.31,30.56025
2013-05-03,2709.14,30.05728125
2013-05-04,2708.99,29.78178125
2013-05-05,2708.92,29.5180625
2013-05-06,2708.78,29.04953125
2013-05-07,2749.76,29.8715
2013-05-08,2744.49,34.460427083333336
2013-05-09,2732.85,36.49309375
2013-05-10,2724.0,33.30528125
2013-05-11,2717.59,31.2580625
2013-05-12,2713.0,29.36128125
2013-05-13,2710.18,27.5533125
2013-05-14,2709.17,26.4475
2013-05-15,2708.78,26.09925806451613
