,ls_dis,horleitura
2013-01-03,337.725,105.6921875
2013-01-04,419.65,109.14375
2013-01-05,442.223,108.47395833333331
2013-01-06,448.118,106.15729166666668
2013-01-07,447.567,102.8484375
2013-01-08,457.219,97.2229411764706
2013-01-09,453.409,90.9134375
2013-01-10,474.997,80.66425531914894
2013-01-11,482.756,64.74907291666666
2013-01-12,470.475,51.39202083333333
2013-01-13,459.797,42.98616666666666
2013-01-14,451.752,38.31601041666666
2013-01-15,447.269,36.60427083333334
2013-01-16,474.499,41.80439583333334
2013-01-17,474.184,47.376875000000005
2013-01-18,478.043,41.85836458333333
2013-01-19,467.894,45.61782291666666
2013-01-20,489.836,46.50346875
2013-01-21,478.1,48.5654375
2013-01-22,470.798,49.509687500000005
2013-01-23,474.161,41.2730625
2013-01-24,467.426,34.4353125
2013-01-25,458.997,30.6309375
2013-01-26,452.014,29.02959375
2013-01-27,447.859,28.67434375
2013-01-28,444.123,27.248218750000003
2013-01-29,440.624,24.18828125
2013-01-30,437.722,22.4625
2013-01-31,435.697,21.65234375
2013-02-01,434.714,20.5625
2013-02-02,434.138,19.87421875
2013-02-03,433.758,19.278125
2013-02-04,543.29,24.37648958333333
2013-02-05,585.658,58.07114583333333
2013-02-06,538.17,69.9951875
2013-02-07,509.198,71.22125
2013-02-08,490.986,73.55978125
2013-02-09,551.882,89.70284375
2013-02-10,558.706,94.97708333333333
2013-02-11,542.254,100.09427083333333
2013-02-12,546.747,105.21302083333336
2013-02-13,543.621,106.24166666666667
2013-02-14,536.209,105.15364583333331
2013-02-15,517.946,102.7171875
2013-02-16,517.225,100.70885416666664
2013-02-17,504.137,97.00625
2013-02-18,513.424,95.175
2013-02-19,530.185,99.31354166666668
2013-02-20,603.739,100.1078125
2013-02-21,591.797,99.03854166666667
2013-02-22,571.868,101.840625
2013-02-23,541.744,105.30677083333336
2013-02-24,520.227,107.68229166666669
2013-02-25,503.98,108.5421875
2013-02-26,491.301,107.5921875
2013-02-27,483.982,111.47916666666669
2013-02-28,569.171,107.503125
2013-03-01,536.221,101.44791666666669
2013-03-02,514.399,99.02447916666668
2013-03-03,498.193,96.125
2013-03-04,484.9,88.7389375
2013-03-05,474.641,73.64105208333334
2013-03-06,466.448,63.4496875
2013-03-07,513.253,62.5689375
2013-03-08,525.75,76.79571875
2013-03-09,516.742,81.11914583333333
2013-03-10,498.544,83.23420833333334
2013-03-11,503.668,98.7125
2013-03-12,492.257,95.7
2013-03-13,492.015,87.64709375
2013-03-14,485.201,142.678
2013-03-15,641.544,140.975
2013-03-16,580.881,123.1234375
2013-03-17,547.342,117.63229166666667
2013-03-18,557.109,117.80729166666669
2013-03-19,534.66,115.03385416666669
2013-03-20,514.802,112.434375
2013-03-21,504.632,111.64479166666666
2013-03-22,505.308,112.71197916666668
2013-03-23,494.565,109.3828125
2013-03-24,484.413,105.2078125
2013-03-25,475.847,103.22447916666664
2013-03-26,520.406,104.09895833333331
2013-03-27,504.227,99.59583333333336
2013-03-28,498.781,97.48541666666668
2013-03-29,486.88,92.59425
2013-03-30,476.897,85.31377083333334
2013-03-31,473.532,76.31922916666666
2013-04-01,467.244,67.62228125
2013-04-02,461.092,60.508156250000006
2013-04-03,455.819,57.04059375
2013-04-04,464.458,56.65228125
2013-04-05,462.038,58.50414583333333
2013-04-06,486.276,89.89631250000001
2013-04-07,529.449,90.69642708333332
2013-04-08,504.608,88.35893750000001
2013-04-09,486.595,86.04859375000001
2013-04-10,473.699,80.1744375
2013-04-11,464.336,71.03486458333333
2013-04-12,457.184,61.64925
2013-04-13,451.574,60.32908333333333
2013-04-14,504.13,77.14102083333333
2013-04-15,502.818,83.85294791666666
2013-04-16,485.652,85.72340625
2013-04-17,472.533,81.82241666666667
2013-04-18,462.752,73.98255208333333
2013-04-19,455.441,64.06954166666667
2013-04-20,449.858,54.995020833333335
2013-04-21,445.769,48.8971875
2013-04-22,442.666,44.087854166666666
2013-04-23,440.698,40.21817708333334
2013-04-24,439.679,37.5721875
2013-04-25,439.435,36.57902083333333
2013-04-26,439.251,35.3628125
2013-04-27,438.919,34.61051041666666
