,ls_dis,horleitura
2013-01-03,332.86,105.6921875
2013-01-04,411.458,109.14375
2013-01-05,431.665,108.47395833333331
2013-01-06,436.02,106.15729166666668
2013-01-07,434.525,102.8484375
2013-01-08,443.438,97.2229411764706
2013-01-09,439.336,90.9134375
2013-01-10,460.497,80.66425531914894
2013-01-11,468.009,64.74907291666666
2013-01-12,455.962,51.39202083333333
2013-01-13,445.504,42.98616666666666
2013-01-14,437.575,38.31601041666666
2013-01-15,433.124,36.60427083333334
2013-01-16,459.881,41.80439583333334
2013-01-17,459.427,47.376875000000005
2013-01-18,463.298,41.85836458333333
2013-01-19,453.431,45.61782291666666
2013-01-20,475.089,46.50346875
2013-01-21,463.573,48.5654375
2013-01-22,456.472,49.509687500000005
2013-01-23,459.761,41.2730625
2013-01-24,453.118,34.4353125
2013-01-25,444.824,30.6309375
2013-01-26,437.916,29.02959375
2013-01-27,433.778,28.67434375
2013-01-28,430.046,27.248218750000003
2013-01-29,426.468,24.18828125
2013-01-30,423.553,22.4625
2013-01-31,421.522,21.65234375
2013-02-01,420.561,20.5625
2013-02-02,419.984,19.87421875
2013-02-03,419.6,19.278125
2013-02-04,526.994,24.37648958333333
2013-02-05,569.115,58.07114583333333
2013-02-06,523.217,69.9951875
2013-02-07,495.093,71.22125
2013-02-08,477.212,73.55978125
2013-02-09,537.116,89.70284375
2013-02-10,543.731,94.97708333333333
2013-02-11,527.54,100.09427083333333
2013-02-12,532.125,105.21302083333336
2013-02-13,529.055,106.24166666666667
2013-02-14,521.755,105.15364583333331
2013-02-15,503.804,102.7171875
2013-02-16,502.979,100.70885416666664
2013-02-17,490.028,97.00625
2013-02-18,499.083,95.175
2013-02-19,515.561,99.31354166666668
2013-02-20,588.604,100.1078125
2013-02-21,576.896,99.03854166666667
2013-02-22,557.292,101.840625
2013-02-23,527.561,105.30677083333336
2013-02-24,506.262,107.68229166666669
2013-02-25,490.072,108.5421875
2013-02-26,477.382,107.5921875
2013-02-27,469.986,111.47916666666669
2013-02-28,554.106,107.503125
2013-03-01,521.654,101.44791666666669
2013-03-02,500.195,99.02447916666668
2013-03-03,484.187,96.125
2013-03-04,470.964,88.7389375
2013-03-05,460.703,73.64105208333334
2013-03-06,452.485,63.4496875
2013-03-07,498.493,62.5689375
2013-03-08,510.783,76.79571875
2013-03-09,502.002,81.11914583333333
2013-03-10,484.237,83.23420833333334
2013-03-11,489.223,98.7125
2013-03-12,478.004,95.7
2013-03-13,477.648,87.64709375
2013-03-14,470.913,142.678
2013-03-15,626.041,140.975
2013-03-16,566.123,123.1234375
2013-03-17,533.138,117.63229166666667
2013-03-18,542.817,117.80729166666669
2013-03-19,520.486,115.03385416666669
2013-03-20,500.763,112.434375
2013-03-21,490.556,111.64479166666666
2013-03-22,491.024,112.71197916666668
2013-03-23,480.343,109.3828125
2013-03-24,470.244,105.2078125
2013-03-25,461.713,103.22447916666664
2013-03-26,505.811,104.09895833333331
2013-03-27,489.73,99.59583333333336
2013-03-28,484.353,97.48541666666668
2013-03-29,472.608,92.59425
2013-03-30,462.721,85.31377083333334
2013-03-31,459.324,76.31922916666666
2013-04-01,453.055,67.62228125
2013-04-02,446.933,60.508156250000006
2013-04-03,441.675,57.04059375
2013-04-04,450.052,56.65228125
2013-04-05,447.642,58.50414583333333
2013-04-06,471.545,89.89631250000001
2013-04-07,514.366,90.69642708333332
2013-04-08,489.922,88.35893750000001
2013-04-09,472.28,86.04859375000001
2013-04-10,459.576,80.1744375
2013-04-11,450.277,71.03486458333333
2013-04-12,443.131,61.64925
2013-04-13,437.503,60.32908333333333
2013-04-14,489.414,77.14102083333333
2013-04-15,487.919,83.85294791666666
2013-04-16,471.086,85.72340625
2013-04-17,458.222,81.82241666666667
2013-04-18,448.572,73.98255208333333
2013-04-19,441.304,64.06954166666667
2013-04-20,435.712,54.995020833333335
2013-04-21,431.562,48.8971875
2013-04-22,428.461,44.087854166666666
2013-04-23,426.514,40.21817708333334
2013-04-24,425.508,37.5721875
2013-04-25,425.261,36.57902083333333
2013-04-26,425.077,35.3628125
2013-04-27,424.75,34.61051041666666
2013-04-28,424.394,34.43809375
2013-04-29,424.074,33.39953125
2013-04-30,423.789,32.06009375
2013-05-01,423.529,31.1493125
2013-05-02,423.298,30.56025
2013-05-03,423.124,30.05728125
2013-05-04,422.978,29.78178125
2013-05-05,422.898,29.5180625
2013-05-06,422.746,29.04953125
2013-05-07,460.737,29.8715
2013-05-08,455.252,34.460427083333336
2013-05-09,446.076,36.49309375
2013-05-10,438.371,33.30528125
2013-05-11,432.239,31.2580625
2013-05-12,427.882,29.36128125
2013-05-13,425.308,27.5533125
2013-05-14,423.967,26.4475
2013-05-15,423.294,26.09925806451613
2013-05-16,422.924,26.83103125
2013-05-17,423.32,28.93534375
2013-05-18,456.057,39.787
2013-05-19,453.271,46.00788541666666
2013-05-20,444.421,40.16767708333334
2013-05-21,436.924,34.583333333333336
2013-05-22,431.457,31.834437500000003
2013-05-23,427.877,31.1058125
2013-05-24,444.086,34.8173125
2013-05-25,442.902,44.20823958333333
2013-05-26,436.804,39.3144375
2013-05-27,431.322,34.688520833333335
2013-05-28,427.298,31.9431875
2013-05-29,434.132,35.51501041666666
2013-05-30,496.269,56.43602083333334
2013-05-31,530.581,69.72584375
2013-06-01,502.195,67.66371875
2013-06-02,480.311,66.10640625
2013-06-03,464.75,87.84166666666665
2013-06-04,558.076,89.25598958333335
2013-06-05,522.438,89.93608333333333
2013-06-06,496.787,87.91653124999999
2013-06-07,478.573,83.17484375
2013-06-08,465.469,72.52407291666667
2013-06-09,455.731,58.9945625
2013-06-10,448.258,49.01203125
2013-06-11,442.36,43.48822916666666
2013-06-12,437.539,40.3118125
2013-06-13,443.067,41.00388541666667
2013-06-14,439.59,53.53577083333334
2013-06-15,435.117,53.10265625
2013-06-16,431.332,46.60435416666667
2013-06-17,431.497,42.32833333333333
2013-06-18,501.649,76.90082291666667
2013-06-19,493.581,82.68832291666666
2013-06-20,475.702,89.58679166666667
2013-06-21,479.579,133.00583333333333
2013-06-22,667.436,393.5133333333333
2013-06-23,902.287,408.7675
2013-06-24,733.872,355.71197916666665
2013-06-25,643.886,421.4705208333333
2013-06-26,639.45,493.603125
2013-06-27,612.778,454.2136458333334
2013-06-28,586.369,397.58729166666666
2013-06-29,574.635,339.84989583333333
2013-06-30,555.537,294.854375
2013-07-01,579.804,271.726875
2013-07-02,633.499,246.74604166666663
2013-07-03,596.172,213.16916666666668
2013-07-04,559.671,192.57364583333333
2013-07-05,533.1,175.93395833333332
2013-07-06,513.755,158.6265625
2013-07-07,499.323,140.72125
2013-07-08,487.931,126.12447916666667
2013-07-09,478.617,115.28802083333332
2013-07-10,471.126,108.4265625
2013-07-11,464.024,103.59375
2013-07-12,457.466,98.95052083333331
2013-07-13,451.655,91.6546875
2013-07-14,446.375,83.50885416666667
2013-07-15,441.62,76.1885625
