,ls_dis,horleitura
2013-01-03,190.784,105.6921875
2013-01-04,158.598,109.14375
2013-01-05,116.36,108.47395833333331
2013-01-06,87.9069,106.15729166666668
2013-01-07,69.6223,102.8484375
2013-01-08,67.576,97.2229411764706
2013-01-09,58.435,90.9134375
2013-01-10,72.7278,80.66425531914894
2013-01-11,77.1612,64.74907291666666
2013-01-12,67.0132,51.39202083333333
2013-01-13,59.0671,42.98616666666666
2013-01-14,52.6623,38.31601041666666
2013-01-15,48.3283,36.60427083333334
2013-01-16,68.6147,41.80439583333334
2013-01-17,68.2318,47.376875000000005
2013-01-18,71.9013,41.85836458333333
2013-01-19,64.3637,45.61782291666666
2013-01-20,83.023,46.50346875
2013-01-21,73.5621,48.5654375
2013-01-22,68.4981,49.509687500000005
2013-01-23,71.3364,41.2730625
2013-01-24,65.8413,34.4353125
2013-01-25,58.8627,30.6309375
2013-01-26,52.8083,29.02959375
2013-01-27,48.6912,28.67434375
2013-01-28,44.7046,27.248218750000003
2013-01-29,41.0143,24.18828125
2013-01-30,37.8991,22.4625
2013-01-31,35.539,21.65234375
2013-02-01,34.0539,20.5625
2013-02-02,32.9417,19.87421875
2013-02-03,32.0973,19.278125
2013-02-04,119.648,24.37648958333333
2013-02-05,156.331,58.07114583333333
2013-02-06,123.352,69.9951875
2013-02-07,106.005,71.22125
2013-02-08,93.0997,73.55978125
2013-02-09,143.146,89.70284375
2013-02-10,148.438,94.97708333333333
2013-02-11,137.325,100.09427083333333
2013-02-12,142.91,105.21302083333336
2013-02-13,140.528,106.24166666666667
2013-02-14,134.23,105.15364583333331
2013-02-15,118.168,102.7171875
2013-02-16,116.834,100.70885416666664
2013-02-17,104.633,97.00625
2013-02-18,111.479,95.175
2013-02-19,124.65,99.31354166666668
2013-02-20,187.83,100.1078125
2013-02-21,179.59,99.03854166666667
2013-02-22,166.415,101.840625
2013-02-23,142.426,105.30677083333336
2013-02-24,123.726,107.68229166666669
2013-02-25,108.162,108.5421875
2013-02-26,95.2631,107.5921875
2013-02-27,86.924,111.47916666666669
2013-02-28,157.016,107.503125
2013-03-01,127.726,101.44791666666669
2013-03-02,112.097,99.02447916666668
2013-03-03,99.6428,96.125
2013-03-04,87.8473,88.7389375
2013-03-05,77.8027,73.64105208333334
2013-03-06,69.289,63.4496875
2013-03-07,106.102,62.5689375
2013-03-08,114.88,76.79571875
2013-03-09,109.178,81.11914583333333
2013-03-10,96.1436,83.23420833333334
2013-03-11,101.544,98.7125
2013-03-12,91.4701,95.7
2013-03-13,90.898,87.64709375
2013-03-14,84.4439,142.678
2013-03-15,216.847,140.975
