,ParameterName,MinValue,MaxValue,DefaultValue,tipo,ON_OFF
0,thetas3_o,0,1,0.742547302635268,thetas,OFF
1,thetas3_f,0,1,0.8983111234360556,thetas,OFF
2,thetas3,0,1,0.20193279951386883,thetas,OFF
3,thetas1,0,1,0.5212143887944558,thetas,OFF
4,thetas2,0,1,0.34567250426056184,thetas,OFF
5,thetas2_o,0,1,0.6663315098872596,thetas,OFF
6,thetas1_f,0,1,0.30028084121455245,thetas,OFF
7,thetas2_f,0,1,0.0011575272601113268,thetas,OFF
8,thetas1_o,0,1,0.7299742275570531,thetas,OFF
9,thetar1_f,0,1,0.1905652300430315,thetar,OFF
10,thetar3_o,0,1,0.17881486705500343,thetar,OFF
11,thetar3_f,0,1,0.8054725014491353,thetar,OFF
12,thetar1_o,0,1,0.0010267088989887596,thetar,OFF
13,thetar2,0,1,0.15016616282712855,thetar,ON
14,thetar1,0,1,0.43228271513105004,thetar,OFF
15,thetar2_f,0,1,0.1585475993843365,thetar,OFF
16,thetar2_o,0,1,0.5570687756065392,thetar,OFF
17,thetar3,0,1,0.1544244471414779,thetar,OFF
