,ParameterName,MinValue,MaxValue,DefaultValue,tipo,ON_OFF
0,thetas3_o,0,1.0,0.52098164653579,thetas,OFF
1,thetas3_f,0,1.0,0.5130795359402522,thetas,OFF
2,thetas3,0,1.0,0.5031097923317449,thetas,OFF
3,thetas1,0,1.0,0.4099744620868995,thetas,OFF
4,thetas2,0,1.0,0.5765986370225898,thetas,OFF
5,thetas2_o,0,1.0,0.5011153630642745,thetas,OFF
6,thetas1_f,0,1.0,0.5123787506974405,thetas,OFF
7,thetas2_f,0,1.0,0.38308398171778707,thetas,OFF
8,thetas1_o,0,1.0,0.5294189130836919,thetas,OFF
9,thetar1_f,0,1.0,0.4943568698600451,thetar,OFF
10,thetar3_o,0,1.0,0.5105066177990808,thetar,OFF
11,thetar3_f,0,1.0,0.398603254364007,thetar,OFF
12,thetar1_o,0,1.0,0.49290741250669085,thetar,OFF
13,thetar2,0,0.2,0.1600876610323509,thetar,ON
14,thetar1,0,1.0,0.12045646525800693,thetar,ON
15,thetar2_f,0,1.0,0.4618268995264419,thetar,OFF
16,thetar2_o,0,1.0,0.3541494963805812,thetar,OFF
17,thetar3,0,1.0,0.46336604720120006,thetar,OFF
