,ParameterName,MinValue,MaxValue,DefaultValue,tipo,ON_OFF
0,thetas2,0,1,0.7383713652431219,thetas,OFF
1,thetas3,0,1,0.9714964100315173,thetas,OFF
2,thetas3_o,0,1,0.890400419993514,thetas,OFF
3,thetas1_o,0,1,0.8299217006748355,thetas,OFF
4,thetas1,0,1,0.11285187976549235,thetas,OFF
5,thetas2_o,0,1,0.42743890483100566,thetas,OFF
6,thetas1_f,0,1,0.4403858398167821,thetas,OFF
7,thetas3_f,0,1,0.9090449603764549,thetas,OFF
8,thetas2_f,0,1,0.39413044286137533,thetas,OFF
9,thetar3,0,1,0.357592671221772,thetar,ON
10,thetar1,0,1,0.3867742732464906,thetar,ON
11,thetar2,0,1,0.15736030969509934,thetar,ON
12,thetar3_o,0,1,0.8561832888607763,thetar,OFF
13,thetar1_o,0,1,0.05425846680404453,thetar,OFF
14,thetar2_f,0,1,0.9671424104549013,thetar,ON
15,thetar2_o,0,1,0.6497112965964982,thetar,OFF
16,thetar3_f,0,1,0.7942016030868674,thetar,OFF
17,thetar1_f,0,1,0.8498197833935893,thetar,ON
