,vazao_25334953_Porto Amazonas,vazao_25584963_Balsa Nova,vazao_25604951_Guajuvira,vazao_25604939_Araucária,vazao_25594926_Ponte Do Umbarazinho,vazao_25514921_ETE- Sanepar,vazao_25484919_Ponte BR 277
2013-01-03,25.2679,14.4272,1.13753,1.40838,1.35505,6.19835,2.25957
2013-01-04,45.4232,28.9995,2.16832,2.27122,2.25567,11.07,4.34844
2013-01-05,39.2014,26.5564,1.91755,1.84368,1.86118,9.43157,3.88941
2013-01-06,32.4326,22.3374,1.58355,1.51683,1.5306,7.74433,3.23197
2013-01-07,28.1602,19.3385,1.35695,1.31175,1.3206,6.70359,2.77796
2013-01-08,34.1087,22.4514,1.60406,1.65918,1.64722,8.14132,3.26591
2013-01-09,33.5847,22.7865,1.62193,1.5977,1.60368,8.09862,3.31427
2013-01-10,48.3817,31.177,2.26217,2.40023,2.37335,11.5999,4.58199
2013-01-11,57.2713,37.8493,2.72787,2.76315,2.75893,13.7526,5.53471
2013-01-12,49.7839,33.8374,2.40641,2.34063,2.35556,11.9539,4.913
2013-01-13,42.156,28.7496,2.02744,1.97464,1.98556,10.0741,4.15239
2013-01-14,37.1044,25.2287,1.78131,1.7467,1.75367,8.8658,3.65416
2013-01-15,34.5595,23.4022,1.66687,1.66228,1.66294,8.29617,3.41716
2013-01-16,54.9561,35.8904,2.67234,2.87084,2.8319,13.2943,5.4183
2013-01-17,56.8994,38.0697,2.71232,2.68129,2.6921,13.6009,5.52742
2013-01-18,60.2017,39.748,2.83145,2.86543,2.86133,14.4276,5.76608
2013-01-19,54.4867,36.8473,2.60688,2.55694,2.57034,13.0686,5.33394
2013-01-20,69.3215,44.8188,3.24677,3.37732,3.35359,16.5878,6.59925
2013-01-21,64.0193,43.3736,3.0712,3.01321,3.02981,15.3556,6.27599
2013-01-22,58.5738,39.5493,2.79471,2.77065,2.7785,14.0147,5.7185
2013-01-23,62.1547,41.6689,2.9911,3.03621,3.02997,14.9184,6.10933
2013-01-24,58.1686,39.3451,2.78732,2.7527,2.76501,13.9099,5.71121
2013-01-25,51.7443,34.9825,2.46205,2.43107,2.44184,12.3572,5.05407
2013-01-26,45.9606,31.013,2.18145,2.16117,2.16918,10.9668,4.48223
2013-01-27,42.3423,28.3952,2.0047,2.00528,2.00847,10.112,4.1175
2013-01-28,39.8279,26.7655,1.89447,1.89018,1.89507,9.54533,3.89384
2013-01-29,36.1468,24.289,1.71343,1.70999,1.71452,8.63355,3.5233
2013-01-30,33.0261,22.1843,1.56577,1.56426,1.56825,7.89242,3.22085
2013-01-31,29.6837,19.9339,1.40427,1.40421,1.40759,7.08063,2.88935
2013-02-01,26.6373,17.8794,1.25916,1.26013,1.26301,6.35181,2.59132
2013-02-02,23.9939,16.0979,1.134,1.1357,1.13819,5.72093,2.33428
2013-02-03,21.5978,14.4861,1.0202,1.02234,1.02451,5.14897,2.1005
2013-02-04,90.7357,54.7601,4.09712,4.64248,4.54033,21.5682,8.20323
