hordatahora,horleitura
2021-01-01,41.06
2021-01-02,48.26145833333334
2021-01-03,52.39635416666667
2021-01-04,49.0053125
2021-01-05,49.14895833333333
2021-01-06,42.863125
2021-01-07,37.591145833333336
2021-01-08,40.69645833333333
2021-01-09,36.958958333333335
2021-01-10,38.0475
2021-01-11,48.64833333333333
2021-01-12,45.658854166666664
2021-01-13,36.38645833333333
2021-01-14,31.2225
2021-01-15,27.269270833333334
2021-01-16,25.340625
2021-01-17,23.9278125
2021-01-18,23.932708333333334
2021-01-19,30.510208333333335
2021-01-20,63.83645833333333
2021-01-21,85.244375
2021-01-22,100.09458333333333
2021-01-23,107.52083333333333
2021-01-24,107.20729166666666
2021-01-25,100.53729166666666
2021-01-26,91.09416666666668
2021-01-27,84.2909375
2021-01-28,77.25937499999999
2021-01-29,66.98510416666666
2021-01-30,65.94989583333333
2021-01-31,68.71124999999999
2021-02-01,70.96375
2021-02-02,70.98395833333333
2021-02-03,66.363125
2021-02-04,59.67552083333334
2021-02-05,55.845416666666665
2021-02-06,57.723125
2021-02-07,61.11291666666667
2021-02-08,60.841145833333336
2021-02-09,56.55927083333333
2021-02-10,50.65520833333333
2021-02-11,44.760729166666664
2021-02-12,39.25020833333333
2021-02-13,41.16739583333334
2021-02-14,44.534375000000004
2021-02-15,44.04604166666667
2021-02-16,38.98416666666667
2021-02-17,37.55958333333333
2021-02-18,36.258229166666666
2021-02-19,33.814166666666665
2021-02-20,30.315416666666668
2021-02-21,27.46104166666667
2021-02-22,25.066145833333334
2021-02-23,23.375
2021-02-24,22.522291666666664
2021-02-25,22.4875
2021-02-26,33.41458333333333
2021-02-27,37.199999999999996
2021-02-28,36.24947916666667
2021-03-01,36.189479166666665
2021-03-02,52.01947916666666
2021-03-03,73.88312499999999
2021-03-04,85.83270833333334
2021-03-05,99.7871875
2021-03-06,120.890625
2021-03-07,141.1
2021-03-08,148.30208333333334
2021-03-09,144.89583333333334
2021-03-10,136.36770833333333
2021-03-11,127.00833333333333
2021-03-12,114.11770833333333
2021-03-13,104.19895833333334
2021-03-14,94.37875000000001
2021-03-15,83.03875000000001
2021-03-16,69.4990625
2021-03-17,60.317187499999996
2021-03-18,59.603437500000005
2021-03-19,56.78885416666666
2021-03-20,52.73385416666667
2021-03-21,48.14822916666666
2021-03-22,44.355
2021-03-23,40.717395833333335
2021-03-24,39.7778125
2021-03-25,43.2459375
2021-03-26,48.60520833333334
2021-03-27,52.329479166666665
2021-03-28,54.977916666666665
2021-03-29,62.01354166666667
2021-03-30,62.40625
2021-03-31,56.65239583333334
2021-04-01,51.744494382022474
2021-04-02,46.93510416666667
2021-04-03,39.4315625
2021-04-04,35.5175
2021-04-05,33.24458333333333
2021-04-06,31.214479166666667
2021-04-07,29.432708333333334
2021-04-08,28.49802083333333
2021-04-09,28.661458333333332
2021-04-10,27.883958333333336
2021-04-11,27.8275
2021-04-12,28.374583333333334
2021-04-13,25.887395833333333
2021-04-14,23.958333333333332
2021-04-15,25.315208333333334
2021-04-16,23.096770833333334
2021-04-17,21.743020833333333
2021-04-18,21.327395833333334
2021-04-19,22.25708333333333
2021-04-20,22.4621875
2021-04-21,22.427187500000002
2021-04-22,21.950833333333335
2021-04-23,22.127708333333334
2021-04-24,23.2840625
2021-04-25,22.1365625
2021-04-26,21.910104166666667
2021-04-27,22.932395833333334
2021-04-28,22.211354166666666
2021-04-29,20.602708333333332
2021-04-30,20.638229166666665
2021-05-01,20.815
2021-05-02,20.2134375
2021-05-03,20.03375
2021-05-04,20.276875
2021-05-05,20.152083333333334
2021-05-06,19.4684375
2021-05-07,19.598229166666666
2021-05-08,27.573125
2021-05-09,39.283854166666664
2021-05-10,33.38197916666667
2021-05-11,28.863020833333334
2021-05-12,26.169270833333332
2021-05-13,31.074375
2021-05-14,59.825625
2021-05-15,72.63875
2021-05-16,75.61052083333333
2021-05-17,70.36822916666667
2021-05-18,58.632395833333334
2021-05-19,45.82479166666667
2021-05-20,36.5140625
2021-05-21,31.00989583333333
2021-05-22,27.9871875
2021-05-23,27.53135416666667
2021-05-24,37.05552083333333
2021-05-25,38.13427083333333
2021-05-26,35.203125
2021-05-27,29.444479166666667
2021-05-28,26.169375000000002
2021-05-29,24.45322916666667
2021-05-30,23.91416666666667
2021-05-31,28.629895833333332
2021-06-01,35.04072289156627
2021-06-02,
2021-06-03,
2021-06-04,
2021-06-05,
2021-06-06,
2021-06-07,
2021-06-08,
2021-06-09,
2021-06-10,
2021-06-11,
2021-06-12,
2021-06-13,
2021-06-14,
2021-06-15,
2021-06-16,
2021-06-17,
2021-06-18,
2021-06-19,
2021-06-20,
2021-06-21,
2021-06-22,
2021-06-23,
2021-06-24,
2021-06-25,
2021-06-26,
2021-06-27,
2021-06-28,
2021-06-29,
2021-06-30,
2021-07-01,
2021-07-02,
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,
2021-07-07,
2021-07-08,
2021-07-09,
2021-07-10,
2021-07-11,
2021-07-12,
2021-07-13,
2021-07-14,
2021-07-15,
2021-07-16,
2021-07-17,
2021-07-18,
2021-07-19,
2021-07-20,
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-24,
2021-07-25,
2021-07-26,
2021-07-27,
2021-07-28,
2021-07-29,
2021-07-30,
2021-07-31,
2021-08-01,22.68
2021-08-02,22.50010416666667
2021-08-03,22.318749999999998
2021-08-04,22.067291666666666
2021-08-05,21.98364583333333
2021-08-06,21.699270833333333
2021-08-07,21.793958333333332
2021-08-08,22.450520833333332
2021-08-09,22.7990625
2021-08-10,22.89197916666667
2021-08-11,21.484166666666667
2021-08-12,21.181562500000002
2021-08-13,21.378645833333334
2021-08-14,35.75416666666667
2021-08-15,71.0278125
2021-08-16,85.22958333333334
2021-08-17,94.76041666666667
2021-08-18,101.953125
2021-08-19,104.83020833333335
2021-08-20,105.03645833333333
2021-08-21,97.73291666666667
2021-08-22,82.66010416666667
2021-08-23,62.1384375
2021-08-24,46.01135416666667
2021-08-25,37.92729166666667
2021-08-26,34.20604166666667
2021-08-27,31.601041666666664
2021-08-28,30.70322916666667
2021-08-29,31.339375
2021-08-30,29.844375
2021-08-31,28.477083333333336
2021-09-01,27.652291666666667
2021-09-02,27.227500000000003
2021-09-03,26.79625
2021-09-04,26.679166666666664
2021-09-05,25.935625
2021-09-06,25.423020833333336
2021-09-07,25.00125
2021-09-08,24.257604166666667
2021-09-09,23.866145833333334
2021-09-10,25.13083333333333
2021-09-11,30.5546875
2021-09-12,26.580729166666668
2021-09-13,24.79614583333333
2021-09-14,23.346875
2021-09-15,22.348229166666666
2021-09-16,25.24354166666667
2021-09-17,30.666562499999998
2021-09-18,48.48010416666667
2021-09-19,59.18239583333334
2021-09-20,60.03875
2021-09-21,53.80458333333333
2021-09-22,45.56166666666667
2021-09-23,38.2240625
2021-09-24,32.79979166666667
2021-09-25,29.207395833333333
2021-09-26,26.659166666666668
2021-09-27,24.930520833333333
2021-09-28,23.419270833333332
2021-09-29,22.4525
2021-09-30,25.889166666666668
2021-10-01,38.64364583333333
2021-10-02,36.94958333333333
2021-10-03,43.10427083333334
2021-10-04,46.91625
2021-10-05,59.65510416666667
2021-10-06,78.83395833333334
2021-10-07,87.24697916666666
2021-10-08,90.98614583333334
2021-10-09,91.54208333333334
2021-10-10,88.10791666666667
2021-10-11,81.73666666666666
2021-10-12,74.0121875
2021-10-13,65.92010416666666
2021-10-14,58.45989583333333
2021-10-15,52.051770833333336
2021-10-16,47.2721875
2021-10-17,55.51895833333333
2021-10-18,67.17270833333333
2021-10-19,77.30666666666666
2021-10-20,83.29302083333333
2021-10-21,85.6865625
2021-10-22,84.59208333333333
2021-10-23,78.83395833333334
2021-10-24,69.90770833333333
2021-10-25,68.26177083333333
2021-10-26,72.99166666666666
2021-10-27,73.78833333333334
2021-10-28,68.74979166666667
2021-10-29,59.92239583333333
2021-10-30,51.234791666666666
2021-10-31,44.996874999999996
2021-11-01,40.62947916666666
2021-11-02,45.303958333333334
2021-11-03,61.825520833333336
2021-11-04,71.34041666666667
2021-11-05,75.19395833333333
2021-11-06,76.9184375
2021-11-07,77.73375
2021-11-08,76.50041666666667
2021-11-09,71.18239583333333
2021-11-10,62.27072916666666
2021-11-11,52.513125
2021-11-12,44.84166666666667
2021-11-13,40.106770833333336
2021-11-14,37.00864583333333
2021-11-15,34.345
2021-11-16,32.44875
2021-11-17,31.3528125
2021-11-18,30.204583333333332
2021-11-19,30.13072916666667
2021-11-20,39.774166666666666
2021-11-21,45.2646875
2021-11-22,42.20697916666666
2021-11-23,38.00364583333333
2021-11-24,32.329375
2021-11-25,25.425520833333334
2021-11-26,22.863333333333333
2021-11-27,21.859687500000003
2021-11-28,22.854062499999998
2021-11-29,21.57625
2021-11-30,19.5959375
2021-12-01,18.7971875
2021-12-02,17.8346875
2021-12-03,16.5440625
2021-12-04,16.10770833333333
2021-12-05,16.489791666666665
2021-12-06,15.623854166666668
2021-12-07,18.231041666666666
2021-12-08,29.364583333333332
2021-12-09,31.5984375
2021-12-10,27.63291666666667
2021-12-11,24.028958333333335
2021-12-12,21.348125
2021-12-13,19.088958333333334
2021-12-14,17.580833333333334
2021-12-15,17.0234375
2021-12-16,23.050208333333334
2021-12-17,31.015416666666667
2021-12-18,29.537916666666664
2021-12-19,23.149583333333336
2021-12-20,19.253229166666667
2021-12-21,18.3771875
2021-12-22,17.943125
2021-12-23,20.6540625
2021-12-24,30.67197916666667
2021-12-25,32.439791666666665
2021-12-26,26.378645833333334
2021-12-27,22.247604166666665
2021-12-28,19.412291666666665
2021-12-29,23.998958333333334
2021-12-30,32.415
2021-12-31,34.143854166666664
2022-01-01,36.908229166666665
2022-01-02,46.09833333333333
2022-01-03,53.32697916666667
2022-01-04,55.5115625
2022-01-05,55.05354166666667
2022-01-06,57.3021875
2022-01-07,63.77166666666667
2022-01-08,72.41322916666667
2022-01-09,79.69708333333334
2022-01-10,84.411875
2022-01-11,84.72479166666666
2022-01-12,78.3771875
2022-01-13,66.25421052631579
2022-01-14,56.695625
2022-01-15,50.811145833333335
2022-01-16,47.59010416666666
2022-01-17,58.43197916666667
2022-01-18,74.801875
2022-01-19,81.79770833333333
2022-01-20,92.01895833333333
2022-01-21,104.21145833333333
2022-01-22,112.39791666666667
2022-01-23,111.003125
2022-01-24,105.06458333333335
2022-01-25,96.60104166666667
